prompt_id	base_bundle	role	word	sources	group_kind	group_name
tw-typing-v4-001	97	required	評價	mcbopomofo	單詞	評價
tw-typing-v4-001	97	optional	一條	mcbopomofo	單詞	一條
tw-typing-v4-001	97	required	莫名	mcbopomofo	單詞	莫名
tw-typing-v4-001	97	optional	選民	mcbopomofo	單詞	選民
tw-typing-v4-001	97	required	全家	mcbopomofo	單詞	全家
tw-typing-v4-001	97	optional	包容	mcbopomofo	單詞	包容
tw-typing-v4-001	97	required	個性	mcbopomofo	單詞	個性
tw-typing-v4-001	97	required	水泥	mcbopomofo	單詞	水泥
tw-typing-v4-001	97	optional	負面	mcbopomofo	單詞	負面
tw-typing-v4-001	97	optional	比較	mcbopomofo	概念詞族	日常生活:比較
tw-typing-v4-001	97	optional	常態	mcbopomofo	概念詞族	日常生活:常態
tw-typing-v4-001	97	required	路上	mcbopomofo	單詞	路上
tw-typing-v4-001	97	optional	輝煌	mcbopomofo	單詞	輝煌
tw-typing-v4-001	97	required	給予	mcbopomofo	單詞	給予
tw-typing-v4-001	97	required	創造	mcbopomofo	單詞	創造
tw-typing-v4-001	97	required	優秀	mcbopomofo	單詞	優秀
tw-typing-v4-001	97	optional	借用	mcbopomofo	單詞	借用
tw-typing-v4-001	97	required	習慣	mcbopomofo	單詞	習慣
tw-typing-v4-001	97	optional	年齡	mcbopomofo	單詞	年齡
tw-typing-v4-001	97	optional	妥協	mcbopomofo	單詞	妥協
tw-typing-v4-001	97	optional	敘述	mcbopomofo	單詞	敘述
tw-typing-v4-001	97	required	有效	mcbopomofo	單詞	有效
tw-typing-v4-001	97	optional	搖搖	mcbopomofo	單詞	搖搖
tw-typing-v4-001	97	required	記憶	ai-data-science,mcbopomofo	概念詞族	數位科技:記憶
tw-typing-v4-001	97	required	綠能	general	單詞	綠能
tw-typing-v4-001	97	required	各自	mcbopomofo	單詞	各自
tw-typing-v4-001	97	required	動用	mcbopomofo	單詞	動用
tw-typing-v4-001	97	optional	使得	mcbopomofo	單詞	使得
tw-typing-v4-001	97	optional	唱歌	mcbopomofo	單詞	唱歌
tw-typing-v4-001	97	optional	成為	mcbopomofo	單詞	成為
tw-typing-v4-002	38	optional	公務	government,mcbopomofo	概念詞族	政府法律:公務
tw-typing-v4-002	38	optional	行政罰	law	概念詞族	政府法律:行政
tw-typing-v4-002	38	required	行紀契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	optional	公務員	government,mcbopomofo	概念詞族	政府法律:公務
tw-typing-v4-002	38	optional	行政契約	law	概念詞族	政府法律:行政
tw-typing-v4-002	38	optional	訴訟	law,mcbopomofo	概念詞族	政府法律:訴訟
tw-typing-v4-002	38	required	工程案件	government	概念詞族	政府法律:案件
tw-typing-v4-002	38	required	寄託契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	optional	妨害秘密罪	law	概念詞族	政府法律:妨害
tw-typing-v4-002	38	required	訴願案件	government	概念詞族	政府法律:案件
tw-typing-v4-002	38	required	契約終止	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	required	承攬契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	optional	給付不能	law	概念詞族	政府法律:給付
tw-typing-v4-002	38	optional	妨害公務罪	law	概念詞族	政府法律:公務
tw-typing-v4-002	38	required	稽核案件	government	概念詞族	政府法律:案件
tw-typing-v4-002	38	required	委辦案件	government	概念詞族	政府法律:案件
tw-typing-v4-002	38	required	合夥契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	required	陳情案件	government	概念詞族	政府法律:案件
tw-typing-v4-002	38	required	買賣契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	required	期限內	government	概念詞族	政府法律:期限
tw-typing-v4-002	38	required	委任契約	law	概念詞族	政府法律:契約
tw-typing-v4-002	38	optional	訴訟權	law	概念詞族	政府法律:訴訟
tw-typing-v4-002	38	optional	行政指導	law	概念詞族	政府法律:行政
tw-typing-v4-002	38	optional	妨害自由罪	law	概念詞族	政府法律:妨害
tw-typing-v4-002	38	required	條件與期限	law	概念詞族	政府法律:期限
tw-typing-v4-002	38	optional	給付遲延	law	概念詞族	政府法律:給付
tw-typing-v4-002	38	optional	給付	law,mcbopomofo	概念詞族	政府法律:給付
tw-typing-v4-002	38	optional	訴訟標的	law	概念詞族	政府法律:訴訟
tw-typing-v4-002	38	optional	妨害名譽罪	law	概念詞族	政府法律:妨害
tw-typing-v4-002	38	required	居間契約	law	概念詞族	政府法律:契約
tw-typing-v4-003	78	required	接著	mcbopomofo	單詞	接著
tw-typing-v4-003	78	optional	那樣	mcbopomofo	單詞	那樣
tw-typing-v4-003	78	required	轎車	mcbopomofo	單詞	轎車
tw-typing-v4-003	78	optional	演奏	mcbopomofo	單詞	演奏
tw-typing-v4-003	78	required	玩笑	mcbopomofo	單詞	玩笑
tw-typing-v4-003	78	optional	上午	mcbopomofo	單詞	上午
tw-typing-v4-003	78	required	上傳	mcbopomofo	單詞	上傳
tw-typing-v4-003	78	required	想看	mcbopomofo	單詞	想看
tw-typing-v4-003	78	required	有個	mcbopomofo	單詞	有個
tw-typing-v4-003	78	required	為期	mcbopomofo	單詞	為期
tw-typing-v4-003	78	optional	行政	mcbopomofo	概念詞族	日常生活:行政
tw-typing-v4-003	78	required	研判	mcbopomofo	單詞	研判
tw-typing-v4-003	78	optional	收費	mcbopomofo	單詞	收費
tw-typing-v4-003	78	optional	然後	mcbopomofo	單詞	然後
tw-typing-v4-003	78	optional	學年度	mcbopomofo	概念詞族	日常生活:年度
tw-typing-v4-003	78	required	那些	mcbopomofo	單詞	那些
tw-typing-v4-003	78	required	看得	mcbopomofo	單詞	看得
tw-typing-v4-003	78	optional	演習	mcbopomofo	單詞	演習
tw-typing-v4-003	78	optional	調查	mcbopomofo	同義近義	調查查證
tw-typing-v4-003	78	required	碳費	general	單詞	碳費
tw-typing-v4-003	78	required	先把	mcbopomofo	單詞	先把
tw-typing-v4-003	78	required	電機	mcbopomofo	單詞	電機
tw-typing-v4-003	78	required	罰款	mcbopomofo	單詞	罰款
tw-typing-v4-003	78	optional	違反	mcbopomofo	單詞	違反
tw-typing-v4-003	78	optional	也在	mcbopomofo	單詞	也在
tw-typing-v4-003	78	optional	全球	mcbopomofo	概念詞族	日常生活:全球
tw-typing-v4-003	78	optional	飲用	mcbopomofo	單詞	飲用
tw-typing-v4-003	78	optional	都會	mcbopomofo	單詞	都會
tw-typing-v4-003	78	optional	在乎	mcbopomofo	單詞	在乎
tw-typing-v4-003	78	required	從事	mcbopomofo	單詞	從事
tw-typing-v4-004	112	required	就是	mcbopomofo	概念詞族	日常生活:就是
tw-typing-v4-004	112	optional	全世界	mcbopomofo	概念詞族	日常生活:世界
tw-typing-v4-004	112	required	貨幣	mcbopomofo	概念詞族	日常生活:貨幣
tw-typing-v4-004	112	optional	二十一	mcbopomofo	概念詞族	日常生活:十一
tw-typing-v4-004	112	optional	一些	mcbopomofo	概念詞族	日常生活:一些
tw-typing-v4-004	112	optional	有看到	mcbopomofo	概念詞族	日常生活:看到
tw-typing-v4-004	112	optional	這一些	mcbopomofo	概念詞族	日常生活:一些
tw-typing-v4-004	112	optional	看到	mcbopomofo	概念詞族	日常生活:看到
tw-typing-v4-004	112	optional	世界	mcbopomofo	概念詞族	日常生活:世界
tw-typing-v4-004	112	required	三十	mcbopomofo	概念詞族	日常生活:三十
tw-typing-v4-004	112	required	定期定額	general	概念詞族	日常生活:定期
tw-typing-v4-004	112	optional	第十一	mcbopomofo	概念詞族	日常生活:十一
tw-typing-v4-004	112	optional	越來	mcbopomofo	概念詞族	日常生活:越來
tw-typing-v4-004	112	required	的確	mcbopomofo	概念詞族	日常生活:的確
tw-typing-v4-004	112	optional	國人	mcbopomofo	概念詞族	日常生活:國人
tw-typing-v4-004	112	optional	攻擊	mcbopomofo	概念詞族	日常生活:攻擊
tw-typing-v4-004	112	required	也就是	mcbopomofo	概念詞族	日常生活:就是
tw-typing-v4-004	112	optional	外國人	mcbopomofo	概念詞族	日常生活:國人
tw-typing-v4-004	112	optional	三十五	mcbopomofo	概念詞族	日常生活:三十
tw-typing-v4-004	112	required	數位貨幣	general	概念詞族	日常生活:貨幣
tw-typing-v4-004	112	required	定期	mcbopomofo	概念詞族	日常生活:定期
tw-typing-v4-004	112	required	淨零排放	general	概念詞族	日常生活:淨零
tw-typing-v4-004	112	required	在一起	mcbopomofo	概念詞族	日常生活:一起
tw-typing-v4-004	112	required	一起	mcbopomofo	概念詞族	日常生活:一起
tw-typing-v4-004	112	required	事情	mcbopomofo	概念詞族	日常生活:事情
tw-typing-v4-004	112	required	的事情	mcbopomofo	概念詞族	日常生活:事情
tw-typing-v4-004	112	optional	網路攻擊	general	概念詞族	日常生活:攻擊
tw-typing-v4-004	112	optional	越來越	mcbopomofo	概念詞族	日常生活:越來
tw-typing-v4-004	112	required	的確是	mcbopomofo	概念詞族	日常生活:的確
tw-typing-v4-004	112	required	淨零	general	概念詞族	日常生活:淨零
tw-typing-v4-005	12	optional	庫存	business,industrial-engineering,mcbopomofo	同義近義	存貨庫存
tw-typing-v4-005	12	required	結帳分錄	finance	概念詞族	商業管理:分錄
tw-typing-v4-005	12	required	調整分錄	finance	概念詞族	商業管理:分錄
