詞	詞頻	注音
零個	3	ㄌㄧㄥˊ ㄍㄜˋ
零件	3	ㄌㄧㄥˊ ㄐㄧㄢˋ
零份	3	ㄌㄧㄥˊ ㄈㄣˋ
零張	3	ㄌㄧㄥˊ ㄓㄤ
零片	3	ㄌㄧㄥˊ ㄆㄧㄢˋ
零篇	3	ㄌㄧㄥˊ ㄆㄧㄢ
零本	3	ㄌㄧㄥˊ ㄅㄣˇ
零頁	3	ㄌㄧㄥˊ ㄧㄝˋ
零筆	3	ㄌㄧㄥˊ ㄅㄧˇ
零項	3	ㄌㄧㄥˊ ㄒㄧㄤˋ
零包	3	ㄌㄧㄥˊ ㄅㄠ
零盒	3	ㄌㄧㄥˊ ㄏㄜˊ
零瓶	3	ㄌㄧㄥˊ ㄆㄧㄥˊ
零杯	3	ㄌㄧㄥˊ ㄅㄟ
零位	3	ㄌㄧㄥˊ ㄨㄟˋ
零人	3	ㄌㄧㄥˊ ㄖㄣˊ
零次	3	ㄌㄧㄥˊ ㄘˋ
零場	3	ㄌㄧㄥˊ ㄔㄤˇ
零秒	3	ㄌㄧㄥˊ ㄇㄧㄠˇ
零分	3	ㄌㄧㄥˊ ㄈㄣ
零時	3	ㄌㄧㄥˊ ㄕˊ
零天	3	ㄌㄧㄥˊ ㄊㄧㄢ
零日	3	ㄌㄧㄥˊ ㄖˋ
零週	3	ㄌㄧㄥˊ ㄓㄡ
零月	3	ㄌㄧㄥˊ ㄩㄝˋ
零年	3	ㄌㄧㄥˊ ㄋㄧㄢˊ
零號	3	ㄌㄧㄥˊ ㄏㄠˋ
零元	3	ㄌㄧㄥˊ ㄩㄢˊ
零角	3	ㄌㄧㄥˊ ㄐㄧㄠˇ
零度	3	ㄌㄧㄥˊ ㄉㄨˋ
零坪	3	ㄌㄧㄥˊ ㄆㄧㄥˊ
零分鐘	3	ㄌㄧㄥˊ ㄈㄣ ㄓㄨㄥ
零小時	3	ㄌㄧㄥˊ ㄒㄧㄠˇ ㄕˊ
零公斤	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄐㄧㄣ
零公克	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄎㄜˋ
零公里	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄌㄧˇ
零公尺	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄔˇ
零公分	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄈㄣ
零毫升	3	ㄌㄧㄥˊ ㄏㄠˊ ㄕㄥ
零公升	3	ㄌㄧㄥˊ ㄍㄨㄥ ㄕㄥ
一個	3	ㄧ ㄍㄜˋ
一件	3	ㄧ ㄐㄧㄢˋ
一份	3	ㄧ ㄈㄣˋ
一張	3	ㄧ ㄓㄤ
一片	3	ㄧ ㄆㄧㄢˋ
