詞	詞頻	注音	分類
作物育種	15	ㄗㄨㄛˋ ㄨˋ ㄩˋ ㄓㄨㄥˇ	農業食品
凍結乾燥	14	ㄉㄨㄥˋ ㄐㄧㄝˊ ㄍㄢ ㄗㄠˋ	農業食品
分析	14	ㄈㄣ ㄒㄧ	農業食品
動物用藥	15	ㄉㄨㄥˋ ㄨˋ ㄩㄥˋ ㄧㄠˋ	農業食品
危害	15	ㄨㄟˊ ㄏㄞˋ	農業食品
友善農業	14	ㄧㄡˇ ㄕㄢˋ ㄋㄨㄥˊ ㄧㄝˋ	農業食品
商業滅菌	10	ㄕㄤ ㄧㄝˋ ㄇㄧㄝˋ ㄐㄩㄣˋ	農業食品
噴霧乾燥	12	ㄆㄣ ㄨˋ ㄍㄢ ㄗㄠˋ	農業食品
園藝學	14	ㄩㄢˊ ㄧˋ ㄒㄩㄝˊ	農業食品
土壤改良	16	ㄊㄨˇ ㄖㄤˇ ㄍㄞˇ ㄌㄧㄤˊ	農業食品
增稠劑	14	ㄗㄥ ㄔㄡˊ ㄐㄧˋ	農業食品
天敵昆蟲	12	ㄊㄧㄢ ㄉㄧˊ ㄎㄨㄣ ㄔㄨㄥˊ	農業食品
套袋	13	ㄊㄠˋ ㄉㄞˋ	農業食品
安全	16	ㄢ ㄑㄩㄢˊ	農業食品
巴斯德	10	ㄅㄚ ㄙ ㄉㄜˊ	農業食品
微生物	18	ㄨㄟˊ ㄕㄥ ㄨˋ	農業食品
性費洛蒙	10	ㄒㄧㄥˋ ㄈㄟˋ ㄌㄨㄛˋ ㄇㄥˊ	農業食品
採收期	14	ㄘㄞˇ ㄕㄡ ㄑㄧ	農業食品
摘心	10	ㄓㄞ ㄒㄧㄣ	農業食品
智慧農業	15	ㄓˋ ㄏㄨㄟˋ ㄋㄨㄥˊ ㄧㄝˋ	農業食品
有機農業	18	ㄧㄡˇ ㄐㄧ ㄋㄨㄥˊ ㄧㄝˋ	農業食品
李斯特菌	12	ㄌㄧˇ ㄙ ㄊㄜˋ ㄐㄩㄣ	農業食品
殘留	14	ㄘㄢˊ ㄌㄧㄡˊ	農業食品
殺菌	16	ㄕㄚ ㄐㄩㄣˋ	農業食品
氣調包裝	10	ㄑㄧˋ ㄉㄧㄠˋ ㄅㄠ ㄓㄨㄤ	農業食品
水耕栽培	14	ㄕㄨㄟˇ ㄍㄥ ㄗㄞ ㄆㄟˊ	農業食品
永續農業	16	ㄩㄥˇ ㄒㄩˋ ㄋㄨㄥˊ ㄧㄝˋ	農業食品
污染	15	ㄨ ㄖㄢˇ	農業食品
溫室栽培	16	ㄨㄣ ㄕˋ ㄗㄞ ㄆㄟˊ	農業食品
滴灌	13	ㄉㄧ ㄍㄨㄢˋ	農業食品
無土栽培	11	ㄨˊ ㄊㄨˇ ㄗㄞ ㄆㄟˊ	農業食品
燻製	11	ㄒㄩㄣ ㄓˋ	農業食品
甜味劑	13	ㄊㄧㄢˊ ㄨㄟˋ ㄐㄧˋ	農業食品
產品追蹤	10	ㄔㄢˇ ㄆㄧㄣˇ ㄓㄨㄟ ㄗㄨㄥ	農業食品
疏果	10	ㄕㄨ ㄍㄨㄛˇ	農業食品
疏花	8	ㄕㄨ ㄏㄨㄚ	農業食品
病蟲害	18	ㄅㄧㄥˋ ㄔㄨㄥˊ ㄏㄞˋ	農業食品
真空包裝	15	ㄓㄣ ㄎㄨㄥ ㄅㄠ ㄓㄨㄤ	農業食品
真菌毒素	12	ㄓㄣ ㄐㄩㄣˋ ㄉㄨˊ ㄙㄨˋ	農業食品
瞬間	8	ㄕㄨㄣˋ ㄐㄧㄢ	農業食品
種子學	9	ㄓㄨㄥˇ ㄗˇ ㄒㄩㄝˊ	農業食品
管制點	15	ㄍㄨㄢˇ ㄓˋ ㄉㄧㄢˇ	農業食品
管理	14	ㄍㄨㄢˇ ㄌㄧˇ	農業食品
