詞	詞頻	注音	分類
上下文視窗	3	ㄕㄤˋ ㄒㄧㄚˋ ㄨㄣˊ ㄕˋ ㄔㄨㄤ	AI資料科學
串流處理	11	ㄔㄨㄢˋ ㄌㄧㄡˊ ㄔㄨˇ ㄌㄧˇ	AI資料科學
主動學習	11	ㄓㄨˇ ㄉㄨㄥˋ ㄒㄩㄝˊ ㄒㄧˊ	AI資料科學
主成分分析	7	ㄓㄨˇ ㄔㄥˊ ㄈㄣˋ ㄈㄣ ㄒㄧ	AI資料科學
主資料管理	7	ㄓㄨˇ ㄗ ㄌㄧㄠˋ ㄍㄨㄢˇ ㄌㄧˇ	AI資料科學
交叉驗證	10	ㄐㄧㄠ ㄔㄚ ㄧㄢˋ ㄓㄥˋ	AI資料科學
人工智慧	11	ㄖㄣˊ ㄍㄨㄥ ㄓˋ ㄏㄨㄟˋ	AI資料科學
人臉辨識	14	ㄖㄣˊ ㄌㄧㄢˇ ㄅㄧㄢˋ ㄕˋ	AI資料科學
人類	14	ㄖㄣˊ ㄌㄟˋ	AI資料科學
代理式	11	ㄉㄞˋ ㄌㄧˇ ㄕˋ	AI資料科學
位置編碼	11	ㄨㄟˋ ㄓˋ ㄅㄧㄢ ㄇㄚˇ	AI資料科學
低秩適配	12	ㄉㄧ ㄓˋ ㄕˋ ㄆㄟˋ	AI資料科學
偏好	14	ㄆㄧㄢ ㄏㄠˋ	AI資料科學
偏好最佳化	4	ㄆㄧㄢ ㄏㄠˋ ㄗㄨㄟˋ ㄐㄧㄚ ㄏㄨㄚˋ	AI資料科學
偏差	12	ㄆㄧㄢ ㄔㄚ	AI資料科學
偏誤分析	15	ㄆㄧㄢ ㄨˋ ㄈㄣ ㄒㄧ	AI資料科學
光學	11	ㄍㄨㄤ ㄒㄩㄝˊ	AI資料科學
函式呼叫	10	ㄏㄢˊ ㄕˋ ㄏㄨ ㄐㄧㄠˋ	AI資料科學
分層抽樣	10	ㄈㄣ ㄘㄥˊ ㄔㄡ ㄧㄤˋ	AI資料科學
分析	18	ㄈㄣ ㄒㄧ	AI資料科學
分類	16	ㄈㄣ ㄌㄟˋ	AI資料科學
分類模型	15	ㄈㄣ ㄌㄟˋ ㄇㄛˊ ㄒㄧㄥˊ	AI資料科學
判別	11	ㄆㄢˋ ㄅㄧㄝˊ	AI資料科學
前綴微調	13	ㄑㄧㄢˊ ㄓㄨㄟˋ ㄨㄟˊ ㄊㄧㄠˊ	AI資料科學
半監督式	12	ㄅㄢˋ ㄐㄧㄢ ㄉㄨ ㄕˋ	AI資料科學
半結構化	13	ㄅㄢˋ ㄐㄧㄝˊ ㄍㄡˋ ㄏㄨㄚˋ	AI資料科學
卷積	11	ㄐㄩㄢˇ ㄐㄧ	AI資料科學
參數	12	ㄘㄢ ㄕㄨˋ	AI資料科學
反向傳播	10	ㄈㄢˇ ㄒㄧㄤˋ ㄔㄨㄢˊ ㄅㄛ	AI資料科學
句法剖析	10	ㄐㄩˋ ㄈㄚˇ ㄆㄡ ㄒㄧ	AI資料科學
可觀測性	12	ㄎㄜˇ ㄍㄨㄢ ㄘㄜˋ ㄒㄧㄥˋ	AI資料科學
向量搜尋	10	ㄒㄧㄤˋ ㄌㄧㄤˋ ㄙㄡ ㄒㄩㄣˊ	AI資料科學
命名	12	ㄇㄧㄥˋ ㄇㄧㄥˊ	AI資料科學
問答系統	12	ㄨㄣˋ ㄉㄚˊ ㄒㄧˋ ㄊㄨㄥˇ	AI資料科學
單元	13	ㄉㄢ ㄩㄢˊ	AI資料科學
回饋	13	ㄏㄨㄟˊ ㄎㄨㄟˋ	AI資料科學
圖像	12	ㄊㄨˊ ㄒㄧㄤˋ	AI資料科學
均方誤差	12	ㄐㄩㄣ ㄈㄤ ㄨˋ ㄔㄚ	AI資料科學
基礎模型	13	ㄐㄧ ㄔㄨˇ ㄇㄛˊ ㄒㄧㄥˊ	AI資料科學
增強	12	ㄗㄥ ㄑㄧㄤˊ	AI資料科學
增量學習	12	ㄗㄥ ㄌㄧㄤˋ ㄒㄩㄝˊ ㄒㄧˊ	AI資料科學
多代理系統	7	ㄉㄨㄛ ㄉㄞˋ ㄌㄧˇ ㄒㄧˋ ㄊㄨㄥˇ	AI資料科學
多任務學習	6	ㄉㄨㄛ ㄖㄣˋ ㄨˋ ㄒㄩㄝˊ ㄒㄧˊ	AI資料科學
