詞	詞頻	注音	分類	作品名稱
一之瀨四季	17	ㄧ ㄓ ㄌㄞˋ ㄙˋ ㄐㄧˋ	動漫	桃源暗鬼
一之瀨琴美	13	ㄧ ㄓ ㄌㄞˋ ㄑㄧㄣˊ ㄇㄟˇ	動漫	CLANNAD
一人出局	12	ㄧ ㄖㄣˊ ㄔㄨ ㄐㄩˊ	動漫	ONE OUTS超智遊戲
一個	16	ㄧ ㄍㄜ˙	動漫	名偵探柯南
一刻館	12	ㄧ ㄎㄜˋ ㄍㄨㄢˇ	動漫	相聚一刻
一存	20	ㄧ ㄘㄨㄣˊ	動漫	學生會的一存
一拳	12	ㄧ ㄑㄩㄢˊ	動漫	一拳超人
一拳超人	25	ㄧ ㄑㄩㄢˊ ㄔㄠ ㄖㄣˊ	動漫	一拳超人
一方通行	14	ㄧ ㄈㄤ ㄊㄨㄥ ㄒㄧㄥˊ	動漫	魔法禁書目錄
一條拓麻	12	ㄧ ㄊㄧㄠˊ ㄊㄨㄛˋ ㄇㄚˊ	動漫	吸血鬼騎士
一條螢	16	ㄧ ㄊㄧㄠˊ ㄧㄥˊ	動漫	悠悠哉哉少女日和
一次	14	ㄧ ㄘˋ	動漫	地獄少女
一百	15	ㄧ ㄅㄞˇ	動漫	Dr.STONE新石紀
一百個朋友	13	ㄧ ㄅㄞˇ ㄍㄜ˙ ㄆㄥˊ ㄧㄡˇ	動漫	古見同學是溝通魯蛇
一目連	17	ㄧ ㄇㄨˋ ㄌㄧㄢˊ	動漫	地獄少女
一色彩羽	13	ㄧ ㄙㄜˋ ㄘㄞˇ ㄩˇ	動漫	果然我的青春戀愛喜劇搞錯了
一色慧	11	ㄧ ㄙㄜˋ ㄏㄨㄟˋ	動漫	食戟之靈
七大	14	ㄑㄧ ㄉㄚˋ	動漫	地縛少年花子君
七大罪	22	ㄑㄧ ㄉㄚˋ ㄗㄨㄟˋ	動漫	七大罪
七寶	12	ㄑㄧ ㄅㄠˇ	動漫	犬夜叉
七尾梢	12	ㄑㄧ ㄨㄟˇ ㄕㄠ	動漫	相聚一刻
七日	13	ㄑㄧ ㄖˋ	動漫	中二病也想談戀愛
七條天空	14	ㄑㄧ ㄊㄧㄠˊ ㄊㄧㄢ ㄎㄨㄥ	動漫	妄想學生會
七海麻美	14	ㄑㄧ ㄏㄞˇ ㄇㄚˊ ㄇㄟˇ	動漫	租借女友
七瀨美雪	19	ㄑㄧ ㄌㄞˋ ㄇㄟˇ ㄒㄩㄝˇ	動漫	金田一少年之事件簿
七瀨花凜	13	ㄑㄧ ㄌㄞˋ ㄏㄨㄚ ㄌㄧㄣˇ	動漫	虛構推理
七瀨遙	19	ㄑㄧ ㄌㄞˋ ㄧㄠˊ	動漫	Free!男子游泳部
七瀨陸	17	ㄑㄧ ㄌㄞˋ ㄌㄨˋ	動漫	IDOLiSH7
七龍珠	12	ㄑㄧ ㄌㄨㄥˊ ㄓㄨ	動漫	七龍珠
丈槍由紀	18	ㄓㄤˋ ㄑㄧㄤ ㄧㄡˊ ㄐㄧˋ	動漫	學園孤島
三井壽	15	ㄙㄢ ㄐㄧㄥˇ ㄕㄡˋ	動漫	灌籃高手
三千院凪	17	ㄙㄢ ㄑㄧㄢ ㄩㄢˋ ㄓˇ	動漫	旋風管家
三宅忍	13	ㄙㄢ ㄓㄞˊ ㄖㄣˇ	動漫	福星小子
三宅日向	15	ㄙㄢ ㄓㄞˊ ㄖˋ ㄒㄧㄤˋ	動漫	比宇宙更遠的地方
三日月閑	17	ㄙㄢ ㄖˋ ㄩㄝˋ ㄒㄧㄢˊ	動漫	殭屍100～在成為殭屍前要做的100件事～
三木清良	14	ㄙㄢ ㄇㄨˋ ㄑㄧㄥ ㄌㄧㄤˊ	動漫	交響情人夢
三橋廉	16	ㄙㄢ ㄑㄧㄠˊ ㄌㄧㄢˊ	動漫	王牌投手振臂高揮
三浦梓	8	ㄙㄢ ㄆㄨˇ ㄗˇ	動漫	偶像大師
三田亞由美	13	ㄙㄢ ㄊㄧㄢˊ ㄧㄚˇ ㄧㄡˊ ㄇㄟˇ	動漫	狼少女與黑王子
