詞	詞頻	注音	分類
不良	13	ㄅㄨˋ ㄌㄧㄤˊ	生技藥學
主要終點	12	ㄓㄨˇ ㄧㄠˋ ㄓㄨㄥ ㄉㄧㄢˇ	生技藥學
交互作用	11	ㄐㄧㄠ ㄏㄨˋ ㄗㄨㄛˋ ㄩㄥˋ	生技藥學
代謝工程	11	ㄉㄞˋ ㄒㄧㄝˋ ㄍㄨㄥ ㄔㄥˊ	生技藥學
代謝體學	11	ㄉㄞˋ ㄒㄧㄝˋ ㄊㄧˇ ㄒㄩㄝˊ	生技藥學
優效性	12	ㄧㄡ ㄒㄧㄠˋ ㄒㄧㄥˋ	生技藥學
優良	12	ㄧㄡ ㄌㄧㄤˊ	生技藥學
先導	12	ㄒㄧㄢ ㄉㄠˇ	生技藥學
免疫	12	ㄇㄧㄢˇ ㄧˋ	生技藥學
全基因體	13	ㄑㄩㄢˊ ㄐㄧ ㄧㄣ ㄊㄧˇ	生技藥學
凍晶製劑	11	ㄉㄨㄥˋ ㄐㄧㄥ ㄓˋ ㄐㄧˋ	生技藥學
凝膠電泳	11	ㄋㄧㄥˊ ㄐㄧㄠ ㄉㄧㄢˋ ㄩㄥˇ	生技藥學
分布體積	11	ㄈㄣ ㄅㄨˋ ㄊㄧˇ ㄐㄧ	生技藥學
分析	17	ㄈㄣ ㄒㄧ	生技藥學
前臨床	13	ㄑㄧㄢˊ ㄌㄧㄣˊ ㄔㄨㄤˊ	生技藥學
劑型	11	ㄐㄧˋ ㄒㄧㄥˊ	生技藥學
劑量	12	ㄐㄧˋ ㄌㄧㄤˋ	生技藥學
加速	13	ㄐㄧㄚ ㄙㄨˋ	生技藥學
動力學	11	ㄉㄨㄥˋ ㄌㄧˋ ㄒㄩㄝˊ	生技藥學
化合物	11	ㄏㄨㄚˋ ㄏㄜˊ ㄨˋ	生技藥學
北方	12	ㄅㄟˇ ㄈㄤ	生技藥學
南方	13	ㄋㄢˊ ㄈㄤ	生技藥學
即時	13	ㄐㄧˊ ㄕˊ	生技藥學
原代細胞	13	ㄩㄢˊ ㄉㄞˋ ㄒㄧˋ ㄅㄠ	生技藥學
原料藥	11	ㄩㄢˊ ㄌㄧㄠˋ ㄧㄠˋ	生技藥學
反應	18	ㄈㄢˇ ㄧㄥˋ	生技藥學
可用率	13	ㄎㄜˇ ㄩㄥˋ ㄌㄩˋ	生技藥學
合成	12	ㄏㄜˊ ㄔㄥˊ	生技藥學
吸附	10	ㄒㄧ ㄈㄨˋ	生技藥學
單導	12	ㄉㄢ ㄉㄠˇ	生技藥學
單細胞	11	ㄉㄢ ㄒㄧˋ ㄅㄠ	生技藥學
基因克隆	11	ㄐㄧ ㄧㄣ ㄎㄜˋ ㄌㄨㄥˊ	生技藥學
基因定序	11	ㄐㄧ ㄧㄣ ㄉㄧㄥˋ ㄒㄩˋ	生技藥學
基因敲入	11	ㄐㄧ ㄧㄣ ㄑㄧㄠ ㄖㄨˋ	生技藥學
基因敲除	11	ㄐㄧ ㄧㄣ ㄑㄧㄠ ㄔㄨˊ	生技藥學
基因編輯	11	ㄐㄧ ㄧㄣ ㄅㄧㄢ ㄐㄧˊ	生技藥學
基因體學	11	ㄐㄧ ㄧㄣ ㄊㄧˇ ㄒㄩㄝˊ	生技藥學
墨點法	13	ㄇㄛˋ ㄉㄧㄢˇ ㄈㄚˇ	生技藥學
外顯子	13	ㄨㄞˋ ㄒㄧㄢˇ ㄗˇ	生技藥學
多能	9	ㄉㄨㄛ ㄋㄥˊ	生技藥學
安全	14	ㄢ ㄑㄩㄢˊ	生技藥學
安定性	12	ㄢ ㄉㄧㄥˋ ㄒㄧㄥˋ	生技藥學
安慰劑	9	ㄢ ㄨㄟˋ ㄐㄧˋ	生技藥學
定序	17	ㄉㄧㄥˋ ㄒㄩˋ	生技藥學
對照	12	ㄉㄨㄟˋ ㄓㄠˋ	生技藥學
工程	18	ㄍㄨㄥ ㄔㄥˊ	生技藥學
