詞	詞頻	注音	分類
人力	9	ㄖㄣˊ ㄌㄧˋ	商業
人力優化	11	ㄖㄣˊ ㄌㄧˋ ㄧㄡ ㄏㄨㄚˋ	商業
人力分析	12	ㄖㄣˊ ㄌㄧˋ ㄈㄣ ㄒㄧ	商業
人力成本	11	ㄖㄣˊ ㄌㄧˋ ㄔㄥˊ ㄅㄣˇ	商業
人力盤點	11	ㄖㄣˊ ㄌㄧˋ ㄆㄢˊ ㄉㄧㄢˇ	商業
人力策略	11	ㄖㄣˊ ㄌㄧˋ ㄘㄜˋ ㄌㄩㄝˋ	商業
人力管理	12	ㄖㄣˊ ㄌㄧˋ ㄍㄨㄢˇ ㄌㄧˇ	商業
人力規劃	12	ㄖㄣˊ ㄌㄧˋ ㄍㄨㄟ ㄏㄨㄚˋ	商業
人力預測	11	ㄖㄣˊ ㄌㄧˋ ㄩˋ ㄘㄜˋ	商業
人員流動率	5	ㄖㄣˊ ㄩㄢˊ ㄌㄧㄡˊ ㄉㄨㄥˋ ㄌㄩˋ	商業
人才招募	11	ㄖㄣˊ ㄘㄞˊ ㄓㄠ ㄇㄨˋ	商業
人才發展	11	ㄖㄣˊ ㄘㄞˊ ㄈㄚ ㄓㄢˇ	商業
人才盤點	11	ㄖㄣˊ ㄘㄞˊ ㄆㄢˊ ㄉㄧㄢˇ	商業
企業	16	ㄑㄧˋ ㄧㄝˋ	商業
企業治理	12	ㄑㄧˋ ㄧㄝˋ ㄓˋ ㄌㄧˇ	商業
供應商管理	5	ㄍㄨㄥ ㄧㄥˋ ㄕㄤ ㄍㄨㄢˇ ㄌㄧˇ	商業
供應鏈	16	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ	商業
供應鏈優化	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄧㄡ ㄏㄨㄚˋ	商業
供應鏈分析	5	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄈㄣ ㄒㄧ	商業
供應鏈策略	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄘㄜˋ ㄌㄩㄝˋ	商業
供應鏈管理	5	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄍㄨㄢˇ ㄌㄧˇ	商業
供應鏈規劃	5	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄍㄨㄟ ㄏㄨㄚˋ	商業
供應鏈韌性	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄖㄣˋ ㄒㄧㄥˋ	商業
供應鏈預測	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄩˋ ㄘㄜˋ	商業
供應鏈風險	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄈㄥ ㄒㄧㄢˇ	商業
促銷活動	11	ㄘㄨˋ ㄒㄧㄠ ㄏㄨㄛˊ ㄉㄨㄥˋ	商業
價值	16	ㄐㄧㄚˋ ㄓˊ	商業
價值主張	12	ㄐㄧㄚˋ ㄓˊ ㄓㄨˇ ㄓㄤ	商業
價值鏈分析	6	ㄐㄧㄚˋ ㄓˊ ㄌㄧㄢˋ ㄈㄣ ㄒㄧ	商業
內容行銷	12	ㄋㄟˋ ㄖㄨㄥˊ ㄒㄧㄥˊ ㄒㄧㄠ	商業
內部控制	12	ㄋㄟˋ ㄅㄨˋ ㄎㄨㄥˋ ㄓˋ	商業
內部稽核	11	ㄋㄟˋ ㄅㄨˋ ㄐㄧ ㄏㄜˊ	商業
分析	18	ㄈㄣ ㄒㄧ	商業
分解	13	ㄈㄣ ㄐㄧㄝˇ	商業
利害	12	ㄌㄧˋ ㄏㄞˋ	商業
取得	14	ㄑㄩˇ ㄉㄜˊ	商業
口碑行銷	11	ㄎㄡˇ ㄅㄟ ㄒㄧㄥˊ ㄒㄧㄠ	商業
可行	13	ㄎㄜˇ ㄒㄧㄥˊ	商業
合格商機	11	ㄏㄜˊ ㄍㄜˊ ㄕㄤ ㄐㄧ	商業
品牌	8	ㄆㄧㄣˇ ㄆㄞˊ	商業
品牌優化	11	ㄆㄧㄣˇ ㄆㄞˊ ㄧㄡ ㄏㄨㄚˋ	商業
品牌分析	12	ㄆㄧㄣˇ ㄆㄞˊ ㄈㄣ ㄒㄧ	商業
品牌定位	11	ㄆㄧㄣˇ ㄆㄞˊ ㄉㄧㄥˋ ㄨㄟˋ	商業
品牌延伸	11	ㄆㄧㄣˇ ㄆㄞˊ ㄧㄢˊ ㄕㄣ	商業
品牌授權	11	ㄆㄧㄣˇ ㄆㄞˊ ㄕㄡˋ ㄑㄩㄢˊ	商業
品牌權益	11	ㄆㄧㄣˇ ㄆㄞˊ ㄑㄩㄢˊ ㄧˋ	商業
品牌策略	11	ㄆㄧㄣˇ ㄆㄞˊ ㄘㄜˋ ㄌㄩㄝˋ	商業
