詞	詞頻	注音	分類
三十六字母	4	ㄙㄢ ㄕˊ ㄌㄧㄡˋ ㄗˋ ㄇㄨˇ	中文
上古音	11	ㄕㄤˋ ㄍㄨˇ ㄧㄣ	中文
不可靠	12	ㄅㄨˋ ㄎㄜˇ ㄎㄠˋ	中文
世情小說	12	ㄕˋ ㄑㄧㄥˊ ㄒㄧㄠˇ ㄕㄨㄛ	中文
並列複句	10	ㄅㄧㄥˋ ㄌㄧㄝˋ ㄈㄨˋ ㄐㄩˋ	中文
中原音韻	10	ㄓㄨㄥ ㄩㄢˊ ㄧㄣ ㄩㄣˋ	中文
中古音	11	ㄓㄨㄥ ㄍㄨˇ ㄧㄣ	中文
中心語	12	ㄓㄨㄥ ㄒㄧㄣ ㄩˇ	中文
主謂句	13	ㄓㄨˇ ㄨㄟˋ ㄐㄩˋ	中文
主謂複詞	13	ㄓㄨˇ ㄨㄟˋ ㄈㄨˋ ㄘˊ	中文
乙正	11	ㄧˇ ㄓㄥˋ	中文
互文性	12	ㄏㄨˋ ㄨㄣˊ ㄒㄧㄥˋ	中文
仿擬	11	ㄈㄤˇ ㄋㄧˇ	中文
余光中	13	ㄩˊ ㄍㄨㄤ ㄓㄨㄥ	中文
作品研究	22	ㄗㄨㄛˋ ㄆㄧㄣˇ ㄧㄢˊ ㄐㄧㄡˋ	中文
俠義小說	10	ㄒㄧㄚˊ ㄧˋ ㄒㄧㄠˇ ㄕㄨㄛ	中文
倒文	12	ㄉㄠˋ ㄨㄣˊ	中文
借代	11	ㄐㄧㄝˋ ㄉㄞˋ	中文
借喻	11	ㄐㄧㄝˋ ㄩˋ	中文
假設複句	11	ㄐㄧㄚˇ ㄕㄜˋ ㄈㄨˋ ㄐㄩˋ	中文
偏正複句	11	ㄆㄧㄢ ㄓㄥˋ ㄈㄨˋ ㄐㄩˋ	中文
偏正複詞	11	ㄆㄧㄢ ㄓㄥˋ ㄈㄨˋ ㄘˊ	中文
偏義複詞	11	ㄆㄧㄢ ㄧˋ ㄈㄨˋ ㄘˊ	中文
傳奇劇本	11	ㄔㄨㄢˊ ㄑㄧˊ ㄐㄩˋ ㄅㄣˇ	中文
全清	13	ㄑㄩㄢˊ ㄑㄧㄥ	中文
全濁	13	ㄑㄩㄢˊ ㄓㄨㄛˊ	中文
八聲	12	ㄅㄚ ㄕㄥ	中文
公案小說	10	ㄍㄨㄥ ㄢˋ ㄒㄧㄠˇ ㄕㄨㄛ	中文
兼語句	11	ㄐㄧㄢ ㄩˇ ㄐㄩˋ	中文
切韻	12	ㄑㄧㄝˋ ㄩㄣˋ	中文
創作特色	22	ㄔㄨㄤˋ ㄗㄨㄛˋ ㄊㄜˋ ㄙㄜˋ	中文
動賓複詞	13	ㄉㄨㄥˋ ㄅㄧㄣ ㄈㄨˋ ㄘˊ	中文
南戲	12	ㄋㄢˊ ㄒㄧˋ	中文
古今字	11	ㄍㄨˇ ㄐㄧㄣ ㄗˋ	中文
古代漢語	11	ㄍㄨˇ ㄉㄞˋ ㄏㄢˋ ㄩˇ	中文
句法學	9	ㄐㄩˋ ㄈㄚˇ ㄒㄩㄝˊ	中文
合口呼	10	ㄏㄜˊ ㄎㄡˇ ㄏㄨ	中文
合成詞	11	ㄏㄜˊ ㄔㄥˊ ㄘˊ	中文
呼告	11	ㄏㄨ ㄍㄠˋ	中文
喜劇性	11	ㄒㄧˇ ㄐㄩˋ ㄒㄧㄥˋ	中文
單純詞	11	ㄉㄢ ㄔㄨㄣˊ ㄘˊ	中文
嘆詞	11	ㄊㄢˋ ㄘˊ	中文
因果複句	10	ㄧㄣ ㄍㄨㄛˇ ㄈㄨˋ ㄐㄩˋ	中文
婉曲	10	ㄨㄢˇ ㄑㄩ	中文
存現句	12	ㄘㄨㄣˊ ㄒㄧㄢˋ ㄐㄩˋ	中文
定語	13	ㄉㄧㄥˋ ㄩˇ	中文
屈原	13	ㄑㄩ ㄩㄢˊ	中文
層遞	12	ㄘㄥˊ ㄉㄧˋ	中文
廣韻	12	ㄍㄨㄤˇ ㄩㄣˋ	中文
形訓	12	ㄒㄧㄥˊ ㄒㄩㄣˋ	中文
後起字	11	ㄏㄡˋ ㄑㄧˇ ㄗˋ	中文
徐志摩	13	ㄒㄩˊ ㄓˋ ㄇㄛˊ	中文
心理語言學	4	ㄒㄧㄣ ㄌㄧˇ ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
志人	12	ㄓˋ ㄖㄣˊ	中文
志怪	12	ㄓˋ ㄍㄨㄞˋ	中文
感嘆句	10	ㄍㄢˇ ㄊㄢˋ ㄐㄩˋ	中文
批校本	11	ㄆㄧ ㄐㄧㄠˋ ㄅㄣˇ	中文
承接複句	10	ㄔㄥˊ ㄐㄧㄝ ㄈㄨˋ ㄐㄩˋ	中文
把字句	12	ㄅㄚˇ ㄗˋ ㄐㄩˋ	中文
拈連	11	ㄋㄧㄢ ㄌㄧㄢˊ	中文
擬物	11	ㄋㄧˇ ㄨˋ	中文
擬聲詞	11	ㄋㄧˇ ㄕㄥ ㄘˊ	中文
敘事學	11	ㄒㄩˋ ㄕˋ ㄒㄩㄝˊ	中文
敘事時間	11	ㄒㄩˋ ㄕˋ ㄕˊ ㄐㄧㄢ	中文
敘事結構	10	ㄒㄩˋ ㄕˋ ㄐㄧㄝˊ ㄍㄡˋ	中文
敘事者	13	ㄒㄩˋ ㄕˋ ㄓㄜˇ	中文
敘事視角	10	ㄒㄩˋ ㄕˋ ㄕˋ ㄐㄧㄠˇ	中文
數詞	12	ㄕㄨˋ ㄘˊ	中文
文學批評	12	ㄨㄣˊ ㄒㄩㄝˊ ㄆㄧ ㄆㄧㄥˊ	中文
文學理論	12	ㄨㄣˊ ㄒㄩㄝˊ ㄌㄧˇ ㄌㄨㄣˋ	中文
文學風格	22	ㄨㄣˊ ㄒㄩㄝˊ ㄈㄥ ㄍㄜˊ	中文
文本分析	11	ㄨㄣˊ ㄅㄣˇ ㄈㄣ ㄒㄧ	中文
文獻學	11	ㄨㄣˊ ㄒㄧㄢˋ ㄒㄩㄝˊ	中文
文體學	11	ㄨㄣˊ ㄊㄧˇ ㄒㄩㄝˊ	中文
曹雪芹	13	ㄘㄠˊ ㄒㄩㄝˇ ㄑㄧㄣˊ	中文
本字	13	ㄅㄣˇ ㄗˋ	中文
李清照	13	ㄌㄧˇ ㄑㄧㄥ ㄓㄠˋ	中文
李白	13	ㄌㄧˇ ㄅㄞˊ	中文
杜甫	13	ㄉㄨˋ ㄈㄨˇ	中文
析字	11	ㄒㄧ ㄗˋ	中文
柳宗元	13	ㄌㄧㄡˇ ㄗㄨㄥ ㄩㄢˊ	中文
校讎	12	ㄒㄧㄠˋ ㄔㄡˊ	中文
條件複句	12	ㄊㄧㄠˊ ㄐㄧㄢˋ ㄈㄨˋ ㄐㄩˋ	中文
構詞學	11	ㄍㄡˋ ㄘˊ ㄒㄩㄝˊ	中文
次清	13	ㄘˋ ㄑㄧㄥ	中文
次濁	13	ㄘˋ ㄓㄨㄛˊ	中文
歐陽修	13	ㄡ ㄧㄤˊ ㄒㄧㄡ	中文
歷史語言學	5	ㄌㄧˋ ㄕˇ ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
母題	12	ㄇㄨˇ ㄊㄧˊ	中文
活字本	11	ㄏㄨㄛˊ ㄗˋ ㄅㄣˇ	中文
派生詞	10	ㄆㄞˋ ㄕㄥ ㄘˊ	中文
漢語方言	10	ㄏㄢˋ ㄩˇ ㄈㄤ ㄧㄢˊ	中文
漢語語言學	3	ㄏㄢˋ ㄩˇ ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
狀語	12	ㄓㄨㄤˋ ㄩˇ	中文
現代漢語	12	ㄒㄧㄢˋ ㄉㄞˋ ㄏㄢˋ ㄩˇ	中文
用典	13	ㄩㄥˋ ㄉㄧㄢˇ	中文
疊韻詞	10	ㄉㄧㄝˊ ㄩㄣˋ ㄘˊ	中文
白居易	13	ㄅㄞˊ ㄐㄩ ㄧˋ	中文
目的複句	12	ㄇㄨˋ ㄉㄧˋ ㄈㄨˋ ㄐㄩˋ	中文
示現	12	ㄕˋ ㄒㄧㄢˋ	中文
社會語言學	6	ㄕㄜˋ ㄏㄨㄟˋ ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
移覺	12	ㄧˊ ㄐㄩㄝˊ	中文
等韻	13	ㄉㄥˇ ㄩㄣˋ	中文
簡帛文字	12	ㄐㄧㄢˇ ㄅㄛˊ ㄨㄣˊ ㄗˋ	中文
繁簡字	11	ㄈㄢˊ ㄐㄧㄢˇ ㄗˋ	中文
義符	12	ㄧˋ ㄈㄨˊ	中文
義訓	12	ㄧˋ ㄒㄩㄣˋ	中文
聯合複句	12	ㄌㄧㄢˊ ㄏㄜˊ ㄈㄨˋ ㄐㄩˋ	中文
聯合複詞	12	ㄌㄧㄢˊ ㄏㄜˊ ㄈㄨˋ ㄘˊ	中文
聯綿詞	12	ㄌㄧㄢˊ ㄇㄧㄢˊ ㄘˊ	中文
聲訓	12	ㄕㄥ ㄒㄩㄣˋ	中文
胡適	13	ㄏㄨˊ ㄕˋ	中文
能願動詞	13	ㄋㄥˊ ㄩㄢˋ ㄉㄨㄥˋ ㄘˊ	中文
脫文	11	ㄊㄨㄛ ㄨㄣˊ	中文
自由詞素	12	ㄗˋ ㄧㄡˊ ㄘˊ ㄙㄨˋ	中文
藏詞	11	ㄘㄤˊ ㄘˊ	中文
蘇軾	13	ㄙㄨ ㄕˋ	中文
衍文	11	ㄧㄢˇ ㄨㄣˊ	中文
被字句	13	ㄅㄟˋ ㄗˋ ㄐㄩˋ	中文
補充複詞	11	ㄅㄨˇ ㄔㄨㄥ ㄈㄨˋ ㄘˊ	中文
計算語言學	4	ㄐㄧˋ ㄙㄨㄢˋ ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
訛文	11	ㄜˊ ㄨㄣˊ	中文
設問	12	ㄕㄜˋ ㄨㄣˋ	中文
詞法學	12	ㄘˊ ㄈㄚˇ ㄒㄩㄝˊ	中文
語意學	11	ㄩˇ ㄧˋ ㄒㄩㄝˊ	中文
語料庫	10	ㄩˇ ㄌㄧㄠˋ ㄎㄨˋ	中文
語用學	12	ㄩˇ ㄩㄥˋ ㄒㄩㄝˊ	中文
語言學	17	ㄩˇ ㄧㄢˊ ㄒㄩㄝˊ	中文
謂語	12	ㄨㄟˋ ㄩˇ	中文
譴責小說	10	ㄑㄧㄢˇ ㄗㄜˊ ㄒㄧㄠˇ ㄕㄨㄛ	中文
趨向動詞	10	ㄑㄩ ㄒㄧㄤˋ ㄉㄨㄥˋ ㄘˊ	中文
輯佚	11	ㄐㄧˊ ㄧˋ	中文
轉品	12	ㄓㄨㄢˇ ㄆㄧㄣˇ	中文
轉折複句	10	ㄓㄨㄢˇ ㄓㄜˊ ㄈㄨˋ ㄐㄩˋ	中文
辛棄疾	13	ㄒㄧㄣ ㄑㄧˋ ㄐㄧˊ	中文
