詞	詞頻	注音	分類
下水道	14	ㄒㄧㄚˋ ㄕㄨㄟˇ ㄉㄠˋ	建築土木
伸縮裝置	10	ㄕㄣ ㄙㄨㄛ ㄓㄨㄤ ㄓˋ	建築土木
低衝擊開發	5	ㄉㄧ ㄔㄨㄥ ㄐㄧˊ ㄎㄞ ㄈㄚ	建築土木
使用	15	ㄕˇ ㄩㄥˋ	建築土木
保留地	11	ㄅㄠˇ ㄌㄧㄡˊ ㄉㄧˋ	建築土木
修復	16	ㄒㄧㄡ ㄈㄨˋ	建築土木
入滲設施	10	ㄖㄨˋ ㄕㄣˋ ㄕㄜˋ ㄕ	建築土木
全站儀測量	6	ㄑㄩㄢˊ ㄓㄢˋ ㄧˊ ㄘㄜˋ ㄌㄧㄤˊ	建築土木
公共設施	11	ㄍㄨㄥ ㄍㄨㄥˋ ㄕㄜˋ ㄕ	建築土木
分區	12	ㄈㄣ ㄑㄩ	建築土木
分析	18	ㄈㄣ ㄒㄧ	建築土木
分流制	10	ㄈㄣ ㄌㄧㄡˊ ㄓˋ	建築土木
制震設計	13	ㄓˋ ㄓㄣˋ ㄕㄜˋ ㄐㄧˋ	建築土木
剛性路面	9	ㄍㄤ ㄒㄧㄥˋ ㄌㄨˋ ㄇㄧㄢˋ	建築土木
剪力牆	16	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ	建築土木
剪力牆修復	2	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄒㄧㄡ ㄈㄨˋ	建築土木
剪力牆施工	3	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄕ ㄍㄨㄥ	建築土木
剪力牆檢驗	4	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄐㄧㄢˇ ㄧㄢˋ	建築土木
剪力牆監測	3	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄐㄧㄢ ㄘㄜˋ	建築土木
剪力牆補強	2	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄅㄨˇ ㄑㄧㄤˊ	建築土木
剪力牆設計	5	ㄐㄧㄢˇ ㄌㄧˋ ㄑㄧㄤˊ ㄕㄜˋ ㄐㄧˋ	建築土木
加勁擋土牆	6	ㄐㄧㄚ ㄐㄧㄣˋ ㄉㄤˇ ㄊㄨˇ ㄑㄧㄤˊ	建築土木
區段徵收	10	ㄑㄩ ㄉㄨㄢˋ ㄓㄥ ㄕㄡ	建築土木
危老重建	11	ㄨㄟ ㄌㄠˇ ㄔㄨㄥˊ ㄐㄧㄢˋ	建築土木
