詞	詞頻	注音	分類
一階電路	10	ㄧ ㄐㄧㄝ ㄉㄧㄢˋ ㄌㄨˋ	電子電機
三相	11	ㄙㄢ ㄒㄧㄤˋ	電子電機
三相三線	11	ㄙㄢ ㄒㄧㄤˋ ㄙㄢ ㄒㄧㄢˋ	電子電機
三相四線	9	ㄙㄢ ㄒㄧㄤˋ ㄙˋ ㄒㄧㄢˋ	電子電機
不平衡	10	ㄅㄨˋ ㄆㄧㄥˊ ㄏㄥˊ	電子電機
主動	13	ㄓㄨˇ ㄉㄨㄥˋ	電子電機
二極體	15	ㄦˋ ㄐㄧˊ ㄊㄧˇ	電子電機
二階電路	13	ㄦˋ ㄐㄧㄝ ㄉㄧㄢˋ ㄌㄨˋ	電子電機
交換式	11	ㄐㄧㄠ ㄏㄨㄢˋ ㄕˋ	電子電機
伺服馬達	10	ㄙˋ ㄈㄨˊ ㄇㄚˇ ㄉㄚˊ	電子電機
低壓差	10	ㄉㄧ ㄧㄚ ㄔㄚˋ	電子電機
低通	12	ㄉㄧ ㄊㄨㄥ	電子電機
保護接地	12	ㄅㄠˇ ㄏㄨˋ ㄐㄧㄝ ㄉㄧˋ	電子電機
保護設計	19	ㄅㄠˇ ㄏㄨˋ ㄕㄜˋ ㄐㄧˋ	電子電機
傳導干擾	10	ㄔㄨㄢˊ ㄉㄠˇ ㄍㄢ ㄖㄠˇ	電子電機
傳遞函數	11	ㄔㄨㄢˊ ㄉㄧˋ ㄏㄢˊ ㄕㄨˋ	電子電機
儀表	10	ㄧˊ ㄅㄧㄠˇ	電子電機
充電器	16	ㄔㄨㄥ ㄉㄧㄢˋ ㄑㄧˋ	電子電機
光二極體	12	ㄍㄨㄤ ㄦˋ ㄐㄧˊ ㄊㄧˇ	電子電機
光耦合器	12	ㄍㄨㄤ ㄡˇ ㄏㄜˊ ㄑㄧˋ	電子電機
光電工程	11	ㄍㄨㄤ ㄉㄧㄢˋ ㄍㄨㄥ ㄔㄥˊ	電子電機
克希荷夫	12	ㄎㄜˋ ㄒㄧ ㄏㄜˊ ㄈㄨ	電子電機
全橋	13	ㄑㄩㄢˊ ㄑㄧㄠˊ	電子電機
共基極	12	ㄍㄨㄥˋ ㄐㄧ ㄐㄧˊ	電子電機
共射極	12	ㄍㄨㄥˋ ㄕㄜˋ ㄐㄧˊ	電子電機
共源極	12	ㄍㄨㄥˋ ㄩㄢˊ ㄐㄧˊ	電子電機
共閘極	12	ㄍㄨㄥˋ ㄓㄚˊ ㄐㄧˊ	電子電機
