詞	詞頻	注音	分類
一般	15	ㄧ ㄅㄢ	環境能源
三級處理	11	ㄙㄢ ㄐㄧˊ ㄔㄨˇ ㄌㄧˇ	環境能源
事業	14	ㄕˋ ㄧㄝˋ	環境能源
二氧化碳	11	ㄦˋ ㄧㄤˇ ㄏㄨㄚˋ ㄊㄢˋ	環境能源
二級處理	11	ㄦˋ ㄐㄧˊ ㄔㄨˇ ㄌㄧˇ	環境能源
併網保護	11	ㄅㄧㄥˋ ㄨㄤˇ ㄅㄠˇ ㄏㄨˋ	環境能源
備轉容量	12	ㄅㄟˋ ㄓㄨㄢˇ ㄖㄨㄥˊ ㄌㄧㄤˋ	環境能源
儲能	12	ㄔㄨˇ ㄋㄥˊ	環境能源
儲能系統	12	ㄔㄨˇ ㄋㄥˊ ㄒㄧˋ ㄊㄨㄥˇ	環境能源
分散式	11	ㄈㄣ ㄙㄢˋ ㄕˋ	環境能源
初級處理	11	ㄔㄨ ㄐㄧˊ ㄔㄨˇ ㄌㄧˇ	環境能源
功率調度	10	ㄍㄨㄥ ㄌㄩˋ ㄉㄧㄠˋ ㄉㄨˋ	環境能源
厭氧消化	11	ㄧㄢˋ ㄧㄤˇ ㄒㄧㄠ ㄏㄨㄚˋ	環境能源
反應器	11	ㄈㄢˇ ㄧㄥˋ ㄑㄧˋ	環境能源
反應槽	11	ㄈㄢˇ ㄧㄥˋ ㄘㄠˊ	環境能源
吸附	10	ㄒㄧ ㄈㄨˋ	環境能源
噪音污染	10	ㄗㄠˋ ㄧㄣ ㄨ ㄖㄢˇ	環境能源
固定	13	ㄍㄨˋ ㄉㄧㄥˋ	環境能源
土壤	11	ㄊㄨˇ ㄖㄤˇ	環境能源
土壤污染	10	ㄊㄨˇ ㄖㄤˇ ㄨ ㄖㄢˇ	環境能源
土壤監測	11	ㄊㄨˇ ㄖㄤˇ ㄐㄧㄢ ㄘㄜˋ	環境能源
土壤盤查	10	ㄊㄨˇ ㄖㄤˇ ㄆㄢˊ ㄔㄚˊ	環境能源
土壤稽核	10	ㄊㄨˇ ㄖㄤˇ ㄐㄧ ㄏㄜˊ	環境能源
地下水	16	ㄉㄧˋ ㄒㄧㄚˋ ㄕㄨㄟˇ	環境能源
地熱發電	10	ㄉㄧˋ ㄖㄜˋ ㄈㄚ ㄉㄧㄢˋ	環境能源
基礎	14	ㄐㄧ ㄔㄨˇ	環境能源
基載電力	12	ㄐㄧ ㄗㄞˋ ㄉㄧㄢˋ ㄌㄧˋ	環境能源
壓縮空氣	10	ㄧㄚ ㄙㄨㄛ ㄎㄨㄥ ㄑㄧˋ	環境能源
太陽光電	10	ㄊㄞˋ ㄧㄤˊ ㄍㄨㄤ ㄉㄧㄢˋ	環境能源
太陽熱能	10	ㄊㄞˋ ㄧㄤˊ ㄖㄜˋ ㄋㄥˊ	環境能源
太陽能	12	ㄊㄞˋ ㄧㄤˊ ㄋㄥˊ	環境能源
好氧消化	13	ㄏㄠˋ ㄧㄤˇ ㄒㄧㄠ ㄏㄨㄚˋ	環境能源
孤島效應	10	ㄍㄨ ㄉㄠˇ ㄒㄧㄠˋ ㄧㄥˋ	環境能源
實體風險	10	ㄕˊ ㄊㄧˇ ㄈㄥ ㄒㄧㄢˇ	環境能源
尖峰負載	10	ㄐㄧㄢ ㄈㄥ ㄈㄨˋ ㄗㄞˇ	環境能源
序批式	11	ㄒㄩˋ ㄆㄧ ㄕˋ	環境能源
廢棄物	16	ㄈㄟˋ ㄑㄧˋ ㄨˋ	環境能源
廢水處理	10	ㄈㄟˋ ㄕㄨㄟˇ ㄔㄨˇ ㄌㄧˇ	環境能源
廢電子	11	ㄈㄟˋ ㄉㄧㄢˋ ㄗˇ	環境能源
循環經濟	11	ㄒㄩㄣˊ ㄏㄨㄢˊ ㄐㄧㄥ ㄐㄧˋ	環境能源
微粒	12	ㄨㄟˊ ㄌㄧˋ	環境能源
懸浮固體	10	ㄒㄩㄢˊ ㄈㄨˊ ㄍㄨˋ ㄊㄧˇ	環境能源
抽蓄水力	11	ㄔㄡ ㄒㄩˋ ㄕㄨㄟˇ ㄌㄧˋ	環境能源
排放	16	ㄆㄞˊ ㄈㄤˋ	環境能源
排放交易	10	ㄆㄞˊ ㄈㄤˋ ㄐㄧㄠ ㄧˋ	環境能源
排放係數	10	ㄆㄞˊ ㄈㄤˋ ㄒㄧˋ ㄕㄨˋ	環境能源
揮發性	10	ㄏㄨㄟ ㄈㄚ ㄒㄧㄥˋ	環境能源
改善計畫	14	ㄍㄞˇ ㄕㄢˋ ㄐㄧˋ ㄏㄨㄚˋ	環境能源
最終處置	11	ㄗㄨㄟˋ ㄓㄨㄥ ㄔㄨˇ ㄓˋ	環境能源
有害	13	ㄧㄡˇ ㄏㄞˋ	環境能源
有機物	10	ㄧㄡˇ ㄐㄧ ㄨˋ	環境能源
氣候減緩	11	ㄑㄧˋ ㄏㄡˋ ㄐㄧㄢˇ ㄏㄨㄢˇ	環境能源
氣候調適	11	ㄑㄧˋ ㄏㄡˋ ㄊㄧㄠˊ ㄕˋ	環境能源
氣候變遷	11	ㄑㄧˋ ㄏㄡˋ ㄅㄧㄢˋ ㄑㄧㄢ	環境能源
氣候風險	11	ㄑㄧˋ ㄏㄡˋ ㄈㄥ ㄒㄧㄢˇ	環境能源
水質	11	ㄕㄨㄟˇ ㄓˊ	環境能源
水質指標	11	ㄕㄨㄟˇ ㄓˊ ㄓˇ ㄅㄧㄠ	環境能源
水質監測	12	ㄕㄨㄟˇ ㄓˊ ㄐㄧㄢ ㄘㄜˋ	環境能源
水質盤查	11	ㄕㄨㄟˇ ㄓˊ ㄆㄢˊ ㄔㄚˊ	環境能源
水質稽核	11	ㄕㄨㄟˇ ㄓˊ ㄐㄧ ㄏㄜˊ	環境能源
污染	18	ㄨ ㄖㄢˇ	環境能源
污染控制	14	ㄨ ㄖㄢˇ ㄎㄨㄥˋ ㄓˋ	環境能源
污染源	13	ㄨ ㄖㄢˇ ㄩㄢˊ	環境能源
污染物	10	ㄨ ㄖㄢˇ ㄨˋ	環境能源
污染防治	11	ㄨ ㄖㄢˇ ㄈㄤˊ ㄓˋ	環境能源
污泥法	11	ㄨ ㄋㄧˊ ㄈㄚˇ	環境能源
法規	13	ㄈㄚˇ ㄍㄨㄟ	環境能源
洗滌塔	11	ㄒㄧˇ ㄉㄧˊ ㄊㄚˇ	環境能源
活性	13	ㄏㄨㄛˊ ㄒㄧㄥˋ	環境能源
活性碳	10	ㄏㄨㄛˊ ㄒㄧㄥˋ ㄊㄢˋ	環境能源
消毒	13	ㄒㄧㄠ ㄉㄨˊ	環境能源
淨零路徑	10	ㄐㄧㄥˋ ㄌㄧㄥˊ ㄌㄨˋ ㄐㄧㄥˋ	環境能源
清潔生產	11	ㄑㄧㄥ ㄐㄧㄝˊ ㄕㄥ ㄔㄢˇ	環境能源
