詞	詞頻	注音	分類
一致性原則	3	ㄧ ㄓˋ ㄒㄧㄥˋ ㄩㄢˊ ㄗㄜˊ	財會金融
不動產	13	ㄅㄨˊ ㄉㄨㄥˋ ㄔㄢˇ	財會金融
交換契約	11	ㄐㄧㄠ ㄏㄨㄢˋ ㄑㄧˋ ㄩㄝ	財會金融
交易	14	ㄐㄧㄠ ㄧˋ	財會金融
作業	15	ㄗㄨㄛˋ ㄧㄝˋ	財會金融
作業風險	12	ㄗㄨㄛˋ ㄧㄝˋ ㄈㄥ ㄒㄧㄢˇ	財會金融
使用權資產	3	ㄕˇ ㄩㄥˋ ㄑㄩㄢˊ ㄗ ㄔㄢˇ	財會金融
保障	14	ㄅㄠˇ ㄓㄤˋ	財會金融
信用利差	11	ㄒㄧㄣˋ ㄩㄥˋ ㄌㄧˋ ㄔㄚˋ	財會金融
信用評等	11	ㄒㄧㄣˋ ㄩㄥˋ ㄆㄧㄥˊ ㄉㄥˇ	財會金融
修正	14	ㄒㄧㄡ ㄓㄥˋ	財會金融
倍數	11	ㄅㄟˋ ㄕㄨˋ	財會金融
借貸法則	10	ㄐㄧㄝˋ ㄉㄞˋ ㄈㄚˇ ㄗㄜˊ	財會金融
債券市場	11	ㄓㄞˋ ㄑㄩㄢˋ ㄕˋ ㄔㄤˇ	財會金融
內部報酬率	4	ㄋㄟˋ ㄅㄨˋ ㄅㄠˋ ㄔㄡˊ ㄌㄩˋ	財會金融
共同基金	12	ㄍㄨㄥˋ ㄊㄨㄥˊ ㄐㄧ ㄐㄧㄣ	財會金融
其他權益	12	ㄑㄧˊ ㄊㄚ ㄑㄩㄢˊ ㄧˋ	財會金融
初級市場	11	ㄔㄨ ㄐㄧˊ ㄕˋ ㄔㄤˇ	財會金融
利息	13	ㄌㄧˋ ㄒㄧˊ	財會金融
利率風險	11	ㄌㄧˋ ㄌㄩˋ ㄈㄥ ㄒㄧㄢˇ	財會金融
到期殖利率	3	ㄉㄠˋ ㄑㄧˊ ㄓˊ ㄌㄧˋ ㄌㄩˋ	財會金融
創業投資	11	ㄔㄨㄤˋ ㄧㄝˋ ㄊㄡˊ ㄗ	財會金融
加權	11	ㄐㄧㄚ ㄑㄩㄢˊ	財會金融
匯率風險	11	ㄏㄨㄟˋ ㄌㄩˋ ㄈㄥ ㄒㄧㄢˇ	財會金融
即期利率	10	ㄐㄧˊ ㄑㄧˊ ㄌㄧˋ ㄌㄩˋ	財會金融
合約負債	11	ㄏㄜˊ ㄩㄝ ㄈㄨˋ ㄓㄞˋ	財會金融
商品	15	ㄕㄤ ㄆㄧㄣˇ	財會金融
回收期間	11	ㄏㄨㄟˊ ㄕㄡ ㄑㄧˊ ㄐㄧㄢ	財會金融
固定資產	10	ㄍㄨˋ ㄉㄧㄥˋ ㄗ ㄔㄢˇ	財會金融
基礎	16	ㄐㄧ ㄔㄨˇ	財會金融
報酬率	13	ㄅㄠˋ ㄔㄡˊ ㄌㄩˋ	財會金融
增額成本	12	ㄗㄥ ㄜˊ ㄔㄥˊ ㄅㄣˇ	財會金融
壓力測試	13	ㄧㄚ ㄌㄧˋ ㄘㄜˋ ㄕˋ	財會金融
存續期間	13	ㄘㄨㄣˊ ㄒㄩˋ ㄑㄧˊ ㄐㄧㄢ	財會金融
存貨	13	ㄘㄨㄣˊ ㄏㄨㄛˋ	財會金融
存貨週轉率	3	ㄘㄨㄣˊ ㄏㄨㄛˋ ㄓㄡ ㄓㄨㄢˇ ㄌㄩˋ	財會金融
存貨預測	10	ㄘㄨㄣˊ ㄏㄨㄛˋ ㄩˋ ㄘㄜˋ	財會金融
定價	12	ㄉㄧㄥˋ ㄐㄧㄚˋ	財會金融
封閉型基金	3	ㄈㄥ ㄅㄧˋ ㄒㄧㄥˊ ㄐㄧ ㄐㄧㄣ	財會金融
對手	13	ㄉㄨㄟˋ ㄕㄡˇ	財會金融
差異分析	18	ㄔㄚ ㄧˋ ㄈㄣ ㄒㄧ	財會金融
市場風險	12	ㄕˋ ㄔㄤˇ ㄈㄥ ㄒㄧㄢˇ	財會金融
平均	14	ㄆㄧㄥˊ ㄐㄩㄣ	財會金融
廠房	11	ㄔㄤˇ ㄈㄤˊ	財會金融
忠實表述	10	ㄓㄨㄥ ㄕˊ ㄅㄧㄠˇ ㄕㄨˋ	財會金融
情境分析	17	ㄑㄧㄥˊ ㄐㄧㄥˋ ㄈㄣ ㄒㄧ	財會金融
應付帳款	12	ㄧㄥˋ ㄈㄨˋ ㄓㄤˋ ㄎㄨㄢˇ	財會金融
應付票據	10	ㄧㄥˋ ㄈㄨˋ ㄆㄧㄠˋ ㄐㄩˋ	財會金融
應收帳款	15	ㄧㄥ ㄕㄡ ㄓㄤˋ ㄎㄨㄢˇ	財會金融
應收票據	13	ㄧㄥ ㄕㄡ ㄆㄧㄠˋ ㄐㄩˋ	財會金融
應計基礎	13	ㄧㄥ ㄐㄧˋ ㄐㄧ ㄔㄨˇ	財會金融
成本	18	ㄔㄥˊ ㄅㄣˇ	財會金融
成本制	12	ㄔㄥˊ ㄅㄣˇ ㄓˋ	財會金融
成本行為	11	ㄔㄥˊ ㄅㄣˇ ㄒㄧㄥˊ ㄨㄟˊ	財會金融
成本預測	11	ㄔㄥˊ ㄅㄣˇ ㄩˋ ㄘㄜˋ	財會金融
所得稅費用	4	ㄙㄨㄛˇ ㄉㄜˊ ㄕㄨㄟˋ ㄈㄟˋ ㄩㄥˋ	財會金融
投資	17	ㄊㄡˊ ㄗ	財會金融
投資性	12	ㄊㄡˊ ㄗ ㄒㄧㄥˋ	財會金融
投資現金流	5	ㄊㄡˊ ㄗ ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ	財會金融
折現回收期	4	ㄓㄜˊ ㄒㄧㄢˋ ㄏㄨㄟˊ ㄕㄡ ㄑㄧ	財會金融
指數型基金	4	ㄓˇ ㄕㄨˋ ㄒㄧㄥˊ ㄐㄧ ㄐㄧㄣ	財會金融
損益兩平	11	ㄙㄨㄣˇ ㄧˋ ㄌㄧㄤˇ ㄆㄧㄥˊ	財會金融
收入	11	ㄕㄡ ㄖㄨˋ	財會金融
收入認列	11	ㄕㄡ ㄖㄨˋ ㄖㄣˋ ㄌㄧㄝˋ	財會金融
收入預測	11	ㄕㄡ ㄖㄨˋ ㄩˋ ㄘㄜˋ	財會金融
攸關成本	10	ㄧㄡ ㄍㄨㄢ ㄔㄥˊ ㄅㄣˇ	財會金融
政府會計	13	ㄓㄥˋ ㄈㄨˇ ㄎㄨㄞˋ ㄐㄧˋ	財會金融
敏感度分析	17	ㄇㄧㄣˇ ㄍㄢˇ ㄉㄨˋ ㄈㄣ ㄒㄧ	財會金融
普通公司債	4	ㄆㄨˇ ㄊㄨㄥ ㄍㄨㄥ ㄙ ㄓㄞˋ	財會金融
會計估計	11	ㄎㄨㄞˋ ㄐㄧˋ ㄍㄨ ㄐㄧˋ	財會金融
會計循環	11	ㄎㄨㄞˋ ㄐㄧˋ ㄒㄩㄣˊ ㄏㄨㄢˊ	財會金融
會計政策	11	ㄎㄨㄞˋ ㄐㄧˋ ㄓㄥˋ ㄘㄜˋ	財會金融
會計錯誤	11	ㄎㄨㄞˋ ㄐㄧˋ ㄘㄨㄛˋ ㄨˋ	財會金融
業外收支	13	ㄧㄝˋ ㄨㄞˋ ㄕㄡ ㄓ	財會金融
標準成本	12	ㄅㄧㄠ ㄓㄨㄣˇ ㄔㄥˊ ㄅㄣˇ	財會金融
模型	14	ㄇㄛˊ ㄒㄧㄥˊ	財會金融
模型風險	11	ㄇㄛˊ ㄒㄧㄥˊ ㄈㄥ ㄒㄧㄢˇ	財會金融
權益	16	ㄑㄩㄢˊ ㄧˋ	財會金融
權益乘數	11	ㄑㄩㄢˊ ㄧˋ ㄔㄥˊ ㄕㄨˋ	財會金融
權益變動表	4	ㄑㄩㄢˊ ㄧˋ ㄅㄧㄢˋ ㄉㄨㄥˋ ㄅㄧㄠˇ	財會金融
權責發生制	4	ㄑㄩㄢˊ ㄗㄜˊ ㄈㄚ ㄕㄥ ㄓˋ	財會金融
次級市場	11	ㄘˋ ㄐㄧˊ ㄕˋ ㄔㄤˇ	財會金融
殖利率曲線	3	ㄓˊ ㄌㄧˋ ㄌㄩˋ ㄑㄩ ㄒㄧㄢˋ	財會金融
每股盈餘	11	ㄇㄟˇ ㄍㄨˇ ㄧㄥˊ ㄩˊ	財會金融
比率分析	17	ㄅㄧˇ ㄌㄩˋ ㄈㄣ ㄒㄧ	財會金融
毛利	11	ㄇㄠˊ ㄌㄧˋ	財會金融
毛利預測	10	ㄇㄠˊ ㄌㄧˋ ㄩˋ ㄘㄜˋ	財會金融
沉沒成本	10	ㄔㄣˊ ㄇㄛˋ ㄔㄥˊ ㄅㄣˇ	財會金融
流動性風險	3	ㄌㄧㄡˊ ㄉㄨㄥˋ ㄒㄧㄥˋ ㄈㄥ ㄒㄧㄢˇ	財會金融
流動負債	10	ㄌㄧㄡˊ ㄉㄨㄥˋ ㄈㄨˋ ㄓㄞˋ	財會金融
混合成本	11	ㄏㄨㄣˋ ㄏㄜˊ ㄔㄥˊ ㄅㄣˇ	財會金融
無形資產	10	ㄨˊ ㄒㄧㄥˊ ㄗ ㄔㄢˇ	財會金融
無風險利率	3	ㄨˊ ㄈㄥ ㄒㄧㄢˇ ㄌㄧˋ ㄌㄩˋ	財會金融
營業利益	11	ㄧㄥˊ ㄧㄝˋ ㄌㄧˋ ㄧˋ	財會金融
營業利益率	4	ㄧㄥˊ ㄧㄝˋ ㄌㄧˋ ㄧˋ ㄌㄩˋ	財會金融
營業收入	11	ㄧㄥˊ ㄧㄝˋ ㄕㄡ ㄖㄨˋ	財會金融
營業槓桿	11	ㄧㄥˊ ㄧㄝˋ ㄍㄤˋ ㄍㄢˇ	財會金融
營運現金流	4	ㄧㄥˊ ㄩㄣˋ ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ	財會金融
營運資金	11	ㄧㄥˊ ㄩㄣˋ ㄗ ㄐㄧㄣ	財會金融
獲利指數	11	ㄏㄨㄛˋ ㄌㄧˋ ㄓˇ ㄕㄨˋ	財會金融
現金	16	ㄒㄧㄢˋ ㄐㄧㄣ	財會金融
現金基礎	11	ㄒㄧㄢˋ ㄐㄧㄣ ㄐㄧ ㄔㄨˇ	財會金融
現金比率	11	ㄒㄧㄢˋ ㄐㄧㄣ ㄅㄧˇ ㄌㄩˋ	財會金融
現金流	16	ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ	財會金融
現金流量表	4	ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ ㄌㄧㄤˊ ㄅㄧㄠˇ	財會金融
現金流預測	4	ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ ㄩˋ ㄘㄜˋ	財會金融
直接人工	12	ㄓˊ ㄐㄧㄝ ㄖㄣˊ ㄍㄨㄥ	財會金融
直接成本	12	ㄓˊ ㄐㄧㄝ ㄔㄥˊ ㄅㄣˇ	財會金融
直接材料	12	ㄓˊ ㄐㄧㄝ ㄘㄞˊ ㄌㄧㄠˋ	財會金融
私募基金	12	ㄙ ㄇㄨˋ ㄐㄧ ㄐㄧㄣ	財會金融
私募股權	12	ㄙ ㄇㄨˋ ㄍㄨˇ ㄑㄩㄢˊ	財會金融
租賃負債	10	ㄗㄨ ㄌㄧㄣˋ ㄈㄨˋ ㄓㄞˋ	財會金融
稀釋	11	ㄒㄧ ㄕˋ	財會金融
稅前淨利	12	ㄕㄨㄟˋ ㄑㄧㄢˊ ㄐㄧㄥˋ ㄌㄧˋ	財會金融
稅務會計	10	ㄕㄨㄟˋ ㄨˋ ㄎㄨㄞˋ ㄐㄧˋ	財會金融
管理會計	12	ㄍㄨㄢˇ ㄌㄧˇ ㄎㄨㄞˋ ㄐㄧˋ	財會金融
系統風險	12	ㄒㄧˋ ㄊㄨㄥˇ ㄈㄥ ㄒㄧㄢˇ	財會金融
約當現金	11	ㄩㄝ ㄉㄤ ㄒㄧㄢˋ ㄐㄧㄣ	財會金融
結帳分錄	10	ㄐㄧㄝˊ ㄓㄤˋ ㄈㄣ ㄌㄨˋ	財會金融
結構型商品	5	ㄐㄧㄝˊ ㄍㄡˋ ㄒㄧㄥˊ ㄕㄤ ㄆㄧㄣˇ	財會金融
綜合損益	11	ㄗㄨㄥˋ ㄏㄜˊ ㄙㄨㄣˇ ㄧˋ	財會金融
總資產	11	ㄗㄨㄥˇ ㄗ ㄔㄢˇ	財會金融
聯合成本	12	ㄌㄧㄢˊ ㄏㄜˊ ㄔㄥˊ ㄅㄣˇ	財會金融
股利政策	10	ㄍㄨˇ ㄌㄧˋ ㄓㄥˋ ㄘㄜˋ	財會金融
股東	12	ㄍㄨˇ ㄉㄨㄥ	財會金融
自由現金流	5	ㄗˋ ㄧㄡˊ ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ	財會金融
融資現金流	4	ㄖㄨㄥˊ ㄗ ㄒㄧㄢˋ ㄐㄧㄣ ㄌㄧㄡˊ	財會金融
衍生性	11	ㄧㄢˇ ㄕㄥ ㄒㄧㄥˋ	財會金融
製造成本	10	ㄓˋ ㄗㄠˋ ㄔㄥˊ ㄅㄣˇ	財會金融
設備	14	ㄕㄜˋ ㄅㄟˋ	財會金融
調整分錄	11	ㄊㄧㄠˊ ㄓㄥˇ ㄈㄣ ㄌㄨˋ	財會金融
變動成本	11	ㄅㄧㄢˋ ㄉㄨㄥˋ ㄔㄥˊ ㄅㄣˇ	財會金融
貝他係數	10	ㄅㄟˋ ㄊㄚ ㄒㄧˋ ㄕㄨˋ	財會金融
負債	16	ㄈㄨˋ ㄓㄞˋ	財會金融
負債比率	10	ㄈㄨˋ ㄓㄞˋ ㄅㄧˇ ㄌㄩˋ	財會金融
負債準備	10	ㄈㄨˋ ㄓㄞˋ ㄓㄨㄣˇ ㄅㄟˋ	財會金融
負債預測	10	ㄈㄨˋ ㄓㄞˋ ㄩˋ ㄘㄜˋ	財會金融
財務報表	10	ㄘㄞˊ ㄨˋ ㄅㄠˋ ㄅㄧㄠˇ	財會金融
財務會計	11	ㄘㄞˊ ㄨˋ ㄎㄨㄞˋ ㄐㄧˋ	財會金融
財務槓桿	11	ㄘㄞˊ ㄨˋ ㄍㄤˋ ㄍㄢˇ	財會金融
財務比率	11	ㄘㄞˊ ㄨˋ ㄅㄧˇ ㄌㄩˋ	財會金融
貨幣市場	11	ㄏㄨㄛˋ ㄅㄧˋ ㄕˋ ㄔㄤˇ	財會金融
費用	17	ㄈㄟˋ ㄩㄥˋ	財會金融
費用認列	11	ㄈㄟˋ ㄩㄥˋ ㄖㄣˋ ㄌㄧㄝˋ	財會金融
費用預測	11	ㄈㄟˋ ㄩㄥˋ ㄩˋ ㄘㄜˋ	財會金融
資本	18	ㄗ ㄅㄣˇ	財會金融
資本公積	11	ㄗ ㄅㄣˇ ㄍㄨㄥ ㄐㄧ	財會金融
資本市場	11	ㄗ ㄅㄣˇ ㄕˋ ㄔㄤˇ	財會金融
資本支出	11	ㄗ ㄅㄣˇ ㄓ ㄔㄨ	財會金融
資本結構	11	ㄗ ㄅㄣˇ ㄐㄧㄝˊ ㄍㄡˋ	財會金融
資本預算	11	ㄗ ㄅㄣˇ ㄩˋ ㄙㄨㄢˋ	財會金融
資產	17	ㄗ ㄔㄢˇ	財會金融
資產預測	11	ㄗ ㄔㄢˇ ㄩˋ ㄘㄜˋ	財會金融
資金	15	ㄗ ㄐㄧㄣ	財會金融
