詞	詞頻	注音	分類
一卡通	20	ㄧ ㄎㄚˇ ㄊㄨㄥ	一般
一零八	14	ㄧ ㄌㄧㄥˊ ㄅㄚ	一般
串流平台	22	ㄔㄨㄢˋ ㄌㄧㄡˊ ㄆㄧㄥˊ ㄊㄞˊ	一般
人工智慧	28	ㄖㄣˊ ㄍㄨㄥ ㄓˋ ㄏㄨㄟˋ	一般
以太幣	12	ㄧˇ ㄊㄞˋ ㄅㄧˋ	一般
伺服器	12	ㄙˋ ㄈㄨˊ ㄑㄧˋ	一般
個人申請	30	ㄍㄜˋ ㄖㄣˊ ㄕㄣ ㄑㄧㄥˇ	一般
個資外洩	12	ㄍㄜˋ ㄗ ㄨㄞˋ ㄒㄧㄝˋ	一般
傳說	14	ㄔㄨㄢˊ ㄕㄨㄛ	一般
儲能	20	ㄔㄨˇ ㄋㄥˊ	一般
充電樁	20	ㄔㄨㄥ ㄉㄧㄢˋ ㄓㄨㄤ	一般
先進製程	22	ㄒㄧㄢ ㄐㄧㄣˋ ㄓˋ ㄔㄥˊ	一般
免運	32	ㄇㄧㄢˇ ㄩㄣˋ	一般
兩步驟	8	ㄌㄧㄤˇ ㄅㄨˋ ㄓㄡˋ	一般
共享單車	18	ㄍㄨㄥˋ ㄒㄧㄤˇ ㄉㄢ ㄔㄜ	一般
共享機車	12	ㄍㄨㄥˋ ㄒㄧㄤˇ ㄐㄧ ㄔㄜ	一般
共享經濟	9	ㄍㄨㄥˋ ㄒㄧㄤˇ ㄐㄧㄥ ㄐㄧˋ	一般
再生能源	32	ㄗㄞˋ ㄕㄥ ㄋㄥˊ ㄩㄢˊ	一般
分科測驗	28	ㄈㄣ ㄎㄜ ㄘㄜˋ ㄧㄢˋ	一般
加密貨幣	20	ㄐㄧㄚ ㄇㄧˋ ㄏㄨㄛˋ ㄅㄧˋ	一般
加密資產	8	ㄐㄧㄚ ㄇㄧˋ ㄗ ㄔㄢˇ	一般
助理	14	ㄓㄨˋ ㄌㄧˇ	一般
勒索軟體	14	ㄌㄜˋ ㄙㄨㄛˇ ㄖㄨㄢˇ ㄊㄧˇ	一般
區塊鏈	22	ㄑㄩ ㄎㄨㄞˋ ㄌㄧㄢˋ	一般
叫車平台	10	ㄐㄧㄠˋ ㄔㄜ ㄆㄧㄥˊ ㄊㄞˊ	一般
台灣高鐵	28	ㄊㄞˊ ㄨㄢ ㄍㄠ ㄊㄧㄝˇ	一般
吉伊卡哇	8	ㄐㄧˊ ㄧ ㄎㄚˇ ㄨㄚ˙	一般
咒術迴戰	14	ㄓㄡˋ ㄕㄨˋ ㄏㄨㄟˊ ㄓㄢˋ	一般
哆啦A夢	14	ㄉㄨㄛ ㄌㄚ A ㄇㄥˋ	一般
哆啦a夢	14	ㄉㄨㄛ ㄌㄚ a ㄇㄥˋ	一般
國中會考	30	ㄍㄨㄛˊ ㄓㄨㄥ ㄏㄨㄟˋ ㄎㄠˇ	一般
國家級	12	ㄍㄨㄛˊ ㄐㄧㄚ ㄐㄧˊ	一般
地震速報	10	ㄉㄧˋ ㄓㄣˋ ㄙㄨˋ ㄅㄠˋ	一般
外送平台	20	ㄨㄞˋ ㄙㄨㄥˋ ㄆㄧㄥˊ ㄊㄞˊ	一般
外送服務	18	ㄨㄞˋ ㄙㄨㄥˋ ㄈㄨˊ ㄨˋ	一般
多因素	9	ㄉㄨㄛ ㄧㄣ ㄙㄨˋ	一般
多模態	8	ㄉㄨㄛ ㄇㄛˊ ㄊㄞˋ	一般
大型	14	ㄉㄚˋ ㄒㄧㄥˊ	一般
大語言	18	ㄉㄚˋ ㄩˇ ㄧㄢˊ	一般
學習歷程	25	ㄒㄩㄝˊ ㄒㄧˊ ㄌㄧˋ ㄔㄥˊ	一般
宅配	65	ㄓㄞˊ ㄆㄟˋ	一般
定期定額	30	ㄉㄧㄥˋ ㄑㄧˊ ㄉㄧㄥˋ ㄜˊ	一般
家家酒	13	ㄐㄧㄚ ㄐㄧㄚ ㄐㄧㄡˇ	一般
容器化	12	ㄖㄨㄥˊ ㄑㄧˋ ㄏㄨㄚˋ	一般
密碼	12	ㄇㄧˋ ㄇㄚˇ	一般
實況主	18	ㄕˊ ㄎㄨㄤˋ ㄓㄨˇ	一般
寶可夢	18	ㄅㄠˇ ㄎㄜˇ ㄇㄥˋ	一般
小紅書	26	ㄒㄧㄠˇ ㄏㄨㄥˊ ㄕㄨ	一般
少子化	38	ㄕㄠˋ ㄗˇ ㄏㄨㄚˋ	一般
居家辦公	20	ㄐㄩ ㄐㄧㄚ ㄅㄢˋ ㄍㄨㄥ	一般
居家隔離	22	ㄐㄩ ㄐㄧㄚ ㄍㄜˊ ㄌㄧˊ	一般
工作者	13	ㄍㄨㄥ ㄗㄨㄛˋ ㄓㄜˇ	一般
巨人	14	ㄐㄩˋ ㄖㄣˊ	一般
影音平台	25	ㄧㄥˇ ㄧㄣ ㄆㄧㄥˊ ㄊㄞˊ	一般
微服務	14	ㄨㄟ ㄈㄨˊ ㄨˋ	一般
志願序	22	ㄓˋ ㄩㄢˋ ㄒㄩˋ	一般
快充	15	ㄎㄨㄞˋ ㄔㄨㄥ	一般
快篩試劑	18	ㄎㄨㄞˋ ㄕㄞ ㄕˋ ㄐㄧˋ	一般
悠遊付	9	ㄧㄡ ㄧㄡˊ ㄈㄨˋ	一般
惡意軟體	18	ㄜˋ ㄧˋ ㄖㄨㄢˇ ㄊㄧˇ	一般
手機應用	12	ㄕㄡˇ ㄐㄧ ㄧㄥˋ ㄩㄥˋ	一般
手機條碼	10	ㄕㄡˇ ㄐㄧ ㄊㄧㄠˊ ㄇㄚˇ	一般
手遊	55	ㄕㄡˇ ㄧㄡˊ	一般
抖音	30	ㄉㄡˇ ㄧㄣ	一般
指數投資	9	ㄓˇ ㄕㄨˋ ㄊㄡˊ ㄗ	一般
