詞	詞頻	注音	分類
中程計畫	15	ㄓㄨㄥ ㄔㄥˊ ㄐㄧˋ ㄏㄨㄚˋ	公務員公文
交換	13	ㄐㄧㄠ ㄏㄨㄢˋ	公務員公文
人事案件	15	ㄖㄣˊ ㄕˋ ㄢˋ ㄐㄧㄢˋ	公務員公文
保護	14	ㄅㄠˇ ㄏㄨˋ	公務員公文
保障	14	ㄅㄠˇ ㄓㄤˋ	公務員公文
俟核定後	10	ㄑㄧˊ ㄏㄜˊ ㄉㄧㄥˋ ㄏㄡˋ	公務員公文
個人	15	ㄍㄜˋ ㄖㄣˊ	公務員公文
備查	23	ㄅㄟˋ ㄔㄚˊ	公務員公文
價金	11	ㄐㄧㄚˋ ㄐㄧㄣ	公務員公文
公務	17	ㄍㄨㄥ ㄨˋ	公務員公文
公務人員	14	ㄍㄨㄥ ㄨˋ ㄖㄣˊ ㄩㄢˊ	公務員公文
公務員	13	ㄍㄨㄥ ㄨˋ ㄩㄢˊ	公務員公文
公文	13	ㄍㄨㄥ ㄨㄣˊ	公務員公文
公開	14	ㄍㄨㄥ ㄎㄞ	公務員公文
函復	23	ㄏㄢˊ ㄈㄨˋ	公務員公文
函知	14	ㄏㄢˊ ㄓ	公務員公文
函轉	14	ㄏㄢˊ ㄓㄨㄢˇ	公務員公文
列管	23	ㄌㄧㄝˋ ㄍㄨㄢˇ	公務員公文
列管案件	15	ㄌㄧㄝˋ ㄍㄨㄢˇ ㄢˋ ㄐㄧㄢˋ	公務員公文
利益	14	ㄌㄧˋ ㄧˋ	公務員公文
執行進度	20	ㄓˊ ㄒㄧㄥˊ ㄐㄧㄣˋ ㄉㄨˋ	公務員公文
契約	13	ㄑㄧˋ ㄩㄝ	公務員公文
委辦案件	15	ㄨㄟˇ ㄅㄢˋ ㄢˋ ㄐㄧㄢˋ	公務員公文
審查	19	ㄕㄣˇ ㄔㄚˊ	公務員公文
工程案件	16	ㄍㄨㄥ ㄔㄥˊ ㄢˋ ㄐㄧㄢˋ	公務員公文
年度	15	ㄋㄧㄢˊ ㄉㄨˋ	公務員公文
年度計畫	16	ㄋㄧㄢˊ ㄉㄨˋ ㄐㄧˋ ㄏㄨㄚˋ	公務員公文
彙整	19	ㄏㄨㄟˋ ㄓㄥˇ	公務員公文
懲戒	11	ㄔㄥˊ ㄐㄧㄝˋ	公務員公文
成果報告	20	ㄔㄥˊ ㄍㄨㄛˇ ㄅㄠˋ ㄍㄠˋ	公務員公文
採購案件	15	ㄘㄞˇ ㄍㄡˋ ㄢˋ ㄐㄧㄢˋ	公務員公文
提報	18	ㄊㄧˊ ㄅㄠˋ	公務員公文
改善措施	20	ㄍㄞˇ ㄕㄢˋ ㄘㄨㄛˋ ㄕ	公務員公文
政府	15	ㄓㄥˋ ㄈㄨˇ	公務員公文
施政	13	ㄕ ㄓㄥˋ	公務員公文
最有利標	12	ㄗㄨㄟˋ ㄧㄡˇ ㄌㄧˋ ㄅㄧㄠ	公務員公文
會議紀錄	20	ㄏㄨㄟˋ ㄧˋ ㄐㄧˋ ㄌㄨˋ	公務員公文
會辦	23	ㄏㄨㄟˋ ㄅㄢˋ	公務員公文
服務法	11	ㄈㄨˊ ㄨˋ ㄈㄚˇ	公務員公文
期限內	5	ㄑㄧˊ ㄒㄧㄢˋ ㄋㄟˋ	公務員公文
查照	14	ㄔㄚˊ ㄓㄠˋ	公務員公文
核備	8	ㄏㄜˊ ㄅㄟˋ	公務員公文
核准	14	ㄏㄜˊ ㄓㄨㄣˇ	公務員公文
核定	22	ㄏㄜˊ ㄉㄧㄥˋ	公務員公文
核銷	14	ㄏㄜˊ ㄒㄧㄠ	公務員公文
