詞	詞頻	注音	分類
一手史料	10	ㄧ ㄕㄡˇ ㄕˇ ㄌㄧㄠˋ	歷史
三省	13	ㄙㄢ ㄕㄥˇ	歷史
不結盟	14	ㄅㄨˋ ㄐㄧㄝˊ ㄇㄥˊ	歷史
世界大戰	13	ㄕˋ ㄐㄧㄝˋ ㄉㄚˋ ㄓㄢˋ	歷史
中世紀	11	ㄓㄨㄥ ㄕˋ ㄐㄧˋ	歷史
中正制	11	ㄓㄨㄥ ㄓㄥˋ ㄓˋ	歷史
九品	11	ㄐㄧㄡˇ ㄆㄧㄣˇ	歷史
事件	18	ㄕˋ ㄐㄧㄢˋ	歷史
二手史料	10	ㄦˋ ㄕㄡˇ ㄕˇ ㄌㄧㄠˋ	歷史
亞歷山大	10	ㄧㄚˇ ㄌㄧˋ ㄕㄢ ㄉㄚˋ	歷史
伊斯蘭	11	ㄧ ㄙ ㄌㄢˊ	歷史
伯羅奔	11	ㄅㄛˊ ㄌㄨㄛˊ ㄅㄣ	歷史
保甲制度	10	ㄅㄠˇ ㄐㄧㄚˇ ㄓˋ ㄉㄨˋ	歷史
元代	11	ㄩㄢˊ ㄉㄞˋ	歷史
元首制	11	ㄩㄢˊ ㄕㄡˇ ㄓˋ	歷史
內部批判	11	ㄋㄟˋ ㄅㄨˋ ㄆㄧ ㄆㄢˋ	歷史
內閣制度	10	ㄋㄟˋ ㄍㄜˊ ㄓˋ ㄉㄨˋ	歷史
全球史	12	ㄑㄩㄢˊ ㄑㄧㄡˊ ㄕˇ	歷史
兩極體系	10	ㄌㄧㄤˇ ㄐㄧˊ ㄊㄧˇ ㄒㄧˋ	歷史
兩稅法	13	ㄌㄧㄤˇ ㄕㄨㄟˋ ㄈㄚˇ	歷史
公共史學	12	ㄍㄨㄥ ㄍㄨㄥˋ ㄕˇ ㄒㄩㄝˊ	歷史
公約	13	ㄍㄨㄥ ㄩㄝ	歷史
六部制	13	ㄌㄧㄡˋ ㄅㄨˋ ㄓˋ	歷史
兵役制度	11	ㄅㄧㄥ ㄧˋ ㄓˋ ㄉㄨˋ	歷史
冊封體制	10	ㄘㄜˋ ㄈㄥ ㄊㄧˇ ㄓˋ	歷史
凡爾賽	10	ㄈㄢˊ ㄦˇ ㄙㄞˋ	歷史
分封制度	10	ㄈㄣ ㄈㄥ ㄓˋ ㄉㄨˋ	歷史
分類械鬥	11	ㄈㄣ ㄌㄟˋ ㄒㄧㄝˋ ㄉㄡˋ	歷史
北大西洋	9	ㄅㄟˇ ㄉㄚˋ ㄒㄧ ㄧㄤˊ	歷史
北洋時期	10	ㄅㄟˇ ㄧㄤˊ ㄕˊ ㄑㄧˊ	歷史
區域史	11	ㄑㄩ ㄩˋ ㄕˇ	歷史
十二表法	12	ㄕˊ ㄦˋ ㄅㄧㄠˇ ㄈㄚˇ	歷史
危機	15	ㄨㄟˊ ㄐㄧ	歷史
原住民	14	ㄩㄢˊ ㄓㄨˋ ㄇㄧㄣˊ	歷史
去殖民化	13	ㄑㄩˋ ㄓˊ ㄇㄧㄣˊ ㄏㄨㄚˋ	歷史
口述歷史	10	ㄎㄡˇ ㄕㄨˋ ㄌㄧˋ ㄕˇ	歷史
古巴	11	ㄍㄨˇ ㄅㄚ	歷史
古希臘	10	ㄍㄨˇ ㄒㄧ ㄌㄚˋ	歷史
史學	17	ㄕˇ ㄒㄩㄝˊ	歷史
史學方法	10	ㄕˇ ㄒㄩㄝˊ ㄈㄤ ㄈㄚˇ	歷史
