詞	詞頻	注音	分類
事件	14	ㄕˋ ㄐㄧㄢˋ	工業工程
人員	15	ㄖㄣˊ ㄩㄢˊ	工業工程
人因工程	11	ㄖㄣˊ ㄧㄣ ㄍㄨㄥ ㄔㄥˊ	工業工程
人因設計	12	ㄖㄣˊ ㄧㄣ ㄕㄜˋ ㄐㄧˋ	工業工程
佈置	13	ㄅㄨˋ ㄓˋ	工業工程
位置	13	ㄨㄟˋ ㄓˋ	工業工程
作業研究	12	ㄗㄨㄛˋ ㄧㄝˋ ㄧㄢˊ ㄐㄧㄡˋ	工業工程
供應鏈	14	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ	工業工程
倉儲規劃	11	ㄘㄤ ㄔㄨˊ ㄍㄨㄟ ㄏㄨㄚˋ	工業工程
假設檢定	11	ㄐㄧㄚˇ ㄕㄜˋ ㄐㄧㄢˇ ㄉㄧㄥˋ	工業工程
全面	14	ㄑㄩㄢˊ ㄇㄧㄢˋ	工業工程
六標準差	13	ㄌㄧㄡˋ ㄅㄧㄠ ㄓㄨㄣˇ ㄔㄚ	工業工程
再現性	12	ㄗㄞˋ ㄒㄧㄢˋ ㄒㄧㄥˋ	工業工程
分布	15	ㄈㄣ ㄅㄨˋ	工業工程
分析	22	ㄈㄣ ㄒㄧ	工業工程
利用率	10	ㄌㄧˋ ㄩㄥˋ ㄌㄩˋ	工業工程
前置	12	ㄑㄧㄢˊ ㄓˋ	工業工程
動作	15	ㄉㄨㄥˋ ㄗㄨㄛˋ	工業工程
動作研究	11	ㄉㄨㄥˋ ㄗㄨㄛˋ ㄧㄢˊ ㄐㄧㄡˋ	工業工程
動態規劃	12	ㄉㄨㄥˋ ㄊㄞˋ ㄍㄨㄟ ㄏㄨㄚˋ	工業工程
卜瓦松	10	ㄅㄛ˙ ㄨㄚˇ ㄙㄨㄥ	工業工程
危害辨識	10	ㄨㄟˊ ㄏㄞˋ ㄅㄧㄢˋ ㄕˋ	工業工程
反應	14	ㄈㄢˇ ㄧㄥˋ	工業工程
可靠度	19	ㄎㄜˇ ㄎㄠˋ ㄉㄨˋ	工業工程
品質	15	ㄆㄧㄣˇ ㄓˊ	工業工程
品質工程	13	ㄆㄧㄣˇ ㄓˊ ㄍㄨㄥ ㄔㄥˊ	工業工程
品質管理	13	ㄆㄧㄣˇ ㄓˊ ㄍㄨㄢˇ ㄌㄧˇ	工業工程
