詞	詞頻	注音	分類
一般	15	ㄧ ㄅㄢ	法律
不作為犯	10	ㄅㄨˊ ㄗㄨㄛˋ ㄨㄟˋ ㄈㄢˋ	法律
不動產役權	4	ㄅㄨˊ ㄉㄨㄥˋ ㄔㄢˇ ㄧˋ ㄑㄩㄢˊ	法律
不安抗辯	11	ㄅㄨˋ ㄢ ㄎㄤˋ ㄅㄧㄢˋ	法律
不完全給付	4	ㄅㄨˋ ㄨㄢˊ ㄑㄩㄢˊ ㄐㄧˇ ㄈㄨˋ	法律
不溯及既往	7	ㄅㄨˋ ㄙㄨˋ ㄐㄧˊ ㄐㄧˋ ㄨㄤˇ	法律
不當得利	11	ㄅㄨˊ ㄉㄤˋ ㄉㄜˊ ㄌㄧˋ	法律
不能未遂	12	ㄅㄨˋ ㄋㄥˊ ㄨㄟˋ ㄙㄨㄟˋ	法律
不自證己罪	3	ㄅㄨˊ ㄗˋ ㄓㄥˋ ㄐㄧˇ ㄗㄨㄟˋ	法律
不起訴	11	ㄅㄨˋ ㄑㄧˇ ㄙㄨˋ	法律
中止未遂	10	ㄓㄨㄥ ㄓˇ ㄨㄟˋ ㄙㄨㄟˋ	法律
主觀	12	ㄓㄨˇ ㄍㄨㄢ	法律
交互詰問	10	ㄐㄧㄠ ㄏㄨˋ ㄐㄧㄝˊ ㄨㄣˋ	法律
代理制度	11	ㄉㄞˋ ㄌㄧˇ ㄓˋ ㄉㄨˋ	法律
依法令行為	4	ㄧ ㄈㄚˇ ㄌㄧㄥˋ ㄒㄧㄥˊ ㄨㄟˋ	法律
侵權行為	10	ㄑㄧㄣ ㄑㄩㄢˊ ㄒㄧㄥˊ ㄨㄟˊ	法律
保全程序	10	ㄅㄠˇ ㄑㄩㄢˊ ㄔㄥˊ ㄒㄩˋ	法律
保留	13	ㄅㄠˇ ㄌㄧㄡˊ	法律
保護	16	ㄅㄠˇ ㄏㄨˋ	法律
信賴	12	ㄒㄧㄣˋ ㄌㄞˋ	法律
偽造文書罪	3	ㄨㄟˋ ㄗㄠˋ ㄨㄣˊ ㄕㄨ ㄗㄨㄟˋ	法律
傳聞法則	10	ㄔㄨㄢˊ ㄨㄣˊ ㄈㄚˇ ㄗㄜˊ	法律
債務不履行	4	ㄓㄞˋ ㄨˋ ㄅㄨˋ ㄌㄩˇ ㄒㄧㄥˊ	法律
債務承擔	11	ㄓㄞˋ ㄨˋ ㄔㄥˊ ㄉㄢ	法律
債權行為	10	ㄓㄞˋ ㄑㄩㄢˊ ㄒㄧㄥˊ ㄨㄟˊ	法律
債權讓與	10	ㄓㄞˋ ㄑㄩㄢˊ ㄖㄤˋ ㄩˇ	法律
