詞	詞頻	注音	分類
七大手法	12	ㄑㄧ ㄉㄚˋ ㄕㄡˇ ㄈㄚˇ	製造機械
主生產	13	ㄓㄨˇ ㄕㄥ ㄔㄢˇ	製造機械
二氧化	12	ㄦˋ ㄧㄤˇ ㄏㄨㄚˋ	製造機械
五軸加工	13	ㄨˇ ㄓㄡˊ ㄐㄧㄚ ㄍㄨㄥ	製造機械
企業	15	ㄑㄧˋ ㄧㄝˋ	製造機械
修復	12	ㄒㄧㄡ ㄈㄨˋ	製造機械
備品管理	16	ㄅㄟˋ ㄆㄧㄣˇ ㄍㄨㄢˇ ㄌㄧˇ	製造機械
內圓磨削	13	ㄋㄟˋ ㄩㄢˊ ㄇㄛˊ ㄒㄩㄝ	製造機械
全員	10	ㄑㄩㄢˊ ㄩㄢˊ	製造機械
公差堆疊	9	ㄍㄨㄥ ㄔㄞ ㄉㄨㄟ ㄉㄧㄝˊ	製造機械
公差配合	10	ㄍㄨㄥ ㄔㄞ ㄆㄟˋ ㄏㄜˊ	製造機械
出貨檢驗	11	ㄔㄨ ㄏㄨㄛˋ ㄐㄧㄢˇ ㄧㄢˋ	製造機械
刀具壽命	9	ㄉㄠ ㄐㄩˋ ㄕㄡˋ ㄇㄧㄥˋ	製造機械
刀具磨耗	10	ㄉㄠ ㄐㄩˋ ㄇㄛˊ ㄏㄠˋ	製造機械
分析	18	ㄈㄣ ㄒㄧ	製造機械
切削加工	9	ㄑㄧㄝ ㄒㄧㄠ ㄐㄧㄚ ㄍㄨㄥ	製造機械
切削深度	10	ㄑㄧㄝ ㄒㄧㄠ ㄕㄣ ㄉㄨˋ	製造機械
切屑控制	13	ㄑㄧㄝ ㄒㄧㄝˋ ㄎㄨㄥˋ ㄓˋ	製造機械
剪切模數	11	ㄐㄧㄢˇ ㄑㄧㄝˋ ㄇㄛˊ ㄕㄨˋ	製造機械
加工	16	ㄐㄧㄚ ㄍㄨㄥ	製造機械
包裝設備	13	ㄅㄠ ㄓㄨㄤ ㄕㄜˋ ㄅㄟˋ	製造機械
參數	15	ㄘㄢ ㄕㄨˋ	製造機械
可靠度	11	ㄎㄜˇ ㄎㄠˋ ㄉㄨˋ	製造機械
品質管制	11	ㄆㄧㄣˇ ㄓˊ ㄍㄨㄢˇ ㄓˋ	製造機械
執行	14	ㄓˊ ㄒㄧㄥˊ	製造機械
增材製造	12	ㄗㄥ ㄘㄞˊ ㄓˋ ㄗㄠˋ	製造機械
壓縮彈簧	10	ㄧㄚ ㄙㄨㄛ ㄊㄢˊ ㄏㄨㄤˊ	製造機械
壓鑄模具	9	ㄧㄚ ㄓㄨˋ ㄇㄨˊ ㄐㄩˋ	製造機械
壓鑄機	14	ㄧㄚ ㄓㄨˋ ㄐㄧ	製造機械
外圓磨削	13	ㄨㄞˋ ㄩㄢˊ ㄇㄛˊ ㄒㄩㄝ	製造機械
多軸加工	13	ㄉㄨㄛ ㄓㄡˊ ㄐㄧㄚ ㄍㄨㄥ	製造機械
安全檢查	16	ㄢ ㄑㄩㄢˊ ㄐㄧㄢˇ ㄔㄚˊ	製造機械
射出成形	12	ㄕㄜˋ ㄔㄨ ㄔㄥˊ ㄒㄧㄥˊ	製造機械
射出模具	10	ㄕㄜˋ ㄔㄨ ㄇㄨˊ ㄐㄩˋ	製造機械
射出機	14	ㄕㄜˋ ㄔㄨ ㄐㄧ	製造機械
射線檢測	10	ㄕㄜˋ ㄒㄧㄢˋ ㄐㄧㄢˇ ㄘㄜˋ	製造機械
尺寸公差	10	ㄔˇ ㄘㄨㄣˋ ㄍㄨㄥ ㄔㄞ	製造機械
工單管理	14	ㄍㄨㄥ ㄉㄢ ㄍㄨㄢˇ ㄌㄧˇ	製造機械
工程	14	ㄍㄨㄥ ㄔㄥˊ	製造機械
平均	15	ㄆㄧㄥˊ ㄐㄩㄣ	製造機械
平面磨削	11	ㄆㄧㄥˊ ㄇㄧㄢˋ ㄇㄛˊ ㄒㄩㄝ	製造機械
幾何公差	10	ㄐㄧˇ ㄏㄜˊ ㄍㄨㄥ ㄔㄞ	製造機械
彈性模數	11	ㄊㄢˊ ㄒㄧㄥˋ ㄇㄛˊ ㄕㄨˋ	製造機械
彎曲應力	10	ㄨㄢ ㄑㄩ ㄧㄥˋ ㄌㄧˋ	製造機械
快速換模	11	ㄎㄨㄞˋ ㄙㄨˋ ㄏㄨㄢˋ ㄇㄛˊ	製造機械
應力	14	ㄧㄥˋ ㄌㄧˋ	製造機械
應力集中	10	ㄧㄥˋ ㄌㄧˋ ㄐㄧˊ ㄓㄨㄥ	製造機械
應力鬆弛	9	ㄧㄥˋ ㄌㄧˋ ㄙㄨㄥ ㄔˊ	製造機械
成形	14	ㄔㄥˊ ㄒㄧㄥˊ	製造機械
扭力彈簧	9	ㄋㄧㄡˇ ㄌㄧˋ ㄊㄢˊ ㄏㄨㄤˊ	製造機械
扭轉應力	10	ㄋㄧㄡˇ ㄓㄨㄢˇ ㄧㄥˋ ㄌㄧˋ	製造機械
抽樣檢驗	11	ㄔㄡ ㄧㄤˋ ㄐㄧㄢˇ ㄧㄢˋ	製造機械
拉伸彈簧	9	ㄌㄚ ㄕㄣ ㄊㄢˊ ㄏㄨㄤˊ	製造機械
指數	13	ㄓˇ ㄕㄨˋ	製造機械
排程	14	ㄆㄞˊ ㄔㄥˊ	製造機械
摩擦	11	ㄇㄛˊ ㄘㄚ	製造機械
攪拌焊	10	ㄐㄧㄠˇ ㄅㄢˋ ㄏㄢˋ	製造機械
放電加工	10	ㄈㄤˋ ㄉㄧㄢˋ ㄐㄧㄚ ㄍㄨㄥ	製造機械
