詞	詞頻	注音	分類
介電材料	12	ㄐㄧㄝˋ ㄉㄧㄢˋ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
傅立葉	8	ㄈㄨˋ ㄌㄧˋ ㄧㄝˋ	材料化工
傳遞現象	11	ㄔㄨㄢˊ ㄉㄧˋ ㄒㄧㄢˋ ㄒㄧㄤˋ	材料化工
光學顯微鏡	3	ㄍㄨㄤ ㄒㄩㄝˊ ㄒㄧㄢˇ ㄨㄟˊ ㄐㄧㄥˋ	材料化工
光電材料	10	ㄍㄨㄤ ㄉㄧㄢˋ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
共晶反應	12	ㄍㄨㄥˋ ㄐㄧㄥ ㄈㄢˇ ㄧㄥˋ	材料化工
力學性質	15	ㄌㄧˋ ㄒㄩㄝˊ ㄒㄧㄥˋ ㄓˊ	材料化工
功能材料	12	ㄍㄨㄥ ㄋㄥˊ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
加成聚合	9	ㄐㄧㄚ ㄔㄥˊ ㄐㄩˋ ㄏㄜˊ	材料化工
動量傳遞	10	ㄉㄨㄥˋ ㄌㄧㄤˋ ㄔㄨㄢˊ ㄉㄧˋ	材料化工
包晶反應	12	ㄅㄠ ㄐㄧㄥ ㄈㄢˇ ㄧㄥˋ	材料化工
化合物	11	ㄏㄨㄚˋ ㄏㄜˊ ㄨˋ	材料化工
化工熱力學	3	ㄏㄨㄚˋ ㄍㄨㄥ ㄖㄜˋ ㄌㄧˋ ㄒㄩㄝˊ	材料化工
半導體材料	4	ㄅㄢˋ ㄉㄠˇ ㄊㄧˇ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
反應器	16	ㄈㄢˇ ㄧㄥˋ ㄑㄧˋ	材料化工
反應工程	13	ㄈㄢˇ ㄧㄥˋ ㄍㄨㄥ ㄔㄥˊ	材料化工
反應級數	12	ㄈㄢˇ ㄧㄥˋ ㄐㄧˊ ㄕㄨˋ	材料化工
反應速率	12	ㄈㄢˇ ㄧㄥˋ ㄙㄨˋ ㄌㄩˋ	材料化工
單元操作	11	ㄉㄢ ㄩㄢˊ ㄘㄠ ㄗㄨㄛˋ	材料化工
固定床	11	ㄍㄨˋ ㄉㄧㄥˋ ㄔㄨㄤˊ	材料化工
固溶強化	11	ㄍㄨˋ ㄖㄨㄥˊ ㄑㄧㄤˊ ㄏㄨㄚˋ	材料化工
固溶處理	11	ㄍㄨˋ ㄖㄨㄥˊ ㄔㄨˇ ㄌㄧˇ	材料化工
壓縮試驗	10	ㄧㄚ ㄙㄨㄛ ㄕˋ ㄧㄢˋ	材料化工
壓電材料	10	ㄧㄚ ㄉㄧㄢˋ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
失效分析	16	ㄕ ㄒㄧㄠˋ ㄈㄣ ㄒㄧ	材料化工
奈米壓痕	11	ㄋㄞˋ ㄇㄧˇ ㄧㄚ ㄏㄣˊ	材料化工
奈米材料	12	ㄋㄞˋ ㄇㄧˇ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
奈米過濾	11	ㄋㄞˋ ㄇㄧˇ ㄍㄨㄛˋ ㄌㄩˋ	材料化工
差示	12	ㄔㄚˋ ㄕˋ	材料化工
布氏硬度	12	ㄅㄨˋ ㄕˋ ㄧㄥˋ ㄉㄨˋ	材料化工
廢氣洗滌	9	ㄈㄟˋ ㄑㄧˋ ㄒㄧˇ ㄉㄧˊ	材料化工
彎曲試驗	10	ㄨㄢ ㄑㄩ ㄕˋ ㄧㄢˋ	材料化工
微結構分析	16	ㄨㄟ ㄐㄧㄝˊ ㄍㄡˋ ㄈㄣ ㄒㄧ	材料化工
應力	10	ㄧㄥˋ ㄌㄧˋ	材料化工
成分分析	16	ㄔㄥˊ ㄈㄣˋ ㄈㄣ ㄒㄧ	材料化工
批次反應器	2	ㄆㄧ ㄘˋ ㄈㄢˇ ㄧㄥˋ ㄑㄧˋ	材料化工
拉伸試驗	10	ㄌㄚ ㄕㄣ ㄕˋ ㄧㄢˋ	材料化工
拉曼光譜	12	ㄌㄚ ㄇㄢˋ ㄍㄨㄤ ㄆㄨˇ	材料化工
掃描	13	ㄙㄠˇ ㄇㄧㄠˊ	材料化工
掃描式	9	ㄙㄠˇ ㄇㄧㄠˊ ㄕˋ	材料化工
攪拌槽	10	ㄐㄧㄠˇ ㄅㄢˋ ㄘㄠˊ	材料化工
方程	12	ㄈㄤ ㄔㄥˊ	材料化工
時效處理	11	ㄕˊ ㄒㄧㄠˋ ㄔㄨˇ ㄌㄧˇ	材料化工
晶粒成長	10	ㄐㄧㄥ ㄌㄧˋ ㄔㄥˊ ㄓㄤˇ	材料化工
晶體結構	10	ㄐㄧㄥ ㄊㄧˇ ㄐㄧㄝˊ ㄍㄡˋ	材料化工
智慧材料	12	ㄓˋ ㄏㄨㄟˋ ㄘㄞˊ ㄌㄧㄠˋ	材料化工
材料工程	12	ㄘㄞˊ ㄌㄧㄠˋ ㄍㄨㄥ ㄔㄥˊ	材料化工
材料科學	11	ㄘㄞˊ ㄌㄧㄠˋ ㄎㄜ ㄒㄩㄝˊ	材料化工
析出強化	10	ㄒㄧ ㄔㄨ ㄑㄧㄤˊ ㄏㄨㄚˋ	材料化工
氣液平衡	12	ㄑㄧˋ ㄧㄝˋ ㄆㄧㄥˊ ㄏㄥˊ	材料化工
氧化還原	11	ㄧㄤˇ ㄏㄨㄚˋ ㄏㄨㄢˊ ㄩㄢˊ	材料化工
洛氏硬度	11	ㄌㄨㄛˋ ㄕˋ ㄧㄥˋ ㄉㄨˋ	材料化工
活性碳吸附	3	ㄏㄨㄛˊ ㄒㄧㄥˋ ㄊㄢˋ ㄒㄧ ㄈㄨˋ	材料化工
流體化床	2	ㄌㄧㄡˊ ㄊㄧˇ ㄏㄨㄚˋ ㄔㄨㄤˊ	材料化工
流體輸送	9	ㄌㄧㄡˊ ㄊㄧˇ ㄕㄨ ㄙㄨㄥˋ	材料化工
液液平衡	11	ㄧㄝˋ ㄧㄝˋ ㄆㄧㄥˊ ㄏㄥˊ	材料化工
