詞	詞頻	注音	分類
事實查核	12	ㄕˋ ㄕˊ ㄔㄚˊ ㄏㄜˊ	媒體設計
互動設計	12	ㄏㄨˋ ㄉㄨㄥˋ ㄕㄜˋ ㄐㄧˋ	媒體設計
介面	12	ㄐㄧㄝˋ ㄇㄧㄢˋ	媒體設計
位元率	10	ㄨㄟˋ ㄩㄢˊ ㄌㄩˋ	媒體設計
低擬真	12	ㄉㄧ ㄋㄧˇ ㄓㄣ	媒體設計
使用者	17	ㄕˇ ㄩㄥˋ ㄓㄜˇ	媒體設計
傳達	12	ㄔㄨㄢˊ ㄉㄚˊ	媒體設計
元件庫	10	ㄩㄢˊ ㄐㄧㄢˋ ㄎㄨˋ	媒體設計
分裂互補	11	ㄈㄣ ㄌㄧㄝˋ ㄏㄨˋ ㄅㄨˇ	媒體設計
剪輯	13	ㄐㄧㄢˇ ㄐㄧˊ	媒體設計
加法混色	11	ㄐㄧㄚ ㄈㄚˇ ㄏㄨㄣˋ ㄙㄜˋ	媒體設計
動態圖形	11	ㄉㄨㄥˋ ㄊㄞˋ ㄊㄨˊ ㄒㄧㄥˊ	媒體設計
動態範圍	11	ㄉㄨㄥˋ ㄊㄞˋ ㄈㄢˋ ㄨㄟˊ	媒體設計
動態設計	12	ㄉㄨㄥˋ ㄊㄞˋ ㄕㄜˋ ㄐㄧˋ	媒體設計
包裝設計	12	ㄅㄠ ㄓㄨㄤ ㄕㄜˋ ㄐㄧˋ	媒體設計
匿名	11	ㄋㄧˋ ㄇㄧㄥˊ	媒體設計
卡片分類	10	ㄎㄚˇ ㄆㄧㄢˋ ㄈㄣ ㄌㄟˋ	媒體設計
原型	15	ㄩㄢˊ ㄒㄧㄥˊ	媒體設計
原型設計	12	ㄩㄢˊ ㄒㄧㄥˊ ㄕㄜˋ ㄐㄧˋ	媒體設計
可用性	11	ㄎㄜˇ ㄩㄥˋ ㄒㄧㄥˋ	媒體設計
品牌設計	12	ㄆㄧㄣˇ ㄆㄞˊ ㄕㄜˋ ㄐㄧˋ	媒體設計
啟發式	11	ㄑㄧˇ ㄈㄚ ㄕˋ	媒體設計
單次對焦	12	ㄉㄢ ㄘˋ ㄉㄨㄟˋ ㄐㄧㄠ	媒體設計
圖像設計	12	ㄊㄨˊ ㄒㄧㄤˋ ㄕㄜˋ ㄐㄧˋ	媒體設計
字型設計	12	ㄗˋ ㄒㄧㄥˊ ㄕㄜˋ ㄐㄧˋ	媒體設計
字級	12	ㄗˋ ㄐㄧˊ	媒體設計
字距	12	ㄗˋ ㄐㄩˋ	媒體設計
字重	12	ㄗˋ ㄓㄨㄥˋ	媒體設計
字體排印	10	ㄗˋ ㄊㄧˇ ㄆㄞˊ ㄧㄣˋ	媒體設計
字體設計	12	ㄗˋ ㄊㄧˇ ㄕㄜˋ ㄐㄧˋ	媒體設計
守門理論	10	ㄕㄡˇ ㄇㄣˊ ㄌㄧˇ ㄌㄨㄣˋ	媒體設計
容器格式	10	ㄖㄨㄥˊ ㄑㄧˋ ㄍㄜˊ ㄕˋ	媒體設計
對焦模式	10	ㄉㄨㄟˋ ㄐㄧㄠ ㄇㄛˊ ㄕˋ	媒體設計
展示設計	12	ㄓㄢˇ ㄕˋ ㄕㄜˋ ㄐㄧˋ	媒體設計
廣角鏡頭	10	ㄍㄨㄤˇ ㄐㄧㄠˇ ㄐㄧㄥˋ ㄊㄡˊ	媒體設計
引導線	11	ㄧㄣˇ ㄉㄠˇ ㄒㄧㄢˋ	媒體設計
影像剪輯	11	ㄧㄥˇ ㄒㄧㄤˋ ㄐㄧㄢˇ ㄐㄧˊ	媒體設計
影格率	13	ㄧㄥˇ ㄍㄜˊ ㄌㄩˋ	媒體設計
微距鏡頭	12	ㄨㄟ ㄐㄩˋ ㄐㄧㄥˋ ㄊㄡˊ	媒體設計
快門速度	10	ㄎㄨㄞˋ ㄇㄣˊ ㄙㄨˋ ㄉㄨˋ	媒體設計
情境訪查	11	ㄑㄧㄥˊ ㄐㄧㄥˋ ㄈㄤˇ ㄔㄚˊ	媒體設計
插畫設計	12	ㄔㄚ ㄏㄨㄚˋ ㄕㄜˋ ㄐㄧˋ	媒體設計
攝影構圖	12	ㄕㄜˋ ㄧㄥˇ ㄍㄡˋ ㄊㄨˊ	媒體設計
