詞	詞頻	注音	分類
三尖瓣逆流	6	ㄙㄢ ㄐㄧㄢ ㄅㄢˋ ㄋㄧˋ ㄌㄧㄡˊ	醫學
上消化道	13	ㄕㄤˋ ㄒㄧㄠ ㄏㄨㄚˋ ㄉㄠˋ	醫學
下消化道	13	ㄒㄧㄚˋ ㄒㄧㄠ ㄏㄨㄚˋ ㄉㄠˋ	醫學
下肢靜脈	12	ㄒㄧㄚˋ ㄓ ㄐㄧㄥˋ ㄇㄞˋ	醫學
不全	12	ㄅㄨˋ ㄑㄩㄢˊ	醫學
不良	14	ㄅㄨˋ ㄌㄧㄤˊ	醫學
不良性	11	ㄅㄨˋ ㄌㄧㄤˊ ㄒㄧㄥˋ	醫學
丙胺酸	12	ㄅㄧㄥˇ ㄢˋ ㄙㄨㄢ	醫學
中止症	10	ㄓㄨㄥ ㄓˇ ㄓㄥˋ	醫學
中毒	12	ㄓㄨㄥˋ ㄉㄨˊ	醫學
主動脈	11	ㄓㄨˇ ㄉㄨㄥˋ ㄇㄞˋ	醫學
主動脈剝離	3	ㄓㄨˇ ㄉㄨㄥˋ ㄇㄞˋ ㄅㄛ ㄌㄧˊ	醫學
主動脈瓣	10	ㄓㄨˇ ㄉㄨㄥˋ ㄇㄞˋ ㄅㄢˋ	醫學
乳房	13	ㄖㄨˇ ㄈㄤˊ	醫學
乳酸脫氫酶	6	ㄖㄨˇ ㄙㄨㄢ ㄊㄨㄛ ㄑㄧㄥ ㄇㄟˊ	醫學
乾癬性	10	ㄍㄢ ㄒㄧㄢˇ ㄒㄧㄥˋ	醫學
二尖瓣逆流	6	ㄦˋ ㄐㄧㄢ ㄅㄢˋ ㄋㄧˋ ㄌㄧㄡˊ	醫學
亢進	13	ㄎㄤˋ ㄐㄧㄣˋ	醫學
人工	14	ㄖㄣˊ ㄍㄨㄥ	醫學
介入術	12	ㄐㄧㄝˋ ㄖㄨˋ ㄕㄨˋ	醫學
低下症	10	ㄉㄧ ㄒㄧㄚˋ ㄓㄥˋ	醫學
修格連氏症	5	ㄒㄧㄡ ㄍㄜˊ ㄌㄧㄢˊ ㄕˋ ㄓㄥˋ	醫學
側索	10	ㄘㄜˋ ㄙㄨㄛˇ	醫學
傳導	12	ㄔㄨㄢˊ ㄉㄠˇ	醫學
光學	11	ㄍㄨㄤ ㄒㄩㄝˊ	醫學
免疫系統	12	ㄇㄧㄢˇ ㄧˋ ㄒㄧˋ ㄊㄨㄥˇ	醫學
內分泌系統	12	ㄋㄟˋ ㄈㄣ ㄇㄧˋ ㄒㄧˋ ㄊㄨㄥˇ	醫學
內固定術	11	ㄋㄟˋ ㄍㄨˋ ㄉㄧㄥˋ ㄕㄨˋ	醫學
內膜	12	ㄋㄟˋ ㄇㄛˊ	醫學
內視鏡	12	ㄋㄟˋ ㄕˋ ㄐㄧㄥˋ	醫學
內視鏡止血	3	ㄋㄟˋ ㄕˋ ㄐㄧㄥˋ ㄓˇ ㄒㄧㄝˇ	醫學
再生	13	ㄗㄞˋ ㄕㄥ	醫學
冠狀動脈	15	ㄍㄨㄢ ㄓㄨㄤˋ ㄉㄨㄥˋ ㄇㄞˋ	醫學
冬胺酸	12	ㄉㄨㄥ ㄢˋ ㄙㄨㄢ	醫學
凝血	14	ㄋㄧㄥˊ ㄒㄧㄝˇ	醫學
凝血酶原	12	ㄋㄧㄥˊ ㄒㄧㄝˇ ㄇㄟˊ ㄩㄢˊ	醫學
出血	17	ㄔㄨ ㄒㄧㄝˇ	醫學
出血性	10	ㄔㄨ ㄒㄧㄝˇ ㄒㄧㄥˋ	醫學
切除術	13	ㄑㄧㄝ ㄔㄨˊ ㄕㄨˋ	醫學
刺激素	12	ㄘˋ ㄐㄧ ㄙㄨˋ	醫學
前列腺肥大	3	ㄑㄧㄢˊ ㄌㄧㄝˋ ㄒㄧㄢˋ ㄈㄟˊ ㄉㄚˋ	醫學
剝離	12	ㄅㄛ ㄌㄧˊ	醫學
剝離術	10	ㄅㄛ ㄌㄧˊ ㄕㄨˋ	醫學
副甲狀腺	12	ㄈㄨˋ ㄐㄧㄚˇ ㄓㄨㄤˋ ㄒㄧㄢˋ	醫學
功能	17	ㄍㄨㄥ ㄋㄥˊ	醫學
功能評估	13	ㄍㄨㄥ ㄋㄥˊ ㄆㄧㄥˊ ㄍㄨ	醫學
動脈	16	ㄉㄨㄥˋ ㄇㄞˋ	醫學
化膿性	10	ㄏㄨㄚˋ ㄋㄨㄥˊ ㄒㄧㄥˋ	醫學
十字	12	ㄕˊ ㄗˋ	醫學
半月板撕裂	3	ㄅㄢˋ ㄩㄝˋ ㄅㄢˇ ㄙ ㄌㄧㄝˋ	醫學
卵巢	12	ㄌㄨㄢˇ ㄔㄠˊ	醫學
原發性	9	ㄩㄢˊ ㄈㄚ ㄒㄧㄥˋ	醫學
去顫器	10	ㄑㄩˋ ㄔㄢˋ ㄑㄧˋ	醫學
口服	11	ㄎㄡˇ ㄈㄨˊ	醫學
右心室肥厚	5	ㄧㄡˋ ㄒㄧㄣ ㄕˋ ㄈㄟˊ ㄏㄡˋ	醫學
同調	10	ㄊㄨㄥˊ ㄉㄧㄠˋ	醫學
周邊	13	ㄓㄡ ㄅㄧㄢ	醫學
呼吸	17	ㄏㄨ ㄒㄧ	醫學
呼吸器脫離	3	ㄏㄨ ㄒㄧ ㄑㄧˋ ㄊㄨㄛ ㄌㄧˊ	醫學
呼吸系統	12	ㄏㄨ ㄒㄧ ㄒㄧˋ ㄊㄨㄥˇ	醫學
喉嚨異物感	4	ㄏㄡˊ ㄌㄨㄥˊ ㄧˋ ㄨˋ ㄍㄢˇ	醫學
增多症	9	ㄗㄥ ㄉㄨㄛ ㄓㄥˋ	醫學
增生	11	ㄗㄥ ㄕㄥ	醫學
壓迫性骨折	4	ㄧㄚ ㄆㄛˋ ㄒㄧㄥˋ ㄍㄨˇ ㄓㄜˊ	醫學
壞死性	10	ㄏㄨㄞˋ ㄙˇ ㄒㄧㄥˋ	醫學
多囊性	12	ㄉㄨㄛ ㄋㄤˊ ㄒㄧㄥˋ	醫學
多發性	10	ㄉㄨㄛ ㄈㄚ ㄒㄧㄥˋ	醫學
多重	12	ㄉㄨㄛ ㄔㄨㄥˊ	醫學
大腸憩室炎	3	ㄉㄚˋ ㄔㄤˊ ㄑㄧˋ ㄕˋ ㄧㄢˊ	醫學
大腸鏡檢查	4	ㄉㄚˋ ㄔㄤˊ ㄐㄧㄥˋ ㄐㄧㄢˇ ㄔㄚˊ	醫學
天門	12	ㄊㄧㄢ ㄇㄣˊ	醫學
妊娠糖尿病	3	ㄖㄣˋ ㄔㄣˊ ㄊㄤˊ ㄋㄧㄠˋ ㄅㄧㄥˋ	醫學
子宮	13	ㄗˇ ㄍㄨㄥ	醫學
子宮腺肌症	3	ㄗˇ ㄍㄨㄥ ㄒㄧㄢˋ ㄐㄧ ㄓㄥˋ	醫學
實驗室檢查	13	ㄕˊ ㄧㄢˋ ㄕˋ ㄐㄧㄢˇ ㄔㄚˊ	醫學
尿動力學	12	ㄋㄧㄠˋ ㄉㄨㄥˋ ㄌㄧˋ ㄒㄩㄝˊ	醫學
尿流速檢查	5	ㄋㄧㄠˋ ㄌㄧㄡˊ ㄙㄨˋ ㄐㄧㄢˇ ㄔㄚˊ	醫學
尿素氮數值	3	ㄋㄧㄠˋ ㄙㄨˋ ㄉㄢˋ ㄕㄨˋ ㄓˊ	醫學
尿素氮檢驗	4	ㄋㄧㄠˋ ㄙㄨˋ ㄉㄢˋ ㄐㄧㄢˇ ㄧㄢˋ	醫學
尿素氮異常	3	ㄋㄧㄠˋ ㄙㄨˋ ㄉㄢˋ ㄧˋ ㄔㄤˊ	醫學
尿蛋白	11	ㄋㄧㄠˋ ㄉㄢˋ ㄅㄞˊ	醫學
左心室肥厚	5	ㄗㄨㄛˇ ㄒㄧㄣ ㄕˋ ㄈㄟˊ ㄏㄡˋ	醫學
巨球性貧血	4	ㄐㄩˋ ㄑㄧㄡˊ ㄒㄧㄥˋ ㄆㄧㄣˊ ㄒㄧㄝˇ	醫學
彌漫性	9	ㄇㄧˊ ㄇㄢˋ ㄒㄧㄥˋ	醫學
影像檢查	13	ㄧㄥˇ ㄒㄧㄤˋ ㄐㄧㄢˇ ㄔㄚˊ	醫學
復健治療	13	ㄈㄨˋ ㄐㄧㄢˋ ㄓˋ ㄌㄧㄠˊ	醫學
心內膜炎	10	ㄒㄧㄣ ㄋㄟˋ ㄇㄛˊ ㄧㄢˊ	醫學
心因性休克	6	ㄒㄧㄣ ㄧㄣ ㄒㄧㄥˋ ㄒㄧㄡ ㄎㄜˋ	醫學
心導管檢查	7	ㄒㄧㄣ ㄉㄠˇ ㄍㄨㄢˇ ㄐㄧㄢˇ ㄔㄚˊ	醫學
心肌纖維化	4	ㄒㄧㄣ ㄐㄧ ㄒㄧㄢ ㄨㄟˊ ㄏㄨㄚˋ	醫學
心臟	16	ㄒㄧㄣ ㄗㄤˋ	醫學
心臟病	12	ㄒㄧㄣ ㄗㄤˋ ㄅㄧㄥˋ	醫學
心臟節律器	4	ㄒㄧㄣ ㄗㄤˋ ㄐㄧㄝˊ ㄌㄩˋ ㄑㄧˋ	醫學
心臟超音波	4	ㄒㄧㄣ ㄗㄤˋ ㄔㄠ ㄧㄣ ㄅㄛ	醫學
心血管	13	ㄒㄧㄣ ㄒㄧㄝˇ ㄍㄨㄢˇ	醫學
急性	16	ㄐㄧˊ ㄒㄧㄥˋ	醫學
急性冠心症	3	ㄐㄧˊ ㄒㄧㄥˋ ㄍㄨㄢ ㄒㄧㄣ ㄓㄥˋ	醫學
急性腎損傷	3	ㄐㄧˊ ㄒㄧㄥˋ ㄕㄣˋ ㄙㄨㄣˇ ㄕㄤ	醫學
急性骨髓炎	3	ㄐㄧˊ ㄒㄧㄥˋ ㄍㄨˇ ㄙㄨㄟˇ ㄧㄢˊ	醫學
感染性	10	ㄍㄢˇ ㄖㄢˇ ㄒㄧㄥˋ	醫學
慢性	14	ㄇㄢˋ ㄒㄧㄥˋ	醫學
慢性腎臟病	4	ㄇㄢˋ ㄒㄧㄥˋ ㄕㄣˋ ㄗㄤˋ ㄅㄧㄥˋ	醫學
抗磷脂	12	ㄎㄤˋ ㄌㄧㄣˊ ㄓ	醫學
抗菌	12	ㄎㄤˋ ㄐㄩㄣˋ	醫學
抗藥性	11	ㄎㄤˋ ㄧㄠˋ ㄒㄧㄥˋ	醫學
掃描	12	ㄙㄠˇ ㄇㄧㄠˊ	醫學
撕裂	13	ㄙ ㄌㄧㄝˋ	醫學
擴張症	10	ㄎㄨㄛˋ ㄓㄤ ㄓㄥˋ	醫學
攝影	14	ㄕㄜˋ ㄧㄥˇ	醫學
攝護腺	13	ㄕㄜˋ ㄏㄨˋ ㄒㄧㄢˋ	醫學
支持治療	13	ㄓ ㄔˊ ㄓˋ ㄌㄧㄠˊ	醫學
支氣管	11	ㄓ ㄑㄧˋ ㄍㄨㄢˇ	醫學
支氣管鏡	11	ㄓ ㄑㄧˋ ㄍㄨㄢˇ ㄐㄧㄥˋ	醫學
敏感性	11	ㄇㄧㄣˇ ㄍㄢˇ ㄒㄧㄥˋ	醫學
數值	17	ㄕㄨˋ ㄓˊ	醫學
斷層	16	ㄉㄨㄢˋ ㄘㄥˊ	醫學
早期	13	ㄗㄠˇ ㄑㄧˊ	醫學
時間	16	ㄕˊ ㄐㄧㄢ	醫學
暫時性	11	ㄓㄢˋ ㄕˊ ㄒㄧㄥˋ	醫學
栓塞	12	ㄕㄨㄢ ㄙㄞ	醫學
植入式	10	ㄓˊ ㄖㄨˋ ㄕˋ	醫學
椎間盤突出	3	ㄓㄨㄟ ㄐㄧㄢ ㄆㄢˊ ㄊㄨˊ ㄔㄨ	醫學
機械取栓術	4	ㄐㄧ ㄒㄧㄝˋ ㄑㄩˇ ㄕㄨㄢ ㄕㄨˋ	醫學
機能亢進	10	ㄐㄧ ㄋㄥˊ ㄎㄤˋ ㄐㄧㄣˋ	醫學
機能低下	10	ㄐㄧ ㄋㄥˊ ㄉㄧ ㄒㄧㄚˋ	醫學
檢查	20	ㄐㄧㄢˇ ㄔㄚˊ	醫學
檢測	12	ㄐㄧㄢˇ ㄘㄜˋ	醫學
檢驗	18	ㄐㄧㄢˇ ㄧㄢˋ	醫學
氣喘	12	ㄑㄧˋ ㄔㄨㄢˇ	醫學
沉降	12	ㄔㄣˊ ㄐㄧㄤˋ	醫學
治療	16	ㄓˋ ㄌㄧㄠˊ	醫學
泌尿系統	12	ㄇㄧˋ ㄋㄧㄠˋ ㄒㄧˋ ㄊㄨㄥˇ	醫學
活化	12	ㄏㄨㄛˊ ㄏㄨㄚˋ	醫學
活酶	11	ㄏㄨㄛˊ ㄇㄟˊ	醫學
消化系統	12	ㄒㄧㄠ ㄏㄨㄚˋ ㄒㄧˋ ㄊㄨㄥˇ	醫學
深部	12	ㄕㄣ ㄅㄨˋ	醫學
游離	12	ㄧㄡˊ ㄌㄧˊ	醫學
溶血性貧血	3	ㄖㄨㄥˊ ㄒㄧㄝˇ ㄒㄧㄥˋ ㄆㄧㄣˊ ㄒㄧㄝˇ	醫學
溶解	11	ㄖㄨㄥˊ ㄐㄧㄝˇ	醫學
潰瘍性	10	ㄎㄨㄟˋ ㄧㄤˊ ㄒㄧㄥˋ	醫學
特發性	12	ㄊㄜˋ ㄈㄚ ㄒㄧㄥˋ	醫學
狀態	14	ㄓㄨㄤˋ ㄊㄞˋ	醫學
狹窄	13	ㄒㄧㄚˊ ㄓㄞˇ	醫學
狼瘡	10	ㄌㄤˊ ㄔㄨㄤ	醫學
瓣膜性	10	ㄅㄢˋ ㄇㄛˊ ㄒㄧㄥˋ	醫學
生殖系統	12	ㄕㄥ ㄓˊ ㄒㄧˋ ㄊㄨㄥˇ	醫學
產前	11	ㄔㄢˇ ㄑㄧㄢˊ	醫學
甲狀腺	14	ㄐㄧㄚˇ ㄓㄨㄤˋ ㄒㄧㄢˋ	醫學
甲狀腺素	12	ㄐㄧㄚˇ ㄓㄨㄤˋ ㄒㄧㄢˋ ㄙㄨˋ	醫學
甲狀腺結節	3	ㄐㄧㄚˇ ㄓㄨㄤˋ ㄒㄧㄢˋ ㄐㄧㄝˊ ㄐㄧㄝˊ	醫學
異位性	10	ㄧˋ ㄨㄟˋ ㄒㄧㄥˋ	醫學
異位症	10	ㄧˋ ㄨㄟˋ ㄓㄥˋ	醫學
異常	17	ㄧˋ ㄔㄤˊ	醫學
疾病	15	ㄐㄧˊ ㄅㄧㄥˋ	醫學
疾病篩檢	12	ㄐㄧˊ ㄅㄧㄥˋ ㄕㄞ ㄐㄧㄢˇ	醫學
病變	13	ㄅㄧㄥˋ ㄅㄧㄢˋ	醫學
症候群	15	ㄓㄥˋ ㄏㄡˋ ㄑㄩㄣˊ	醫學
癲癇	11	ㄉㄧㄢ ㄒㄧㄢˊ	醫學
發作	12	ㄈㄚ ㄗㄨㄛˋ	醫學
發炎性	10	ㄈㄚ ㄧㄢˊ ㄒㄧㄥˋ	醫學
白蛋白數值	3	ㄅㄞˊ ㄉㄢˋ ㄅㄞˊ ㄕㄨˋ ㄓˊ	醫學
白蛋白檢驗	4	ㄅㄞˊ ㄉㄢˋ ㄅㄞˊ ㄐㄧㄢˇ ㄧㄢˋ	醫學
皮膚炎	12	ㄆㄧˊ ㄈㄨ ㄧㄢˊ	醫學
監測	12	ㄐㄧㄢ ㄘㄜˋ	醫學
直接膽紅素	8	ㄓˊ ㄐㄧㄝ ㄉㄢˇ ㄏㄨㄥˊ ㄙㄨˋ	醫學
睡眠	13	ㄕㄨㄟˋ ㄇㄧㄢˊ	醫學
硬化症	11	ㄧㄥˋ ㄏㄨㄚˋ ㄓㄥˋ	醫學
硬腦膜下	11	ㄧㄥˋ ㄋㄠˇ ㄇㄛˊ ㄒㄧㄚˋ	醫學
磁振	15	ㄘˊ ㄓㄣˋ	醫學
磨玻璃結節	3	ㄇㄛˊ ㄅㄛ ㄌㄧˊ ㄐㄧㄝˊ ㄐㄧㄝˊ	醫學
神經	15	ㄕㄣˊ ㄐㄧㄥ	醫學
神經系統	12	ㄕㄣˊ ㄐㄧㄥ ㄒㄧˋ ㄊㄨㄥˇ	醫學
窘迫	10	ㄐㄩㄥˇ ㄆㄛˋ	醫學
筋膜炎	10	ㄐㄧㄣ ㄇㄛˊ ㄧㄢˊ	醫學
管理	15	ㄍㄨㄢˇ ㄌㄧˇ	醫學
精索	12	ㄐㄧㄥ ㄙㄨㄛˇ	醫學
糖尿病	14	ㄊㄤˊ ㄋㄧㄠˋ ㄅㄧㄥˋ	醫學
系統	19	ㄒㄧˋ ㄊㄨㄥˇ	醫學
系統性	12	ㄒㄧˋ ㄊㄨㄥˇ ㄒㄧㄥˋ	醫學
紅斑	10	ㄏㄨㄥˊ ㄅㄢ	醫學
紅血球	12	ㄏㄨㄥˊ ㄒㄧㄝˇ ㄑㄧㄡˊ	醫學
純音	11	ㄔㄨㄣˊ ㄧㄣ	醫學
細菌	12	ㄒㄧˋ ㄐㄩㄣˋ	醫學
組織炎	10	ㄗㄨˇ ㄓ ㄧㄢˊ	醫學
結腸炎	10	ㄐㄧㄝˊ ㄔㄤˊ ㄧㄢˊ	醫學
經尿道	12	ㄐㄧㄥ ㄋㄧㄠˋ ㄉㄠˋ	醫學
經皮	12	ㄐㄧㄥ ㄆㄧˊ	醫學
維生素	13	ㄨㄟˊ ㄕㄥ ㄙㄨˋ	醫學
總膽紅素	8	ㄗㄨㄥˇ ㄉㄢˇ ㄏㄨㄥˊ ㄙㄨˋ	醫學
纖維化	12	ㄒㄧㄢ ㄨㄟˊ ㄏㄨㄚˋ	醫學
