詞	詞頻	注音	分類
一次性密碼	5	ㄧ ㄘˋ ㄒㄧㄥˋ ㄇㄧˋ ㄇㄚˇ	網路資安
三向交握	10	ㄙㄢ ㄒㄧㄤˋ ㄐㄧㄠ ㄨㄛˋ	網路資安
不可否認性	5	ㄅㄨˋ ㄎㄜˇ ㄈㄡˇ ㄖㄣˋ ㄒㄧㄥˋ	網路資安
不安全	11	ㄅㄨˋ ㄢ ㄑㄩㄢˊ	網路資安
中心	15	ㄓㄨㄥ ㄒㄧㄣ	網路資安
中間人攻擊	3	ㄓㄨㄥ ㄐㄧㄢ ㄖㄣˊ ㄍㄨㄥ ㄐㄧˊ	網路資安
主機	13	ㄓㄨˇ ㄐㄧ	網路資安
事件	17	ㄕˋ ㄐㄧㄢˋ	網路資安
事件應變	12	ㄕˋ ㄐㄧㄢˋ ㄧㄥˋ ㄅㄧㄢˋ	網路資安
事件調查	13	ㄕˋ ㄐㄧㄢˋ ㄉㄧㄠˋ ㄔㄚˊ	網路資安
伺服器	14	ㄙˋ ㄈㄨˊ ㄑㄧˋ	網路資安
伺服器稽核	4	ㄙˋ ㄈㄨˊ ㄑㄧˋ ㄐㄧ ㄏㄜˊ	網路資安
位址	13	ㄨㄟˋ ㄓˇ	網路資安
使用後釋放	6	ㄕˇ ㄩㄥˋ ㄏㄡˋ ㄕˋ ㄈㄤˋ	網路資安
使用者	13	ㄕˇ ㄩㄥˋ ㄓㄜˇ	網路資安
供應鏈	13	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ	網路資安
供應鏈攻擊	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄍㄨㄥ ㄐㄧˊ	網路資安
供應鏈稽核	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄐㄧ ㄏㄜˊ	網路資安
修補管理	12	ㄒㄧㄡ ㄅㄨˇ ㄍㄨㄢˇ ㄌㄧˇ	網路資安
偵測	15	ㄓㄣ ㄘㄜˋ	網路資安
偵測回應	13	ㄓㄣ ㄘㄜˋ ㄏㄨㄟˊ ㄧㄥˋ	網路資安
偽造	13	ㄨㄟˋ ㄗㄠˋ	網路資安
傳輸	15	ㄔㄨㄢˊ ㄕㄨ	網路資安
入侵	14	ㄖㄨˋ ㄑㄧㄣ	網路資安
入侵指標	11	ㄖㄨˋ ㄑㄧㄣ ㄓˇ ㄅㄧㄠ	網路資安
公開金鑰	12	ㄍㄨㄥ ㄎㄞ ㄐㄧㄣ ㄧㄠˋ	網路資安
分散式	11	ㄈㄣ ㄙㄢˋ ㄕˋ	網路資安
分析	16	ㄈㄣ ㄒㄧ	網路資安
加密	13	ㄐㄧㄚ ㄇㄧˋ	網路資安
勒索病毒	10	ㄌㄜˋ ㄙㄨㄛˇ ㄅㄧㄥˋ ㄉㄨˊ	網路資安
動態	15	ㄉㄨㄥˋ ㄊㄞˋ	網路資安
動態分析	12	ㄉㄨㄥˋ ㄊㄞˋ ㄈㄣ ㄒㄧ	網路資安
動態路由	11	ㄉㄨㄥˋ ㄊㄞˋ ㄌㄨˋ ㄧㄡˊ	網路資安
區域網路	11	ㄑㄩ ㄩˋ ㄨㄤˇ ㄌㄨˋ	網路資安
協作	11	ㄒㄧㄝˊ ㄗㄨㄛˋ	網路資安
協定	16	ㄒㄧㄝˊ ㄉㄧㄥˋ	網路資安
反序列化	11	ㄈㄢˇ ㄒㄩˋ ㄌㄧㄝˋ ㄏㄨㄚˋ	網路資安
名稱	13	ㄇㄧㄥˊ ㄔㄥ	網路資安
命令注入	11	ㄇㄧㄥˋ ㄌㄧㄥˋ ㄓㄨˋ ㄖㄨˋ	網路資安
商務	12	ㄕㄤ ㄨˋ	網路資安
單一登入	11	ㄉㄢ ㄧ ㄉㄥ ㄖㄨˋ	網路資安
單元	14	ㄉㄢ ㄩㄢˊ	網路資安
四次揮手	10	ㄙˋ ㄘˋ ㄏㄨㄟ ㄕㄡˇ	網路資安
回應	15	ㄏㄨㄟˊ ㄧㄥˋ	網路資安
垂直越權	11	ㄔㄨㄟˊ ㄓˊ ㄩㄝˋ ㄑㄩㄢˊ	網路資安
域間路由	13	ㄩˋ ㄐㄧㄢ ㄌㄨˋ ㄧㄡˊ	網路資安
執行	14	ㄓˊ ㄒㄧㄥˊ	網路資安
基礎	14	ㄐㄧ ㄔㄨˇ	網路資安
威脅偵測	13	ㄨㄟ ㄒㄧㄝˊ ㄓㄣ ㄘㄜˋ	網路資安
威脅建模	11	ㄨㄟ ㄒㄧㄝˊ ㄐㄧㄢˋ ㄇㄛˊ	網路資安
威脅情資	11	ㄨㄟ ㄒㄧㄝˊ ㄑㄧㄥˊ ㄗ	網路資安
威脅獵捕	11	ㄨㄟ ㄒㄧㄝˊ ㄌㄧㄝˋ ㄅㄨˇ	網路資安
子網路遮罩	6	ㄗˇ ㄨㄤˇ ㄌㄨˋ ㄓㄜ ㄓㄠˋ	網路資安
存取控制	15	ㄘㄨㄣˊ ㄑㄩˇ ㄎㄨㄥˋ ㄓˋ	網路資安
安全	18	ㄢ ㄑㄩㄢˊ	網路資安
安全基線	12	ㄢ ㄑㄩㄢˊ ㄐㄧ ㄒㄧㄢˋ	網路資安
安全強化	13	ㄢ ㄑㄩㄢˊ ㄑㄧㄤˊ ㄏㄨㄚˋ	網路資安
完整性驗證	3	ㄨㄢˊ ㄓㄥˇ ㄒㄧㄥˋ ㄧㄢˋ ㄓㄥˋ	網路資安
密碼加鹽	10	ㄇㄧˋ ㄇㄚˇ ㄐㄧㄚ ㄧㄢˊ	網路資安
密碼原則	10	ㄇㄧˋ ㄇㄚˇ ㄩㄢˊ ㄗㄜˊ	網路資安
密碼噴灑	10	ㄇㄧˋ ㄇㄚˇ ㄆㄣ ㄙㄚˇ	網路資安
密碼雜湊	10	ㄇㄧˋ ㄇㄚˇ ㄗㄚˊ ㄘㄡˋ	網路資安
封包遺失	10	ㄈㄥ ㄅㄠ ㄧˊ ㄕ	網路資安
對稱式	11	ㄉㄨㄟˋ ㄔㄣˋ ㄕˋ	網路資安
對稱式加密	3	ㄉㄨㄟˋ ㄔㄣˋ ㄕˋ ㄐㄧㄚ ㄇㄧˋ	網路資安
屬性型	11	ㄕㄨˇ ㄒㄧㄥˋ ㄒㄧㄥˊ	網路資安
帳號	12	ㄓㄤˋ ㄏㄠˋ	網路資安
建設	14	ㄐㄧㄢˋ ㄕㄜˋ	網路資安
弱點掃描	14	ㄖㄨㄛˋ ㄉㄧㄢˇ ㄙㄠˇ ㄇㄧㄠˊ	網路資安
