詞	詞頻	注音	分類
劉德華	41	ㄌㄧㄡˊ ㄉㄜˊ ㄏㄨㄚˊ	人名-當代
吳宗憲	22	ㄨˊ ㄗㄨㄥ ㄒㄧㄢˋ	人名-當代
吳敦義	35	ㄨˊ ㄉㄨㄣ ㄧˋ	人名-當代
周杰倫	31	ㄓㄡ ㄐㄧㄝˊ ㄌㄨㄣˊ	人名-當代
姚明	33	ㄧㄠˊ ㄇㄧㄥˊ	人名-當代
安倍晉三	13	ㄢ ㄅㄟˋ ㄐㄧㄣˋ ㄙㄢ	人名-當代
宮崎駿	44	ㄍㄨㄥ ㄑㄧˊ ㄐㄩㄣˋ	人名-當代
川普	30	ㄔㄨㄢ ㄆㄨˇ	人名-當代
張忠謀	47	ㄓㄤ ㄓㄨㄥ ㄇㄡˊ	人名-當代
張惠妹	37	ㄓㄤ ㄏㄨㄟˋ ㄇㄟˋ	人名-當代
戴資穎	18	ㄉㄞˋ ㄗ ㄧㄥˇ	人名-當代
拜登	13	ㄅㄞˋ ㄉㄥ	人名-當代
木村拓哉	16	ㄇㄨˋ ㄘㄨㄣ ㄊㄨㄛˋ ㄗㄞ	人名-當代
朱立倫	31	ㄓㄨ ㄌㄧˋ ㄌㄨㄣˊ	人名-當代
李光耀	49	ㄌㄧˇ ㄍㄨㄤ ㄧㄠˋ	人名-當代
李安	46	ㄌㄧˇ ㄢ	人名-當代
李連杰	19	ㄌㄧˇ ㄌㄧㄢˊ ㄐㄧㄝˊ	人名-當代
村上春樹	40	ㄘㄨㄣ ㄕㄤˋ ㄔㄨㄣ ㄕㄨˋ	人名-當代
林宥嘉	21	ㄌㄧㄣˊ ㄧㄡˋ ㄐㄧㄚ	人名-當代
林智勝	20	ㄌㄧㄣˊ ㄓˋ ㄕㄥˋ	人名-當代
林益世	24	ㄌㄧㄣˊ ㄧˋ ㄕˋ	人名-當代
柯文哲	31	ㄎㄜ ㄨㄣˊ ㄓㄜˊ	人名-當代
梅克爾	13	ㄇㄟˊ ㄎㄜˋ ㄦˇ	人名-當代
歐巴馬	36	ㄡ ㄅㄚ ㄇㄚˇ	人名-當代
比爾蓋茲	32	ㄅㄧˇ ㄦˇ ㄍㄞˋ ㄗ	人名-當代
洪秀柱	28	ㄏㄨㄥˊ ㄒㄧㄡˋ ㄓㄨˋ	人名-當代
王力宏	25	ㄨㄤˊ ㄌㄧˋ ㄏㄨㄥˊ	人名-當代
王定宇	22	ㄨㄤˊ ㄉㄧㄥˋ ㄩˇ	人名-當代
王建民	44	ㄨㄤˊ ㄐㄧㄢˋ ㄇㄧㄣˊ	人名-當代
王金平	41	ㄨㄤˊ ㄐㄧㄣ ㄆㄧㄥˊ	人名-當代
章子怡	24	ㄓㄤ ㄗˇ ㄧˊ	人名-當代
習近平	28	ㄒㄧˊ ㄐㄧㄣˋ ㄆㄧㄥˊ	人名-當代
胡志強	31	ㄏㄨˊ ㄓˋ ㄑㄧㄤˊ	人名-當代
蔡依林	32	ㄘㄞˋ ㄧ ㄌㄧㄣˊ	人名-當代
蔡卓妍	21	ㄘㄞˋ ㄓㄨㄛˊ ㄧㄢˊ	人名-當代
蔡明亮	27	ㄘㄞˋ ㄇㄧㄥˊ ㄌㄧㄤˋ	人名-當代
蔡英文	45	ㄘㄞˋ ㄧㄥ ㄨㄣˊ	人名-當代
蘇嘉全	24	ㄙㄨ ㄐㄧㄚ ㄑㄩㄢˊ	人名-當代
蘇貞昌	35	ㄙㄨ ㄓㄣ ㄔㄤ	人名-當代
賈伯斯	33	ㄐㄧㄚˇ ㄅㄛˊ ㄙ	人名-當代
賴清德	28	ㄌㄞˋ ㄑㄧㄥ ㄉㄜˊ	人名-當代
趙少康	31	ㄓㄠˋ ㄕㄠˋ ㄎㄤ	人名-當代
邱太三	24	ㄑㄧㄡ ㄊㄞˋ ㄙㄢ	人名-當代
邱毅	32	ㄑㄧㄡ ㄧˋ	人名-當代
郭台銘	27	ㄍㄨㄛ ㄊㄞˊ ㄇㄧㄥˊ	人名-當代
郭正亮	24	ㄍㄨㄛ ㄓㄥˋ ㄌㄧㄤˋ	人名-當代
鈴木一朗	21	ㄌㄧㄥˊ ㄇㄨˋ ㄧ ㄌㄤˇ	人名-當代
陳文茜	40	ㄔㄣˊ ㄨㄣˊ ㄑㄧㄢˋ	人名-當代
陳菊	35	ㄔㄣˊ ㄐㄩˊ	人名-當代
陳金鋒	38	ㄔㄣˊ ㄐㄧㄣ ㄈㄥ	人名-當代
韓國瑜	13	ㄏㄢˊ ㄍㄨㄛˊ ㄩˊ	人名-當代
香取慎吾	21	ㄒㄧㄤ ㄑㄩˇ ㄕㄣˋ ㄨˊ	人名-當代
馬斯克	41	ㄇㄚˇ ㄙ ㄎㄜˋ	人名-當代
馬英九	50	ㄇㄚˇ ㄧㄥ ㄐㄧㄡˇ	人名-當代
高行健	32	ㄍㄠ ㄒㄧㄥˊ ㄐㄧㄢˋ	人名-當代
黃仁勳	43	ㄏㄨㄤˊ ㄖㄣˊ ㄒㄩㄣ	人名-當代
