詞	詞頻	注音	分類
三島	20	ㄙㄢ ㄉㄠˇ	人名-歷史
乾隆	31	ㄑㄧㄢˊ ㄌㄨㄥˊ	人名-歷史
亞當斯密	14	ㄧㄚˇ ㄉㄤ ㄙ ㄇㄧˋ	人名-歷史
亞里斯	18	ㄧㄚˇ ㄌㄧˇ ㄙ	人名-歷史
伏羲	16	ㄈㄨˊ ㄒㄧ	人名-歷史
伽利略	32	ㄐㄧㄚ ㄌㄧˋ ㄌㄩㄝˋ	人名-歷史
佛洛伊德	32	ㄈㄛˊ ㄌㄨㄛˋ ㄧ ㄉㄜˊ	人名-歷史
佛洛依德	32	ㄈㄛˊ ㄌㄨㄛˋ ㄧ ㄉㄜˊ	人名-歷史
劉備	27	ㄌㄧㄡˊ ㄅㄟˋ	人名-歷史
劉邦	24	ㄌㄧㄡˊ ㄅㄤ	人名-歷史
劉銘傳	16	ㄌㄧㄡˊ ㄇㄧㄥˊ ㄔㄨㄢˊ	人名-歷史
卓別林	14	ㄓㄨㄛˊ ㄅㄧㄝˊ ㄌㄧㄣˊ	人名-歷史
南丁格爾	39	ㄋㄢˊ ㄉㄧㄥ ㄍㄜˊ ㄦˇ	人名-歷史
卡夫卡	14	ㄎㄚˇ ㄈㄨ ㄎㄚˇ	人名-歷史
史達林	21	ㄕˇ ㄉㄚˊ ㄌㄧㄣˊ	人名-歷史
司馬光	14	ㄙ ㄇㄚˇ ㄍㄨㄤ	人名-歷史
司馬遷	51	ㄙ ㄇㄚˇ ㄑㄧㄢ	人名-歷史
周文王	12	ㄓㄡ ㄨㄣˊ ㄨㄤˊ	人名-歷史
周武王	13	ㄓㄡ ㄨˇ ㄨㄤˊ	人名-歷史
周瑜	23	ㄓㄡ ㄩˊ	人名-歷史
哥白尼	32	ㄍㄜ ㄅㄞˊ ㄋㄧˊ	人名-歷史
圖靈	11	ㄊㄨˊ ㄌㄧㄥˊ	人名-歷史
基羅	28	ㄐㄧ ㄌㄨㄛˊ	人名-歷史
塞尚	19	ㄙㄞˋ ㄕㄤˋ	人名-歷史
墨子	42	ㄇㄛˋ ㄗˇ	人名-歷史
墨索里尼	13	ㄇㄛˋ ㄙㄨㄛˇ ㄌㄧˇ ㄋㄧˊ	人名-歷史
多德	18	ㄉㄨㄛ ㄉㄜˊ	人名-歷史
姜太公	16	ㄐㄧㄤ ㄊㄞˋ ㄍㄨㄥ	人名-歷史
姜子牙	15	ㄐㄧㄤ ㄗˇ ㄧㄚˊ	人名-歷史
子思	14	ㄗˇ ㄙ	人名-歷史
子貢	23	ㄗˇ ㄍㄨㄥˋ	人名-歷史
子路	23	ㄗˇ ㄌㄨˋ	人名-歷史
孔子	101	ㄎㄨㄥˇ ㄗˇ	人名-歷史
孟子	58	ㄇㄥˋ ㄗˇ	人名-歷史
孟德爾	15	ㄇㄥˋ ㄉㄜˊ ㄦˇ	人名-歷史
孫中山	66	ㄙㄨㄣ ㄓㄨㄥ ㄕㄢ	人名-歷史
孫文	55	ㄙㄨㄣ ㄨㄣˊ	人名-歷史
孫權	19	ㄙㄨㄣ ㄑㄩㄢˊ	人名-歷史
孫武	32	ㄙㄨㄣ ㄨˇ	人名-歷史
孫立人	33	ㄙㄨㄣ ㄌㄧˋ ㄖㄣˊ	人名-歷史
孫逸仙	13	ㄙㄨㄣ ㄧˋ ㄒㄧㄢ	人名-歷史
尼采	36	ㄋㄧˊ ㄘㄞˇ	人名-歷史
居禮夫人	32	ㄐㄩ ㄌㄧˇ ㄈㄨ ㄖㄣˊ	人名-歷史
屈原	47	ㄑㄩ ㄩㄢˊ	人名-歷史
岳飛	41	ㄩㄝˋ ㄈㄟ	人名-歷史
左宗棠	32	ㄗㄨㄛˇ ㄗㄨㄥ ㄊㄤˊ	人名-歷史
巴赫	32	ㄅㄚ ㄏㄜˋ	人名-歷史
布拉姆斯	21	ㄅㄨˋ ㄌㄚ ㄇㄨˇ ㄙ	人名-歷史
希特勒	21	ㄒㄧ ㄊㄜˋ ㄌㄜˋ	人名-歷史
康德	47	ㄎㄤ ㄉㄜˊ	人名-歷史
康熙	31	ㄎㄤ ㄒㄧ	人名-歷史
張良	21	ㄓㄤ ㄌㄧㄤˊ	人名-歷史
張飛	27	ㄓㄤ ㄈㄟ	人名-歷史
徐光啟	14	ㄒㄩˊ ㄍㄨㄤ ㄑㄧˇ	人名-歷史
德川家康	15	ㄉㄜˊ ㄔㄨㄢ ㄐㄧㄚ ㄎㄤ	人名-歷史
