詞	詞頻	注音	分類
余光中	35	ㄩˊ ㄍㄨㄤ ㄓㄨㄥ	人名-舊聞
余政憲	15	ㄩˊ ㄓㄥˋ ㄒㄧㄢˋ	人名-舊聞
傅斯年	11	ㄈㄨˋ ㄙ ㄋㄧㄢˊ	人名-舊聞
卡斯楚	12	ㄎㄚˇ ㄙ ㄔㄨˇ	人名-舊聞
卡特	15	ㄎㄚˇ ㄊㄜˋ	人名-舊聞
史明	11	ㄕˇ ㄇㄧㄥˊ	人名-舊聞
吳伯雄	16	ㄨˊ ㄅㄛˊ ㄒㄩㄥˊ	人名-舊聞
吳念真	15	ㄨˊ ㄋㄧㄢˋ ㄓㄣ	人名-舊聞
呂秀蓮	17	ㄌㄩˇ ㄒㄧㄡˋ ㄌㄧㄢˊ	人名-舊聞
周恩來	15	ㄓㄡ ㄣ ㄌㄞˊ	人名-舊聞
嚴長壽	12	ㄧㄢˊ ㄔㄤˊ ㄕㄡˋ	人名-舊聞
大前研一	9	ㄉㄚˋ ㄑㄧㄢˊ ㄧㄢˊ ㄧ	人名-舊聞
姚嘉文	15	ㄧㄠˊ ㄐㄧㄚ ㄨㄣˊ	人名-舊聞
孫運璿	40	ㄙㄨㄣ ㄩㄣˋ ㄒㄩㄢˊ	人名-舊聞
安室奈美惠	10	ㄢ ㄕˋ ㄋㄞˋ ㄇㄟˇ ㄏㄨㄟˋ	人名-舊聞
宋楚瑜	20	ㄙㄨㄥˋ ㄔㄨˇ ㄩˊ	人名-舊聞
密特朗	11	ㄇㄧˋ ㄊㄜˋ ㄌㄤˇ	人名-舊聞
小室哲哉	8	ㄒㄧㄠˇ ㄕˋ ㄓㄜˊ ㄗㄞ	人名-舊聞
尹衍樑	11	ㄧㄣˇ ㄧㄢˇ ㄌㄧㄤˊ	人名-舊聞
尼克森	14	ㄋㄧˊ ㄎㄜˋ ㄙㄣ	人名-舊聞
布希	18	ㄅㄨˋ ㄒㄧ	人名-舊聞
廣末涼子	8	ㄍㄨㄤˇ ㄇㄛˋ ㄌㄧㄤˊ ㄗˇ	人名-舊聞
張俊雄	19	ㄓㄤ ㄐㄩㄣˋ ㄒㄩㄥˊ	人名-舊聞
張學友	20	ㄓㄤ ㄒㄩㄝˊ ㄧㄡˇ	人名-舊聞
張榮發	23	ㄓㄤ ㄖㄨㄥˊ ㄈㄚ	人名-舊聞
張清芳	12	ㄓㄤ ㄑㄧㄥ ㄈㄤ	人名-舊聞
彭明敏	13	ㄆㄥˊ ㄇㄧㄥˊ ㄇㄧㄣˇ	人名-舊聞
彭淮南	36	ㄆㄥˊ ㄏㄨㄞˊ ㄋㄢˊ	人名-舊聞
戈巴契夫	19	ㄍㄜ ㄅㄚ ㄑㄧˋ ㄈㄨ	人名-舊聞
施振榮	39	ㄕ ㄓㄣˋ ㄖㄨㄥˊ	人名-舊聞
曼德拉	32	ㄇㄢˋ ㄉㄜˊ ㄌㄚ	人名-舊聞
曾志朗	17	ㄗㄥ ㄓˋ ㄌㄤˇ	人名-舊聞
李國鼎	32	ㄌㄧˇ ㄍㄨㄛˊ ㄉㄧㄥˇ	人名-舊聞
李天祿	10	ㄌㄧˇ ㄊㄧㄢ ㄌㄨˋ	人名-舊聞
李宗盛	9	ㄌㄧˇ ㄗㄨㄥ ㄕㄥˋ	人名-舊聞
李家同	14	ㄌㄧˇ ㄐㄧㄚ ㄊㄨㄥˊ	人名-舊聞
李應元	19	ㄌㄧˇ ㄧㄥˋ ㄩㄢˊ	人名-舊聞
李敖	15	ㄌㄧˇ ㄠˊ	人名-舊聞
李泰祥	11	ㄌㄧˇ ㄊㄞˋ ㄒㄧㄤˊ	人名-舊聞
李登輝	22	ㄌㄧˇ ㄉㄥ ㄏㄨㄟ	人名-舊聞
李遠哲	46	ㄌㄧˇ ㄩㄢˇ ㄓㄜˊ	人名-舊聞
松下幸之助	11	ㄙㄨㄥ ㄒㄧㄚˋ ㄒㄧㄥˋ ㄓ ㄓㄨˋ	人名-舊聞
林慧萍	10	ㄌㄧㄣˊ ㄏㄨㄟˋ ㄆㄧㄥˊ	人名-舊聞
林懷民	34	ㄌㄧㄣˊ ㄏㄨㄞˊ ㄇㄧㄣˊ	人名-舊聞
林洋港	15	ㄌㄧㄣˊ ㄧㄤˊ ㄍㄤˇ	人名-舊聞
林海音	13	ㄌㄧㄣˊ ㄏㄞˇ ㄧㄣ	人名-舊聞
林清玄	18	ㄌㄧㄣˊ ㄑㄧㄥ ㄒㄩㄢˊ	人名-舊聞
林百里	18	ㄌㄧㄣˊ ㄅㄞˇ ㄌㄧˇ	人名-舊聞
林青霞	12	ㄌㄧㄣˊ ㄑㄧㄥ ㄒㄧㄚˊ	人名-舊聞
柯林頓	20	ㄎㄜ ㄌㄧㄣˊ ㄉㄨㄣˋ	人名-舊聞
楊朝祥	12	ㄧㄤˊ ㄔㄠˊ ㄒㄧㄤˊ	人名-舊聞
楊牧	18	ㄧㄤˊ ㄇㄨˋ	人名-舊聞
楊麗花	11	ㄧㄤˊ ㄌㄧˋ ㄏㄨㄚ	人名-舊聞
毛澤東	21	ㄇㄠˊ ㄗㄜˊ ㄉㄨㄥ	人名-舊聞
江澤民	19	ㄐㄧㄤ ㄗㄜˊ ㄇㄧㄣˊ	人名-舊聞
沈春華	10	ㄔㄣˊ ㄔㄨㄣ ㄏㄨㄚˊ	人名-舊聞
海珊	20	ㄏㄞˇ ㄕㄢ	人名-舊聞
游錫堃	21	ㄧㄡˊ ㄒㄧˊ ㄎㄨㄣ	人名-舊聞
王永慶	45	ㄨㄤˊ ㄩㄥˇ ㄑㄧㄥˋ	人名-舊聞
白先勇	21	ㄅㄞˊ ㄒㄧㄢ ㄩㄥˇ	人名-舊聞
石原慎太郎	8	ㄕˊ ㄩㄢˊ ㄕㄣˋ ㄊㄞˋ ㄌㄤˊ	人名-舊聞
羅大佑	21	ㄌㄨㄛˊ ㄉㄚˋ ㄧㄡˋ	人名-舊聞
胡耀邦	12	ㄏㄨˊ ㄧㄠˋ ㄅㄤ	人名-舊聞
胡錦濤	16	ㄏㄨˊ ㄐㄧㄣˇ ㄊㄠ	人名-舊聞
范振宗	16	ㄈㄢˋ ㄓㄣˋ ㄗㄨㄥ	人名-舊聞
葉石濤	11	ㄧㄝˋ ㄕˊ ㄊㄠ	人名-舊聞
蔡振南	16	ㄘㄞˋ ㄓㄣˋ ㄋㄢˊ	人名-舊聞
蔣經國	16	ㄐㄧㄤˇ ㄐㄧㄥ ㄍㄨㄛˊ	人名-舊聞
蕭萬長	19	ㄒㄧㄠ ㄨㄢˋ ㄔㄤˊ	人名-舊聞
裘海正	12	ㄑㄧㄡˊ ㄏㄞˇ ㄓㄥˋ	人名-舊聞
許水德	12	ㄒㄩˇ ㄕㄨㄟˇ ㄉㄜˊ	人名-舊聞
謝長廷	17	ㄒㄧㄝˋ ㄔㄤˊ ㄊㄧㄥˊ	人名-舊聞
連戰	20	ㄌㄧㄢˊ ㄓㄢˋ	人名-舊聞
郝柏村	19	ㄏㄠˇ ㄅㄛˊ ㄘㄨㄣ	人名-舊聞
郭婉容	14	ㄍㄨㄛ ㄨㄢˇ ㄖㄨㄥˊ	人名-舊聞
郭富城	10	ㄍㄨㄛ ㄈㄨˋ ㄔㄥˊ	人名-舊聞
鄧小平	18	ㄉㄥˋ ㄒㄧㄠˇ ㄆㄧㄥˊ	人名-舊聞
金大中	12	ㄐㄧㄣ ㄉㄚˋ ㄓㄨㄥ	人名-舊聞
金庸	42	ㄐㄧㄣ ㄩㄥ	人名-舊聞
錢復	15	ㄑㄧㄢˊ ㄈㄨˋ	人名-舊聞
阿拉法特	13	ㄚ ㄌㄚ ㄈㄚˇ ㄊㄜˋ	人名-舊聞
陳履安	15	ㄔㄣˊ ㄌㄩˇ ㄢ	人名-舊聞
陳水扁	23	ㄔㄣˊ ㄕㄨㄟˇ ㄅㄧㄢˇ	人名-舊聞
陶百川	12	ㄊㄠˊ ㄅㄞˇ ㄔㄨㄢ	人名-舊聞
雷根	13	ㄌㄟˊ ㄍㄣ	人名-舊聞
黃昆輝	12	ㄏㄨㄤˊ ㄎㄨㄣ ㄏㄨㄟ	人名-舊聞
黛安娜	13	ㄉㄞˋ ㄢ ㄋㄚˋ	人名-舊聞
龍應台	23	ㄌㄨㄥˊ ㄧㄥˋ ㄊㄞˊ	人名-舊聞
