詞	詞頻	注音	分類
五大人格	10	ㄨˇ ㄉㄚˋ ㄖㄣˊ ㄍㄜˊ	心理社會
人口學	12	ㄖㄣˊ ㄎㄡˇ ㄒㄩㄝˊ	心理社會
人口轉型	12	ㄖㄣˊ ㄎㄡˇ ㄓㄨㄢˇ ㄒㄧㄥˊ	心理社會
人口遷移	12	ㄖㄣˊ ㄎㄡˇ ㄑㄧㄢ ㄧˊ	心理社會
人格心理學	4	ㄖㄣˊ ㄍㄜˊ ㄒㄧㄣ ㄌㄧˇ ㄒㄩㄝˊ	心理社會
人格特質	11	ㄖㄣˊ ㄍㄜˊ ㄊㄜˋ ㄓˊ	心理社會
代表性捷思	4	ㄉㄞˋ ㄅㄧㄠˇ ㄒㄧㄥˋ ㄐㄧㄝˊ ㄙ	心理社會
依附理論	10	ㄧ ㄈㄨˋ ㄌㄧˇ ㄌㄨㄣˋ	心理社會
偏差行為	10	ㄆㄧㄢ ㄔㄚ ㄒㄧㄥˊ ㄨㄟˊ	心理社會
健康心理學	5	ㄐㄧㄢˋ ㄎㄤ ㄒㄧㄣ ㄌㄧˇ ㄒㄩㄝˊ	心理社會
內控	13	ㄋㄟˋ ㄎㄨㄥˋ	心理社會
公共議題	12	ㄍㄨㄥ ㄍㄨㄥˋ ㄧˋ ㄊㄧˊ	心理社會
初級社會化	2	ㄔㄨ ㄐㄧˊ ㄕㄜˋ ㄏㄨㄟˋ ㄏㄨㄚˋ	心理社會
區辨	13	ㄑㄩ ㄅㄧㄢˋ	心理社會
去個人化	13	ㄑㄩˋ ㄍㄜˋ ㄖㄣˊ ㄏㄨㄚˋ	心理社會
反向形成	10	ㄈㄢˇ ㄒㄧㄤˋ ㄒㄧㄥˊ ㄔㄥˊ	心理社會
古典制約	11	ㄍㄨˇ ㄉㄧㄢˇ ㄓˋ ㄩㄝ	心理社會
可得性捷思	4	ㄎㄜˇ ㄉㄜˊ ㄒㄧㄥˋ ㄐㄧㄝˊ ㄙ	心理社會
問題解決	13	ㄨㄣˋ ㄊㄧˊ ㄐㄧㄝˇ ㄐㄩㄝˊ	心理社會
國際移民	12	ㄍㄨㄛˊ ㄐㄧˋ ㄧˊ ㄇㄧㄣˊ	心理社會
團體迷思	12	ㄊㄨㄢˊ ㄊㄧˇ ㄇㄧˊ ㄙ	心理社會
外控	13	ㄨㄞˋ ㄎㄨㄥˋ	心理社會
安全依附	12	ㄢ ㄑㄩㄢˊ ㄧ ㄈㄨˋ	心理社會
定錨效應	13	ㄉㄧㄥˋ ㄇㄠˊ ㄒㄧㄠˋ ㄧㄥˋ	心理社會
工作記憶	13	ㄍㄨㄥ ㄗㄨㄛˋ ㄐㄧˋ ㄧˋ	心理社會
工業	14	ㄍㄨㄥ ㄧㄝˋ	心理社會
從眾	13	ㄘㄨㄥˊ ㄓㄨㄥˋ	心理社會
