詞	詞頻	注音	分類
不可逆	12	ㄅㄨˋ ㄎㄜˇ ㄋㄧˋ	科學
不相容	11	ㄅㄨˋ ㄒㄧㄤ ㄖㄨㄥˊ	科學
不確定	11	ㄅㄨˋ ㄑㄩㄝˋ ㄉㄧㄥˋ	科學
亥姆霍茲	11	ㄏㄞˋ ㄇㄨˇ ㄏㄨㄛˋ ㄗ	科學
保守力	11	ㄅㄠˇ ㄕㄡˇ ㄌㄧˋ	科學
內質網	13	ㄋㄟˋ ㄓˋ ㄨㄤˇ	科學
凝態物理	11	ㄋㄧㄥˊ ㄊㄞˋ ㄨˋ ㄌㄧˇ	科學
剛體力學	12	ㄍㄤ ㄊㄧˇ ㄌㄧˋ ㄒㄩㄝˊ	科學
力學	16	ㄌㄧˋ ㄒㄩㄝˊ	科學
動力學	11	ㄉㄨㄥˋ ㄌㄧˋ ㄒㄩㄝˊ	科學
化學	17	ㄏㄨㄚˋ ㄒㄩㄝˊ	科學
化學計量	11	ㄏㄨㄚˋ ㄒㄩㄝˊ ㄐㄧˋ ㄌㄧㄤˋ	科學
卡諾循環	10	ㄎㄚˇ ㄋㄨㄛˋ ㄒㄩㄣˊ ㄏㄨㄢˊ	科學
原子物理	10	ㄩㄢˊ ㄗˇ ㄨˋ ㄌㄧˇ	科學
原理	13	ㄩㄢˊ ㄌㄧˇ	科學
反應機構	12	ㄈㄢˇ ㄧㄥˋ ㄐㄧ ㄍㄡˋ	科學
受迫振動	12	ㄕㄡˋ ㄆㄛˋ ㄓㄣˋ ㄉㄨㄥˋ	科學
古典力學	11	ㄍㄨˇ ㄉㄧㄢˇ ㄌㄧˋ ㄒㄩㄝˊ	科學
可逆過程	10	ㄎㄜˇ ㄋㄧˋ ㄍㄨㄛˋ ㄔㄥˊ	科學
吉布斯	11	ㄐㄧˊ ㄅㄨˋ ㄙ	科學
向量	12	ㄒㄧㄤˋ ㄌㄧㄤˋ	科學
哈密頓	9	ㄏㄚ ㄇㄧˋ ㄉㄨㄣˋ	科學
固態物理	10	ㄍㄨˋ ㄊㄞˋ ㄨˋ ㄌㄧˇ	科學
基因表現	11	ㄐㄧ ㄧㄣ ㄅㄧㄠˇ ㄒㄧㄢˋ	科學
基因調控	11	ㄐㄧ ㄧㄣ ㄊㄧㄠˊ ㄎㄨㄥˋ	科學
天體物理	10	ㄊㄧㄢ ㄊㄧˇ ㄨˋ ㄌㄧˇ	科學
孟德爾	10	ㄇㄥˋ ㄉㄜˊ ㄦˇ	科學
宇宙學	11	ㄩˇ ㄓㄡˋ ㄒㄩㄝˊ	科學
安培定律	9	ㄢ ㄆㄟˊ ㄉㄧㄥˋ ㄌㄩˋ	科學
定律	14	ㄉㄧㄥˋ ㄌㄩˋ	科學
布忍斯特	12	ㄅㄨˋ ㄖㄣˇ ㄙ ㄊㄜˋ	科學
幾何光學	10	ㄐㄧˇ ㄏㄜˊ ㄍㄨㄤ ㄒㄩㄝˊ	科學
廣義	12	ㄍㄨㄤˇ ㄧˋ	科學
慣性矩	10	ㄍㄨㄢˋ ㄒㄧㄥˋ ㄐㄩˇ	科學
拉格朗日	12	ㄌㄚ ㄍㄜˊ ㄌㄤˇ ㄖˋ	科學
效應	13	ㄒㄧㄠˋ ㄧㄥˋ	科學
方程	14	ㄈㄤ ㄔㄥˊ	科學
核子物理	10	ㄏㄜˊ ㄗˇ ㄨˋ ㄌㄧˇ	科學
楞次定律	9	ㄌㄥˊ ㄘˋ ㄉㄧㄥˋ ㄌㄩˋ	科學
模型	13	ㄇㄛˊ ㄒㄧㄥˊ	科學
氧化數	11	ㄧㄤˇ ㄏㄨㄚˋ ㄕㄨˋ	科學
氫原子	11	ㄑㄧㄥ ㄩㄢˊ ㄗˇ	科學
法拉第	9	ㄈㄚˇ ㄌㄚ ㄉㄧˋ	科學
泡利	11	ㄆㄠˋ ㄌㄧˋ	科學
波函數	12	ㄅㄛ ㄏㄢˊ ㄕㄨˋ	科學
波動光學	10	ㄅㄛ ㄉㄨㄥˋ ㄍㄨㄤ ㄒㄩㄝˊ	科學
波動方程	10	ㄅㄛ ㄉㄨㄥˋ ㄈㄤ ㄔㄥˊ	科學
波印廷	12	ㄅㄛ ㄧㄣˋ ㄊㄧㄥˊ	科學
海森堡	11	ㄏㄞˇ ㄙㄣ ㄅㄠˇ	科學
熱傳導	12	ㄖㄜˋ ㄔㄨㄢˊ ㄉㄠˇ	科學
熱容量	12	ㄖㄜˋ ㄖㄨㄥˊ ㄌㄧㄤˋ	科學
熱對流	12	ㄖㄜˋ ㄉㄨㄟˋ ㄌㄧㄡˊ	科學
熱泵	12	ㄖㄜˋ ㄅㄥˋ	科學
牛頓力學	10	ㄋㄧㄡˊ ㄉㄨㄣˋ ㄌㄧˋ ㄒㄩㄝˊ	科學
物種形成	11	ㄨˋ ㄓㄨㄥˇ ㄒㄧㄥˊ ㄔㄥˊ	科學
特殊	14	ㄊㄜˋ ㄕㄨ	科學
生物學	12	ㄕㄥ ㄨˋ ㄒㄩㄝˊ	科學
疊加態	11	ㄉㄧㄝˊ ㄐㄧㄚ ㄊㄞˋ	科學
相對論	12	ㄒㄧㄤ ㄉㄨㄟˋ ㄌㄨㄣˋ	科學
磁通量	11	ㄘˊ ㄊㄨㄥ ㄌㄧㄤˋ	科學
神經科學	10	ㄕㄣˊ ㄐㄧㄥ ㄎㄜ ㄒㄩㄝˊ	科學
等壓過程	10	ㄉㄥˇ ㄧㄚ ㄍㄨㄛˋ ㄔㄥˊ	科學
等容過程	13	ㄉㄥˇ ㄖㄨㄥˊ ㄍㄨㄛˋ ㄔㄥˊ	科學
等溫過程	10	ㄉㄥˇ ㄨㄣ ㄍㄨㄛˋ ㄔㄥˊ	科學
簡諧振子	11	ㄐㄧㄢˇ ㄒㄧㄝˊ ㄓㄣˋ ㄗˇ	科學
粒子物理	10	ㄌㄧˋ ㄗˇ ㄨˋ ㄌㄧˇ	科學
