詞	詞頻	注音	分類
不穩定性	11	ㄅㄨˋ ㄨㄣˇ ㄉㄧㄥˋ ㄒㄧㄥˋ	晶片半導體
二點五維	11	ㄦˋ ㄉㄧㄢˇ ㄨˇ ㄨㄟˊ	晶片半導體
佈植機	12	ㄅㄨˋ ㄓˊ ㄐㄧ	晶片半導體
位障	9	ㄨㄟˋ ㄓㄤˋ	晶片半導體
低介電	12	ㄉㄧ ㄐㄧㄝˋ ㄉㄧㄢˋ	晶片半導體
保養	16	ㄅㄠˇ ㄧㄤˇ	晶片半導體
修正	14	ㄒㄧㄡ ㄓㄥˋ	晶片半導體
健康	14	ㄐㄧㄢˋ ㄎㄤ	晶片半導體
傳輸層	10	ㄔㄨㄢˊ ㄕㄨ ㄘㄥˊ	晶片半導體
元件庫	12	ㄩㄢˊ ㄐㄧㄢˋ ㄎㄨˋ	晶片半導體
先進製程	11	ㄒㄧㄢ ㄐㄧㄣˋ ㄓˋ ㄔㄥˊ	晶片半導體
光學	11	ㄍㄨㄤ ㄒㄩㄝˊ	晶片半導體
光罩	14	ㄍㄨㄤ ㄓㄠˋ	晶片半導體
內建	12	ㄋㄟˋ ㄐㄧㄢˋ	晶片半導體
分析	24	ㄈㄣ ㄒㄧ	晶片半導體
分類	13	ㄈㄣ ㄌㄟˋ	晶片半導體
加速	15	ㄐㄧㄚ ㄙㄨˋ	晶片半導體
動態	14	ㄉㄨㄥˋ ㄊㄞˋ	晶片半導體
化學	16	ㄏㄨㄚˋ ㄒㄩㄝˊ	晶片半導體
原子層	10	ㄩㄢˊ ㄗˇ ㄘㄥˊ	晶片半導體
參數	22	ㄘㄢ ㄕㄨˋ	晶片半導體
反向	11	ㄈㄢˇ ㄒㄧㄤˋ	晶片半導體
反應式	10	ㄈㄢˇ ㄧㄥˋ ㄕˋ	晶片半導體
可靠度	11	ㄎㄜˇ ㄎㄠˋ ㄉㄨˋ	晶片半導體
合成	12	ㄏㄜˊ ㄔㄥˊ	晶片半導體
單元	13	ㄉㄢ ㄩㄢˊ	晶片半導體
圖形	12	ㄊㄨˊ ㄒㄧㄥˊ	晶片半導體
圖案化	11	ㄊㄨˊ ㄢˋ ㄏㄨㄚˋ	晶片半導體
均勻性	11	ㄐㄩㄣ ㄩㄣˊ ㄒㄧㄥˋ	晶片半導體
場效	13	ㄔㄤˇ ㄒㄧㄠˋ	晶片半導體
壽命	15	ㄕㄡˋ ㄇㄧㄥˋ	晶片半導體
多重	12	ㄉㄨㄛ ㄔㄨㄥˊ	晶片半導體
奈米片	11	ㄋㄞˋ ㄇㄧˇ ㄆㄧㄢˋ	晶片半導體
奈米線	11	ㄋㄞˋ ㄇㄧˇ ㄒㄧㄢˋ	晶片半導體
存取	12	ㄘㄨㄣˊ ㄑㄩˇ	晶片半導體
寄生	12	ㄐㄧˋ ㄕㄥ	晶片半導體
封裝	15	ㄈㄥ ㄓㄨㄤ	晶片半導體
封裝製程	8	ㄈㄥ ㄓㄨㄤ ㄓˋ ㄔㄥˊ	晶片半導體
封裝設備	14	ㄈㄥ ㄓㄨㄤ ㄕㄜˋ ㄅㄟˋ	晶片半導體
射頻	10	ㄕㄜˋ ㄆㄧㄣˊ	晶片半導體
小晶片	13	ㄒㄧㄠˇ ㄐㄧㄥ ㄆㄧㄢˋ	晶片半導體
尺寸	12	ㄔˇ ㄘㄨㄣˋ	晶片半導體
常數	14	ㄔㄤˊ ㄕㄨˋ	晶片半導體
平面型	11	ㄆㄧㄥˊ ㄇㄧㄢˋ ㄒㄧㄥˊ	晶片半導體
微影	16	ㄨㄟˊ ㄧㄥˇ	晶片半導體
微影製程	9	ㄨㄟˊ ㄧㄥˇ ㄓˋ ㄔㄥˊ	晶片半導體
快速	14	ㄎㄨㄞˋ ㄙㄨˋ	晶片半導體
應力	13	ㄧㄥˋ ㄌㄧˋ	晶片半導體
應用	14	ㄧㄥˋ ㄩㄥˋ	晶片半導體
扇入型	10	ㄕㄢˋ ㄖㄨˋ ㄒㄧㄥˊ	晶片半導體
扇出型	10	ㄕㄢˋ ㄔㄨ ㄒㄧㄥˊ	晶片半導體
技術	15	ㄐㄧˋ ㄕㄨˋ	晶片半導體
探針台	13	ㄊㄢˋ ㄓㄣ ㄊㄞˊ	晶片半導體
控制	17	ㄎㄨㄥˋ ㄓˋ	晶片半導體
控制器	11	ㄎㄨㄥˋ ㄓˋ ㄑㄧˋ	晶片半導體
操作	13	ㄘㄠ ㄗㄨㄛˋ	晶片半導體
擴散	13	ㄎㄨㄛˋ ㄙㄢˋ	晶片半導體
擴散製程	14	ㄎㄨㄛˋ ㄙㄢˋ ㄓˋ ㄔㄥˊ	晶片半導體
擷取	11	ㄐㄧㄝˊ ㄑㄩˇ	晶片半導體
擺幅	13	ㄅㄞˇ ㄈㄨˊ	晶片半導體
改善	15	ㄍㄞˇ ㄕㄢˋ	晶片半導體
放電	11	ㄈㄤˋ ㄉㄧㄢˋ	晶片半導體
故障	13	ㄍㄨˋ ㄓㄤˋ	晶片半導體
故障診斷	20	ㄍㄨˋ ㄓㄤˋ ㄓㄣˇ ㄉㄨㄢˋ	晶片半導體
效應	14	ㄒㄧㄠˋ ㄧㄥˋ	晶片半導體
數位	15	ㄕㄨˋ ㄨㄟˋ	晶片半導體
方法學	10	ㄈㄤ ㄈㄚˇ ㄒㄩㄝˊ	晶片半導體
時序	13	ㄕˊ ㄒㄩˋ	晶片半導體
時鐘樹	10	ㄕˊ ㄓㄨㄥ ㄕㄨˋ	晶片半導體
晶圓	11	ㄐㄧㄥ ㄩㄢˊ	晶片半導體
晶圓級	10	ㄐㄧㄥ ㄩㄢˊ ㄐㄧˊ	晶片半導體
晶片	15	ㄐㄧㄥ ㄆㄧㄢˋ	晶片半導體
晶粒	11	ㄐㄧㄥ ㄌㄧˋ	晶片半導體
暫存器	11	ㄓㄢˋ ㄘㄨㄣˊ ㄑㄧˋ	晶片半導體
曝光機	13	ㄆㄨˋ ㄍㄨㄤ ㄐㄧ	晶片半導體
最佳化	20	ㄗㄨㄟˋ ㄐㄧㄚ ㄏㄨㄚˋ	晶片半導體
材料	14	ㄘㄞˊ ㄌㄧㄠˋ	晶片半導體
架構	13	ㄐㄧㄚˋ ㄍㄡˋ	晶片半導體
校正	14	ㄐㄧㄠˋ ㄓㄥˋ	晶片半導體
條件	15	ㄊㄧㄠˊ ㄐㄧㄢˋ	晶片半導體
極紫外光	12	ㄐㄧˊ ㄗˇ ㄨㄞˋ ㄍㄨㄤ	晶片半導體
標準	14	ㄅㄧㄠ ㄓㄨㄣˇ	晶片半導體
機械	15	ㄐㄧ ㄒㄧㄝˋ	晶片半導體
檔案	14	ㄉㄤˇ ㄢˋ	晶片半導體
檢查	14	ㄐㄧㄢˇ ㄔㄚˊ	晶片半導體
檢測	13	ㄐㄧㄢˇ ㄘㄜˋ	晶片半導體
檢測機台	13	ㄐㄧㄢˇ ㄘㄜˋ ㄐㄧ ㄊㄞˊ	晶片半導體
次臨界	13	ㄘˋ ㄌㄧㄣˊ ㄐㄧㄝˋ	晶片半導體
氣相	12	ㄑㄧˋ ㄒㄧㄤ	晶片半導體
氮化鎵	10	ㄉㄢˋ ㄏㄨㄚˋ ㄐㄧㄚ	晶片半導體
污染控制	21	ㄨ ㄖㄢˇ ㄎㄨㄥˋ ㄓˋ	晶片半導體
汲極	9	ㄐㄧˊ ㄐㄧˊ	晶片半導體
沉積	13	ㄔㄣˊ ㄐㄧ	晶片半導體
浸潤式	11	ㄐㄧㄣˋ ㄖㄨㄣˋ ㄕˋ	晶片半導體
深反應	12	ㄕㄣ ㄈㄢˇ ㄧㄥˋ	晶片半導體
深紫外光	12	ㄕㄣ ㄗˇ ㄨㄞˋ ㄍㄨㄤ	晶片半導體
混合	12	ㄏㄨㄣˋ ㄏㄜˊ	晶片半導體
清洗	13	ㄑㄧㄥ ㄒㄧˇ	晶片半導體
清洗機	12	ㄑㄧㄥ ㄒㄧˇ ㄐㄧ	晶片半導體
清洗製程	14	ㄑㄧㄥ ㄒㄧˇ ㄓˋ ㄔㄥˊ	晶片半導體
測試	17	ㄘㄜˋ ㄕˋ	晶片半導體
測試機	12	ㄘㄜˋ ㄕˋ ㄐㄧ	晶片半導體
測試製程	8	ㄘㄜˋ ㄕˋ ㄓˋ ㄔㄥˊ	晶片半導體
溫度	13	ㄨㄣ ㄉㄨˋ	晶片半導體
熱退火	11	ㄖㄜˋ ㄊㄨㄟˋ ㄏㄨㄛˇ	晶片半導體
版圖	11	ㄅㄢˇ ㄊㄨˊ	晶片半導體
物理	13	ㄨˋ ㄌㄧˇ	晶片半導體
環繞	12	ㄏㄨㄢˊ ㄖㄠˋ	晶片半導體
異常	15	ㄧˋ ㄔㄤˊ	晶片半導體
異常分析	21	ㄧˋ ㄔㄤˊ ㄈㄣ ㄒㄧ	晶片半導體
監控	15	ㄐㄧㄢ ㄎㄨㄥˋ	晶片半導體
真空系統	12	ㄓㄣ ㄎㄨㄥ ㄒㄧˋ ㄊㄨㄥˇ	晶片半導體
研磨	16	ㄧㄢˊ ㄇㄛˊ	晶片半導體
研磨機	11	ㄧㄢˊ ㄇㄛˊ ㄐㄧ	晶片半導體
碳化矽	10	ㄊㄢˋ ㄏㄨㄚˋ ㄒㄧˋ	晶片半導體
磁阻式	11	ㄘˊ ㄗㄨˇ ㄕˋ	晶片半導體
神經網路	10	ㄕㄣˊ ㄐㄧㄥ ㄨㄤˇ ㄌㄨˋ	晶片半導體
積體電路	16	ㄐㄧ ㄊㄧˇ ㄉㄧㄢˋ ㄌㄨˋ	晶片半導體
算術	10	ㄙㄨㄢˋ ㄕㄨˋ	晶片半導體
管理	16	ㄍㄨㄢˇ ㄌㄧˇ	晶片半導體
篩選	13	ㄕㄞ ㄒㄩㄢˇ	晶片半導體
約束	12	ㄩㄝ ㄕㄨˋ	晶片半導體
絕緣閘	9	ㄐㄩㄝˊ ㄩㄢˊ ㄓㄚˊ	晶片半導體
統計	14	ㄊㄨㄥˇ ㄐㄧˋ	晶片半導體
缺陷分析	16	ㄑㄩㄝ ㄒㄧㄢˋ ㄈㄣ ㄒㄧ	晶片半導體
缺陷追蹤	20	ㄑㄩㄝ ㄒㄧㄢˋ ㄓㄨㄟ ㄗㄨㄥ	晶片半導體
能力	20	ㄋㄥˊ ㄌㄧˋ	晶片半導體
臨界	12	ㄌㄧㄣˊ ㄐㄧㄝˋ	晶片半導體
自動	14	ㄗˋ ㄉㄨㄥˋ	晶片半導體
自我	14	ㄗˋ ㄨㄛˇ	晶片半導體
良率分析	16	ㄌㄧㄤˊ ㄌㄩˋ ㄈㄣ ㄒㄧ	晶片半導體
薄膜	12	ㄅㄛˊ ㄇㄛˊ	晶片半導體
薄膜製程	14	ㄅㄛˊ ㄇㄛˊ ㄓˋ ㄔㄥˊ	晶片半導體
薄膜設備	13	ㄅㄛˊ ㄇㄛˊ ㄕㄜˋ ㄅㄟˋ	晶片半導體
處理器	15	ㄔㄨˇ ㄌㄧˇ ㄑㄧˋ	晶片半導體
蝕刻	16	ㄕˊ ㄎㄜ	晶片半導體
蝕刻機	11	ㄕˊ ㄎㄜ ㄐㄧ	晶片半導體
蝕刻製程	14	ㄕˊ ㄎㄜ ㄓˋ ㄔㄥˊ	晶片半導體
製程	24	ㄓˋ ㄔㄥˊ	晶片半導體
製程腔體	12	ㄓˋ ㄔㄥˊ ㄑㄧㄤ ㄊㄧˇ	晶片半導體
覆蓋率	10	ㄈㄨˋ ㄍㄞˋ ㄌㄩˋ	晶片半導體
規則	13	ㄍㄨㄟ ㄗㄜˊ	晶片半導體
訊號	13	ㄒㄩㄣˋ ㄏㄠˋ	晶片半導體
記憶體	16	ㄐㄧˋ ㄧˋ ㄊㄧˇ	晶片半導體
設備	18	ㄕㄜˋ ㄅㄟˋ	晶片半導體
設備匹配	20	ㄕㄜˋ ㄅㄟˋ ㄆㄧˇ ㄆㄟˋ	晶片半導體
設備配方	13	ㄕㄜˋ ㄅㄟˋ ㄆㄟˋ ㄈㄤ	晶片半導體
設計	16	ㄕㄜˋ ㄐㄧˋ	晶片半導體
試驗	14	ㄕˋ ㄧㄢˋ	晶片半導體
誘發	11	ㄧㄡˋ ㄈㄚ	晶片半導體
負偏壓	11	ㄈㄨˋ ㄆㄧㄢ ㄧㄚ	晶片半導體
資料準備	12	ㄗ ㄌㄧㄠˋ ㄓㄨㄣˇ ㄅㄟˋ	晶片半導體
退火	13	ㄊㄨㄟˋ ㄏㄨㄛˇ	晶片半導體
退火製程	14	ㄊㄨㄟˋ ㄏㄨㄛˇ ㄓˋ ㄔㄥˊ	晶片半導體
通用	12	ㄊㄨㄥ ㄩㄥˋ	晶片半導體
遷移率	12	ㄑㄧㄢ ㄧˊ ㄌㄩˋ	晶片半導體
邏輯	13	ㄌㄨㄛˊ ㄐㄧˊ	晶片半導體
鄰近	12	ㄌㄧㄣˊ ㄐㄧㄣˋ	晶片半導體
配方	12	ㄆㄟˋ ㄈㄤ	晶片半導體
量測機台	12	ㄌㄧㄤˊ ㄘㄜˋ ㄐㄧ ㄊㄞˊ	晶片半導體
金屬化	14	ㄐㄧㄣ ㄕㄨˇ ㄏㄨㄚˋ	晶片半導體
金氧半	12	ㄐㄧㄣ ㄧㄤˇ ㄅㄢˋ	晶片半導體
閂鎖	11	ㄕㄨㄢ ㄙㄨㄛˇ	晶片半導體
閘極	10	ㄓㄚˊ ㄐㄧˊ	晶片半導體
阻變式	11	ㄗㄨˇ ㄅㄧㄢˋ ㄕˋ	晶片半導體
降低	14	ㄐㄧㄤˋ ㄉㄧ	晶片半導體
隨機	14	ㄙㄨㄟˊ ㄐㄧ	晶片半導體
雙極	10	ㄕㄨㄤ ㄐㄧˊ	晶片半導體
雙極性	12	ㄕㄨㄤ ㄐㄧˊ ㄒㄧㄥˋ	晶片半導體
離子	15	ㄌㄧˊ ㄗˇ	晶片半導體
離子佈植	10	ㄌㄧˊ ㄗˇ ㄅㄨˋ ㄓˊ	晶片半導體
電晶體	16	ㄉㄧㄢˋ ㄐㄧㄥ ㄊㄧˇ	晶片半導體
電源	12	ㄉㄧㄢˋ ㄩㄢˊ	晶片半導體
電路比對	10	ㄉㄧㄢˋ ㄌㄨˋ ㄅㄧˇ ㄉㄨㄟˋ	晶片半導體
靜態	13	ㄐㄧㄥˋ ㄊㄞˋ	晶片半導體
靜電	11	ㄐㄧㄥˋ ㄉㄧㄢˋ	晶片半導體
非揮發性	12	ㄈㄟ ㄏㄨㄟ ㄈㄚ ㄒㄧㄥˋ	晶片半導體
預防保養	20	ㄩˋ ㄈㄤˊ ㄅㄠˇ ㄧㄤˇ	晶片半導體
類比	11	ㄌㄟˋ ㄅㄧˇ	晶片半導體
顯示	14	ㄒㄧㄢˇ ㄕˋ	晶片半導體
驅動	13	ㄑㄩ ㄉㄨㄥˋ	晶片半導體
驗證	14	ㄧㄢˋ ㄓㄥˋ	晶片半導體
高介電	13	ㄍㄠ ㄐㄧㄝˋ ㄉㄧㄢˋ	晶片半導體
高加速	14	ㄍㄠ ㄐㄧㄚ ㄙㄨˋ	晶片半導體
高溫	12	ㄍㄠ ㄨㄣ	晶片半導體
高速介面	11	ㄍㄠ ㄙㄨˋ ㄐㄧㄝˋ ㄇㄧㄢˋ	晶片半導體
高電子	12	ㄍㄠ ㄉㄧㄢˋ ㄗˇ	晶片半導體
高頻寬	10	ㄍㄠ ㄆㄧㄣˊ ㄎㄨㄢ	晶片半導體
鰭式	10	ㄑㄧˊ ㄕˋ	晶片半導體
