詞	詞頻	注音	分類
上下文	10	ㄕㄤˋ ㄒㄧㄚˋ ㄨㄣˊ	軟體科學
並行	14	ㄅㄧㄥˋ ㄒㄧㄥˊ	軟體科學
事件	14	ㄕˋ ㄐㄧㄢˋ	軟體科學
介面	25	ㄐㄧㄝˋ ㄇㄧㄢˋ	軟體科學
佛洛伊德	10	ㄈㄛˊ ㄌㄨㄛˋ ㄧ ㄉㄜˊ	軟體科學
依賴	13	ㄧ ㄌㄞˋ	軟體科學
備援	11	ㄅㄟˋ ㄩㄢˊ	軟體科學
優先	13	ㄧㄡ ㄒㄧㄢ	軟體科學
克爾	11	ㄎㄜˋ ㄦˇ	軟體科學
克魯斯	11	ㄎㄜˋ ㄌㄨˇ ㄙ	軟體科學
分散式	25	ㄈㄣ ㄙㄢˋ ㄕˋ	軟體科學
分離	12	ㄈㄣ ㄌㄧˊ	軟體科學
前端應用	11	ㄑㄧㄢˊ ㄉㄨㄢ ㄧㄥˋ ㄩㄥˋ	軟體科學
前端服務	24	ㄑㄧㄢˊ ㄉㄨㄢ ㄈㄨˊ ㄨˋ	軟體科學
升級	10	ㄕㄥ ㄐㄧˊ	軟體科學
原則	16	ㄩㄢˊ ㄗㄜˊ	軟體科學
反轉	11	ㄈㄢˇ ㄓㄨㄢˇ	軟體科學
叢集	13	ㄘㄨㄥˊ ㄐㄧˊ	軟體科學
叢集系統	24	ㄘㄨㄥˊ ㄐㄧˊ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
命令	13	ㄇㄧㄥˋ ㄌㄧㄥˋ	軟體科學
單一	13	ㄉㄢ ㄧ	軟體科學
單元	13	ㄉㄢ ㄩㄢˊ	軟體科學
基礎	14	ㄐㄧ ㄔㄨˇ	軟體科學
多版本	14	ㄉㄨㄛ ㄅㄢˇ ㄅㄣˇ	軟體科學
契約	13	ㄑㄧˋ ㄩㄝ	軟體科學
存取控制	10	ㄘㄨㄣˊ ㄑㄩˇ ㄎㄨㄥˋ ㄓˋ	軟體科學
容器平台	24	ㄖㄨㄥˊ ㄑㄧˋ ㄆㄧㄥˊ ㄊㄞˊ	軟體科學
容量規劃	37	ㄖㄨㄥˊ ㄌㄧㄤˋ ㄍㄨㄟ ㄏㄨㄚˋ	軟體科學
容錯	10	ㄖㄨㄥˊ ㄘㄨㄛˋ	軟體科學
容錯設計	19	ㄖㄨㄥˊ ㄘㄨㄛˋ ㄕㄜˋ ㄐㄧˋ	軟體科學
實作	10	ㄕˊ ㄗㄨㄛˋ	軟體科學
工作	15	ㄍㄨㄥ ㄗㄨㄛˋ	軟體科學
廣度	11	ㄍㄨㄤˇ ㄉㄨˋ	軟體科學
後端服務	28	ㄏㄡˋ ㄉㄨㄢ ㄈㄨˊ ㄨˋ	軟體科學
微服務	8	ㄨㄟ ㄈㄨˊ ㄨˋ	軟體科學
快取	9	ㄎㄨㄞˋ ㄑㄩˇ	軟體科學
快取系統	24	ㄎㄨㄞˋ ㄑㄩˇ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
應用程式	24	ㄧㄥˋ ㄩㄥˋ ㄔㄥˊ ㄕˋ	軟體科學
戴克斯	10	ㄉㄞˋ ㄎㄜˋ ㄙ	軟體科學
批次作業	19	ㄆㄧ ㄘˋ ㄗㄨㄛˋ ㄧㄝˋ	軟體科學
授權服務	9	ㄕㄡˋ ㄑㄩㄢˊ ㄈㄨˊ ㄨˋ	軟體科學
授權系統	9	ㄕㄡˋ ㄑㄩㄢˊ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
排程服務	9	ㄆㄞˊ ㄔㄥˊ ㄈㄨˊ ㄨˋ	軟體科學
排程系統	9	ㄆㄞˊ ㄔㄥˊ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
控制	15	ㄎㄨㄥˋ ㄓˋ	軟體科學
搜尋	15	ㄙㄡ ㄒㄩㄣˊ	軟體科學
搜尋引擎	8	ㄙㄡ ㄒㄩㄣˊ ㄧㄣˇ ㄑㄧㄥˊ	軟體科學
搜尋服務	8	ㄙㄡ ㄒㄩㄣˊ ㄈㄨˊ ㄨˋ	軟體科學
擴充	11	ㄎㄨㄛˋ ㄔㄨㄥ	軟體科學
故障轉移	18	ㄍㄨˋ ㄓㄤˋ ㄓㄨㄢˇ ㄧˊ	軟體科學
效能分析	24	ㄒㄧㄠˋ ㄋㄥˊ ㄈㄣ ㄒㄧ	軟體科學
效能調校	18	ㄒㄧㄠˋ ㄋㄥˊ ㄊㄧㄠˊ ㄐㄧㄠˋ	軟體科學
文法	11	ㄨㄣˊ ㄈㄚˇ	軟體科學
日誌分析	24	ㄖˋ ㄓˋ ㄈㄣ ㄒㄧ	軟體科學
日誌式	12	ㄖˋ ㄓˋ ㄕˋ	軟體科學
架構	13	ㄐㄧㄚˋ ㄍㄡˋ	軟體科學
查詢	13	ㄔㄚˊ ㄒㄩㄣˊ	軟體科學
模型服務	8	ㄇㄛˊ ㄒㄧㄥˊ ㄈㄨˊ ㄨˋ	軟體科學
模式	14	ㄇㄛˊ ㄕˋ	軟體科學
檔案服務	8	ㄉㄤˇ ㄢˋ ㄈㄨˊ ㄨˋ	軟體科學
檔案系統	15	ㄉㄤˇ ㄢˋ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
權限控管	23	ㄑㄩㄢˊ ㄒㄧㄢˋ ㄎㄨㄥˋ ㄍㄨㄢˇ	軟體科學
消費者	14	ㄒㄧㄠ ㄈㄟˋ ㄓㄜˇ	軟體科學
清單	11	ㄑㄧㄥ ㄉㄢ	軟體科學
測試	11	ㄘㄜˋ ㄕˋ	軟體科學
演算法	14	ㄧㄢˇ ㄙㄨㄢˋ ㄈㄚˇ	軟體科學
災難復原	18	ㄗㄞ ㄋㄢˋ ㄈㄨˋ ㄩㄢˊ	軟體科學
無關	13	ㄨˊ ㄍㄨㄢ	軟體科學
版本控管	23	ㄅㄢˇ ㄅㄣˇ ㄎㄨㄥˋ ㄍㄨㄢˇ	軟體科學
物件儲存	8	ㄨˋ ㄐㄧㄢˋ ㄔㄨˊ ㄘㄨㄣˊ	軟體科學
特拉	10	ㄊㄜˋ ㄌㄚ	軟體科學
登入系統	14	ㄉㄥ ㄖㄨˋ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
監控	11	ㄐㄧㄢ ㄎㄨㄥˋ	軟體科學
福特	12	ㄈㄨˊ ㄊㄜˋ	軟體科學
程式碼	12	ㄔㄥˊ ㄕˋ ㄇㄚˇ	軟體科學
系統	28	ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
維運	11	ㄨㄟˊ ㄩㄣˋ	軟體科學
職責	13	ㄓˊ ㄗㄜˊ	軟體科學
行動應用	8	ㄒㄧㄥˊ ㄉㄨㄥˋ ㄧㄥˋ ㄩㄥˋ	軟體科學
行動服務	9	ㄒㄧㄥˊ ㄉㄨㄥˋ ㄈㄨˊ ㄨˋ	軟體科學
訊息佇列	9	ㄒㄩㄣˋ ㄒㄧˊ ㄓㄨˋ ㄌㄧㄝˋ	軟體科學
訊息系統	9	ㄒㄩㄣˋ ㄒㄧˊ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
設定服務	8	ㄕㄜˋ ㄉㄧㄥˋ ㄈㄨˊ ㄨˋ	軟體科學
設施即	11	ㄕㄜˋ ㄕ ㄐㄧˊ	軟體科學
設計	12	ㄕㄜˋ ㄐㄧˋ	軟體科學
調校	10	ㄊㄧㄠˊ ㄐㄧㄠˋ	軟體科學
貝爾曼	10	ㄅㄟˋ ㄦˇ ㄇㄢˋ	軟體科學
資料庫	13	ㄗ ㄌㄧㄠˋ ㄎㄨˋ	軟體科學
資料管線	9	ㄗ ㄌㄧㄠˋ ㄍㄨㄢˇ ㄒㄧㄢˋ	軟體科學
身分服務	8	ㄕㄣ ㄈㄣˋ ㄈㄨˊ ㄨˋ	軟體科學
通知服務	8	ㄊㄨㄥ ㄓ ㄈㄨˊ ㄨˋ	軟體科學
通知系統	8	ㄊㄨㄥ ㄓ ㄒㄧˋ ㄊㄨㄥˇ	軟體科學
遷移	9	ㄑㄧㄢ ㄧˊ	軟體科學
部署	9	ㄅㄨˋ ㄕㄨˋ	軟體科學
重構	9	ㄓㄨㄥˋ ㄍㄡˋ	軟體科學
閘道服務	8	ㄓㄚˊ ㄉㄠˋ ㄈㄨˊ ㄨˋ	軟體科學
除錯	9	ㄔㄨˊ ㄘㄨㄛˋ	軟體科學
隔離	12	ㄍㄜˊ ㄌㄧˊ	軟體科學
驅動	13	ㄑㄩ ㄉㄨㄥˋ	軟體科學
驗證	9	ㄧㄢˋ ㄓㄥˋ	軟體科學
