詞	詞頻	注音	分類
中心	16	ㄓㄨㄥ ㄒㄧㄣ	交通物流
交通	18	ㄐㄧㄠ ㄊㄨㄥ	交通物流
交通偵測器	5	ㄐㄧㄠ ㄊㄨㄥ ㄓㄣ ㄘㄜˋ ㄑㄧˋ	交通物流
交通壅塞	12	ㄐㄧㄠ ㄊㄨㄥ ㄩㄥ ㄙㄜˋ	交通物流
交通工程	13	ㄐㄧㄠ ㄊㄨㄥ ㄍㄨㄥ ㄔㄥˊ	交通物流
交通控制	13	ㄐㄧㄠ ㄊㄨㄥ ㄎㄨㄥˋ ㄓˋ	交通物流
交通模型	13	ㄐㄧㄠ ㄊㄨㄥ ㄇㄛˊ ㄒㄧㄥˊ	交通物流
交通規劃	13	ㄐㄧㄠ ㄊㄨㄥ ㄍㄨㄟ ㄏㄨㄚˋ	交通物流
供應鏈物流	4	ㄍㄨㄥ ㄧㄥˋ ㄌㄧㄢˋ ㄨˋ ㄌㄧㄡˊ	交通物流
保稅工廠	10	ㄅㄠˇ ㄕㄨㄟˋ ㄍㄨㄥ ㄔㄤˇ	交通物流
倉位管理	12	ㄘㄤ ㄨㄟˋ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
倉儲管理	12	ㄘㄤ ㄔㄨˊ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
倉庫	14	ㄘㄤ ㄎㄨˋ	交通物流
停車場	14	ㄊㄧㄥˊ ㄔㄜ ㄔㄤˇ	交通物流
儲位管理	12	ㄔㄨˊ ㄨㄟˋ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
先到期先出	3	ㄒㄧㄢ ㄉㄠˋ ㄑㄧ ㄒㄧㄢ ㄔㄨ	交通物流
公路運輸	11	ㄍㄨㄥ ㄌㄨˋ ㄩㄣˋ ㄕㄨ	交通物流
公車	14	ㄍㄨㄥ ㄔㄜ	交通物流
公車系統	12	ㄍㄨㄥ ㄔㄜ ㄒㄧˋ ㄊㄨㄥˇ	交通物流
共享運具	11	ㄍㄨㄥˋ ㄒㄧㄤˇ ㄩㄣˋ ㄐㄩˋ	交通物流
冷鏈物流	11	ㄌㄥˇ ㄌㄧㄢˋ ㄨˋ ㄌㄧㄡˊ	交通物流
列車控制	11	ㄌㄧㄝˋ ㄔㄜ ㄎㄨㄥˋ ㄓˋ	交通物流
動態號誌	11	ㄉㄨㄥˋ ㄊㄞˋ ㄏㄠˋ ㄓˋ	交通物流
危險	15	ㄨㄟˊ ㄒㄧㄢˇ	交通物流
危險品運輸	4	ㄨㄟˊ ㄒㄧㄢˇ ㄆㄧㄣˇ ㄩㄣˋ ㄕㄨ	交通物流
即時監控	13	ㄐㄧˊ ㄕˊ ㄐㄧㄢ ㄎㄨㄥˋ	交通物流
反應式	12	ㄈㄢˇ ㄧㄥˋ ㄕˋ	交通物流
可靠度	11	ㄎㄜˇ ㄎㄠˋ ㄉㄨˋ	交通物流
國際物流	12	ㄍㄨㄛˊ ㄐㄧˋ ㄨˋ ㄌㄧㄡˊ	交通物流
場站規劃	14	ㄔㄤˇ ㄓㄢˋ ㄍㄨㄟ ㄏㄨㄚˋ	交通物流
多式聯運	13	ㄉㄨㄛ ㄕˋ ㄌㄧㄢˊ ㄩㄣˋ	交通物流
安全評估	14	ㄢ ㄑㄩㄢˊ ㄆㄧㄥˊ ㄍㄨ	交通物流
容量分析	14	ㄖㄨㄥˊ ㄌㄧㄤˋ ㄈㄣ ㄒㄧ	交通物流
射頻	11	ㄕㄜˋ ㄆㄧㄣˊ	交通物流
幹線公車	10	ㄍㄢˋ ㄒㄧㄢˋ ㄍㄨㄥ ㄔㄜ	交通物流
幹道連鎖	9	ㄍㄢˋ ㄉㄠˋ ㄌㄧㄢˊ ㄙㄨㄛˇ	交通物流
序號管理	12	ㄒㄩˋ ㄏㄠˋ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
循環盤點	11	ㄒㄩㄣˊ ㄏㄨㄢˊ ㄆㄢˊ ㄉㄧㄢˇ	交通物流
快速公車	11	ㄎㄨㄞˋ ㄙㄨˋ ㄍㄨㄥ ㄔㄜ	交通物流
感應式號誌	3	ㄍㄢˇ ㄧㄥˋ ㄕˋ ㄏㄠˋ ㄓˋ	交通物流
批號管理	12	ㄆㄧ ㄏㄠˋ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
捷運	14	ㄐㄧㄝˊ ㄩㄣˋ	交通物流
排程最佳化	13	ㄆㄞˊ ㄔㄥˊ ㄗㄨㄟˋ ㄐㄧㄚ ㄏㄨㄚˋ	交通物流
排隊長度	10	ㄆㄞˊ ㄉㄨㄟˋ ㄔㄤˊ ㄉㄨˋ	交通物流
接駁運輸	10	ㄐㄧㄝ ㄅㄛˊ ㄩㄣˋ ㄕㄨ	交通物流
控制	17	ㄎㄨㄥˋ ㄓˋ	交通物流
操作	13	ㄘㄠ ㄗㄨㄛˋ	交通物流
散裝運輸	10	ㄙㄢˇ ㄓㄨㄤ ㄩㄣˋ ㄕㄨ	交通物流
旅次分布	12	ㄌㄩˇ ㄘˋ ㄈㄣ ㄅㄨˋ	交通物流
旅次產生	12	ㄌㄩˇ ㄘˋ ㄔㄢˇ ㄕㄥ	交通物流
旅行時間	12	ㄌㄩˇ ㄒㄧㄥˊ ㄕˊ ㄐㄧㄢ	交通物流
旅運需求	12	ㄌㄩˇ ㄩㄣˋ ㄒㄩ ㄑㄧㄡˊ	交通物流
智慧	14	ㄓˋ ㄏㄨㄟˋ	交通物流
最後一哩	12	ㄗㄨㄟˋ ㄏㄡˋ ㄧ ㄌㄧ	交通物流
服務水準	15	ㄈㄨˊ ㄨˋ ㄕㄨㄟˇ ㄓㄨㄣˇ	交通物流
末端配送	10	ㄇㄛˋ ㄉㄨㄢ ㄆㄟˋ ㄙㄨㄥˋ	交通物流
條碼管理	12	ㄊㄧㄠˊ ㄇㄚˇ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
橋式起重機	4	ㄑㄧㄠˊ ㄕˋ ㄑㄧˇ ㄓㄨㄥˋ ㄐㄧ	交通物流
機器人	12	ㄐㄧ ㄑㄧˋ ㄖㄣˊ	交通物流
步行環境	11	ㄅㄨˋ ㄒㄧㄥˊ ㄏㄨㄢˊ ㄐㄧㄥˋ	交通物流
海運提單	10	ㄏㄞˇ ㄩㄣˋ ㄊㄧˊ ㄉㄢ	交通物流
海運物流	10	ㄏㄞˇ ㄩㄣˋ ㄨˋ ㄌㄧㄡˊ	交通物流
港區	11	ㄍㄤˇ ㄑㄩ	交通物流
無線	13	ㄨˊ ㄒㄧㄢˋ	交通物流
營運管理	14	ㄧㄥˊ ㄩㄣˋ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
物品	13	ㄨˋ ㄆㄧㄣˇ	交通物流
物流中心	13	ㄨˋ ㄌㄧㄡˊ ㄓㄨㄥ ㄒㄧㄣ	交通物流
物流管理	12	ㄨˋ ㄌㄧㄡˊ ㄍㄨㄢˇ ㄌㄧˇ	交通物流
相位設計	12	ㄒㄧㄤˋ ㄨㄟˋ ㄕㄜˋ ㄐㄧˋ	交通物流
移動	13	ㄧˊ ㄉㄨㄥˋ	交通物流
空中	13	ㄎㄨㄥ ㄓㄨㄥ	交通物流
空運提單	10	ㄎㄨㄥ ㄩㄣˋ ㄊㄧˊ ㄉㄢ	交通物流
空運物流	10	ㄎㄨㄥ ㄩㄣˋ ㄨˋ ㄌㄧㄡˊ	交通物流
管制	13	ㄍㄨㄢˇ ㄓˋ	交通物流
管理	19	ㄍㄨㄢˇ ㄌㄧˇ	交通物流
綠燈時間	11	ㄌㄩˋ ㄉㄥ ㄕˊ ㄐㄧㄢ	交通物流
績效分析	14	ㄐㄧ ㄒㄧㄠˋ ㄈㄣ ㄒㄧ	交通物流
自主	13	ㄗˋ ㄓㄨˇ	交通物流
自動	18	ㄗˋ ㄉㄨㄥˋ	交通物流
自動倉儲	11	ㄗˋ ㄉㄨㄥˋ ㄘㄤ ㄔㄨˊ	交通物流
自動分揀	11	ㄗˋ ㄉㄨㄥˋ ㄈㄣ ㄐㄧㄢˇ	交通物流
自動列車	13	ㄗˋ ㄉㄨㄥˋ ㄌㄧㄝˋ ㄔㄜ	交通物流
自動導引車	4	ㄗˋ ㄉㄨㄥˋ ㄉㄠˇ ㄧㄣˇ ㄔㄜ	交通物流
